auroc	auprc	balanced_accuracy	macro_f1	arm	repeat	n_features
0.6337662337662339	0.6688733851086366	0.6387445887445887	0.6325757575757576	A_species_abundance	0	1601
0.6658008658008658	0.6841190743833362	0.6478354978354979	0.6413834227787716	A_species_abundance	1	1601
0.6474025974025974	0.6695797072236928	0.6387445887445887	0.6325757575757576	A_species_abundance	2	1601
0.6764069264069263	0.7026587973874576	0.6597402597402597	0.6555397727272727	A_species_abundance	3	1601
0.6601731601731601	0.6799045472490912	0.6205627705627705	0.6150793650793651	A_species_abundance	4	1601
0.6820346320346321	0.6958720873407807	0.6625541125541126	0.6603641456582633	A_species_abundance	5	1601
0.664069264069264	0.6848190879363586	0.6688311688311688	0.6645199761478832	A_species_abundance	6	1601
0.7119047619047619	0.6985518323803325	0.6415584415584416	0.6377217553688141	A_species_abundance	7	1601
0.6658008658008658	0.6859893872733905	0.6387445887445887	0.6325757575757576	A_species_abundance	8	1601
0.6573593073593074	0.6723632763077864	0.6415584415584416	0.6377217553688141	A_species_abundance	9	1601
0.6818181818181819	0.6848933936311673	0.6387445887445887	0.6325757575757576	A_species_abundance	10	1601
0.6508658008658009	0.6768601356717949	0.6688311688311688	0.6645199761478832	A_species_abundance	11	1601
0.6530303030303031	0.6900535087128103	0.6653679653679654	0.6647465437788018	A_species_abundance	12	1601
0.6891774891774892	0.6947549800082148	0.6387445887445887	0.6325757575757576	A_species_abundance	13	1601
0.6705627705627705	0.681056843588615	0.6296536796536796	0.6238100834410625	A_species_abundance	14	1601
0.6731601731601731	0.6871640317303607	0.6324675324675324	0.6288695652173912	A_species_abundance	15	1601
0.638095238095238	0.6708918563187131	0.6205627705627705	0.6150793650793651	A_species_abundance	16	1601
0.6688311688311688	0.6932556206073948	0.6415584415584416	0.6377217553688141	A_species_abundance	17	1601
0.706926406926407	0.7162137368824197	0.6415584415584416	0.6377217553688141	A_species_abundance	18	1601
0.6638528138528138	0.6864867071817216	0.6387445887445887	0.6325757575757576	A_species_abundance	19	1601
0.6772727272727272	0.6959927224969191	0.6387445887445887	0.6325757575757576	A_species_abundance	20	1601
0.6796536796536796	0.6989708604291126	0.6296536796536796	0.6238100834410625	A_species_abundance	21	1601
0.6681818181818181	0.6835793067362079	0.6177489177489177	0.6096117424242424	A_species_abundance	22	1601
0.6504329004329004	0.675599568226091	0.6387445887445887	0.6325757575757576	A_species_abundance	23	1601
0.6283549783549783	0.6703021242034274	0.6058441558441559	0.5951103160405486	A_species_abundance	24	1601
0.6738095238095239	0.6922014546390486	0.6716450216450216	0.669408861205782	A_species_abundance	25	1601
0.6452380952380952	0.6648752524569004	0.6205627705627705	0.6150793650793651	A_species_abundance	26	1601
0.6761904761904761	0.6717724857736801	0.6506493506493506	0.6466094723234223	A_species_abundance	27	1601
0.6932900432900433	0.6998986135136609	0.6415584415584416	0.6377217553688141	A_species_abundance	28	1601
0.6768398268398268	0.6857306263912518	0.6296536796536796	0.6238100834410625	A_species_abundance	29	1601
0.6601731601731602	0.659882703249192	0.6205627705627705	0.6150793650793651	A_species_abundance	30	1601
0.685930735930736	0.6983833525482318	0.6415584415584416	0.6377217553688141	A_species_abundance	31	1601
0.6722943722943723	0.6932519401344439	0.6359307359307359	0.6269230769230769	A_species_abundance	32	1601
0.6733766233766233	0.6887359859334896	0.6415584415584416	0.6377217553688141	A_species_abundance	33	1601
0.6779220779220779	0.6822420262268037	0.6534632034632034	0.6513623188405797	A_species_abundance	34	1601
0.677056277056277	0.7082686343313586	0.6534632034632034	0.6513623188405797	A_species_abundance	35	1601
0.6627705627705628	0.6822778076669646	0.6506493506493506	0.6466094723234223	A_species_abundance	36	1601
0.6474025974025974	0.6688562520900376	0.6233766233766234	0.6200460829493087	A_species_abundance	37	1601
0.6792207792207793	0.6947201217532888	0.6534632034632034	0.6513623188405797	A_species_abundance	38	1601
0.6653679653679654	0.68558202082331	0.6296536796536796	0.6238100834410625	A_species_abundance	39	1601
0.6822510822510823	0.7000925073505929	0.6205627705627705	0.6150793650793651	A_species_abundance	40	1601
0.6688311688311687	0.6833985802652462	0.6058441558441559	0.5951103160405486	A_species_abundance	41	1601
0.6616883116883117	0.6811130500946199	0.6534632034632034	0.6513623188405797	A_species_abundance	42	1601
0.6597402597402598	0.6814648450466633	0.6324675324675324	0.6288695652173912	A_species_abundance	43	1601
0.6298701298701299	0.6485681363735388	0.6177489177489177	0.6096117424242424	A_species_abundance	44	1601
0.6491341991341991	0.6775160545021063	0.6534632034632034	0.6513623188405797	A_species_abundance	45	1601
0.6675324675324675	0.6801010078357327	0.6415584415584416	0.6377217553688141	A_species_abundance	46	1601
0.6796536796536796	0.6942729229126132	0.6569264069264069	0.6502403846153846	A_species_abundance	47	1601
0.6647186147186147	0.6831867674406946	0.6387445887445887	0.6325757575757576	A_species_abundance	48	1601
0.628138528138528	0.6552966703920798	0.6086580086580087	0.6010106945587026	A_species_abundance	49	1601
0.6523809523809524	0.6702503973812343	0.6324675324675324	0.6288695652173912	A_species_abundance	50	1601
0.6764069264069263	0.6938219605967217	0.6506493506493506	0.6466094723234223	A_species_abundance	51	1601
0.6439393939393939	0.665066100712538	0.6149350649350649	0.6036057692307693	A_species_abundance	52	1601
0.6826839826839827	0.7080413816870171	0.6114718614718615	0.6063768115942029	A_species_abundance	53	1601
0.664069264069264	0.6749062859864052	0.6296536796536796	0.6238100834410625	A_species_abundance	54	1601
0.6614718614718614	0.6750784754461135	0.6625541125541126	0.6603641456582633	A_species_abundance	55	1601
0.6874458874458874	0.7026027442611434	0.6506493506493506	0.6466094723234223	A_species_abundance	56	1601
0.6601731601731603	0.6693716141618035	0.6387445887445887	0.6325757575757576	A_species_abundance	57	1601
0.6396103896103896	0.6752889260735193	0.6625541125541126	0.6603641456582633	A_species_abundance	58	1601
0.6744588744588745	0.6841560388172822	0.6506493506493506	0.6466094723234223	A_species_abundance	59	1601
0.6670995670995672	0.6713350510092767	0.6478354978354979	0.6413834227787716	A_species_abundance	60	1601
0.6398268398268397	0.6719374191465719	0.6359307359307359	0.6269230769230769	A_species_abundance	61	1601
0.6816017316017317	0.6946983131244799	0.6415584415584416	0.6377217553688141	A_species_abundance	62	1601
0.6662337662337663	0.6856223985187037	0.6506493506493506	0.6466094723234223	A_species_abundance	63	1601
0.674891774891775	0.6856246578642834	0.6569264069264069	0.6502403846153846	A_species_abundance	64	1601
0.6772727272727272	0.6862997582605735	0.6086580086580087	0.6010106945587026	A_species_abundance	65	1601
0.6655844155844155	0.6934954958644434	0.6443722943722944	0.6423963133640553	A_species_abundance	66	1601
0.6489177489177489	0.659205358986577	0.6268398268398268	0.6182468694096601	A_species_abundance	67	1601
0.6859307359307358	0.7115950446172796	0.6387445887445887	0.6325757575757576	A_species_abundance	68	1601
0.6593073593073593	0.6779294138914191	0.6478354978354979	0.6413834227787716	A_species_abundance	69	1601
0.6638528138528138	0.6583075407812905	0.6296536796536796	0.6238100834410625	A_species_abundance	70	1601
0.6742424242424242	0.6840020933908646	0.6506493506493506	0.6466094723234223	A_species_abundance	71	1601
0.6597402597402597	0.6893654101052152	0.6387445887445887	0.6325757575757576	A_species_abundance	72	1601
0.6582251082251083	0.664625903926388	0.6205627705627705	0.6150793650793651	A_species_abundance	73	1601
0.6632034632034632	0.6876294898183982	0.6415584415584416	0.6377217553688141	A_species_abundance	74	1601
0.6829004329004328	0.6690752599002244	0.6506493506493506	0.6466094723234223	A_species_abundance	75	1601
0.6632034632034632	0.6599652608054447	0.6177489177489177	0.6096117424242424	A_species_abundance	76	1601
0.6731601731601732	0.6806858334560472	0.6324675324675324	0.6288695652173912	A_species_abundance	77	1601
0.6638528138528139	0.6771233281165471	0.6415584415584416	0.6377217553688141	A_species_abundance	78	1601
0.6766233766233767	0.6901486241537975	0.6478354978354979	0.6413834227787716	A_species_abundance	79	1601
0.6577922077922078	0.6777640734652794	0.6506493506493506	0.6466094723234223	A_species_abundance	80	1601
0.6714285714285714	0.6871238438950655	0.6415584415584416	0.6377217553688141	A_species_abundance	81	1601
0.69004329004329	0.6921579188614347	0.6625541125541126	0.6603641456582633	A_species_abundance	82	1601
0.6333333333333333	0.6512327750804118	0.6534632034632034	0.6513623188405797	A_species_abundance	83	1601
0.680952380952381	0.6768170525737699	0.645021645021645	0.635647643281231	A_species_abundance	84	1601
0.6699134199134199	0.6940699831387787	0.6296536796536796	0.6238100834410625	A_species_abundance	85	1601
0.6424242424242425	0.6646025855894206	0.6205627705627705	0.6150793650793651	A_species_abundance	86	1601
0.6653679653679654	0.6923071531136762	0.6625541125541126	0.6603641456582633	A_species_abundance	87	1601
0.6690476190476191	0.6813964657590785	0.6233766233766234	0.6200460829493087	A_species_abundance	88	1601
0.6601731601731601	0.6753304313342074	0.6296536796536796	0.6238100834410625	A_species_abundance	89	1601
0.6956709956709957	0.7138306529874766	0.6387445887445887	0.6325757575757576	A_species_abundance	90	1601
0.6722943722943723	0.6880226282140461	0.6597402597402597	0.6555397727272727	A_species_abundance	91	1601
0.6774891774891775	0.6789296270912543	0.6296536796536796	0.6238100834410625	A_species_abundance	92	1601
0.6480519480519482	0.6642244328392177	0.6205627705627705	0.6150793650793651	A_species_abundance	93	1601
0.6649350649350648	0.6590600871018651	0.6597402597402597	0.6555397727272727	A_species_abundance	94	1601
0.6941558441558442	0.697617604967065	0.6506493506493506	0.6466094723234223	A_species_abundance	95	1601
0.6757575757575758	0.6942942500392183	0.6597402597402597	0.6555397727272727	A_species_abundance	96	1601
0.6606060606060606	0.6671319889687396	0.6506493506493506	0.6466094723234223	A_species_abundance	97	1601
0.6844155844155844	0.7047102315533399	0.6415584415584416	0.6377217553688141	A_species_abundance	98	1601
0.6820346320346319	0.6929826992238735	0.6296536796536796	0.6238100834410625	A_species_abundance	99	1601
