dataset	sample	genome	depth	coverage	dispersion	fraction	containment	log2(PTR)
ecoli	M10_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3163	0.0000
ecoli	M10_10x	ecoli	10.0000	7.4699	0.9447	1.0000	0.9823	1.1876
ecoli	M10_1x	ecoli	1.0000	1.4417	0.3098	1.0000	0.5217	1.3677
ecoli	M10_2x	ecoli	2.0000	1.9370	0.5329	1.0000	0.7547	1.3471
ecoli	M10_5x	ecoli	5.0000	3.8985	0.8405	1.0000	0.9447	1.2177
ecoli	M12_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3055	0.0000
ecoli	M12_10x	ecoli	10.0000	7.2800	1.1032	1.0000	0.9700	0.9637
ecoli	M12_1x	ecoli	1.0000	1.4686	0.3414	1.0000	0.5006	1.6548
ecoli	M12_2x	ecoli	2.0000	1.9580	0.5962	1.0000	0.7137	1.4538
ecoli	M12_5x	ecoli	5.0000	3.9329	0.9787	1.0000	0.9101	1.2617
ecoli	M13_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3021	0.0000
ecoli	M13_1x	ecoli	1.0000	1.4830	0.3518	1.0000	0.4886	1.2855
ecoli	M13_2x	ecoli	2.0000	2.0457	0.6231	1.0000	0.6915	1.4074
ecoli	M13_5x	ecoli	5.0000	3.8499	1.0599	1.0000	0.8923	1.1503
ecoli	M17_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3115	0.0000
ecoli	M17_10x	ecoli	10.0000	7.4625	1.1521	1.0000	0.9725	0.6303
ecoli	M17_1x	ecoli	1.0000	1.4707	0.3293	1.0000	0.5050	1.3580
ecoli	M17_2x	ecoli	2.0000	2.0000	0.6043	1.0000	0.7193	1.0387
ecoli	M17_5x	ecoli	5.0000	3.8306	0.9697	1.0000	0.9182	0.8845
ecoli	M18_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3155	0.0000
ecoli	M18_10x	ecoli	10.0000	7.6918	0.9209	1.0000	0.9872	0.8462
ecoli	M18_1x	ecoli	1.0000	1.4361	0.3237	1.0000	0.5261	1.1787
ecoli	M18_2x	ecoli	2.0000	1.9821	0.5771	1.0000	0.7639	1.0914
ecoli	M18_5x	ecoli	5.0000	4.1448	0.6706	1.0000	0.9583	0.7124
ecoli	M19_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.2941	0.0000
ecoli	M19_10x	ecoli	10.0000	6.8893	1.6967	1.0000	0.9734	0.8969
ecoli	M19_1x	ecoli	1.0000	1.4599	0.3327	1.0000	0.4759	1.5061
ecoli	M19_2x	ecoli	2.0000	2.0147	0.6722	1.0000	0.6838	1.2910
ecoli	M19_5x	ecoli	5.0000	3.7539	1.1972	1.0000	0.9025	0.9776
ecoli	M1_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3098	0.0000
ecoli	M1_10x	ecoli	10.0000	7.4468	0.9305	1.0000	0.9825	1.7050
ecoli	M1_1x	ecoli	1.0000	1.4467	0.3126	1.0000	0.5127	1.8056
ecoli	M1_2x	ecoli	2.0000	1.9630	0.5389	1.0000	0.7374	1.8792
ecoli	M1_5x	ecoli	5.0000	3.7946	0.8385	1.0000	0.9346	1.7842
ecoli	M22_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3106	0.0000
ecoli	M22_10x	ecoli	10.0000	7.4854	0.9746	1.0000	0.9802	0.6802
ecoli	M22_1x	ecoli	1.0000	1.4545	0.3123	1.0000	0.5146	1.1219
ecoli	M22_2x	ecoli	2.0000	1.9948	0.5754	1.0000	0.7508	0.8828
ecoli	M22_5x	ecoli	5.0000	3.9442	0.9010	1.0000	0.9387	0.8218
ecoli	M23_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3254	0.0000
ecoli	M23_10x	ecoli	10.0000	7.9446	0.8569	1.0000	0.9888	0.5597
ecoli	M23_1x	ecoli	1.0000	1.4592	0.3294	1.0000	0.5366	1.0042
ecoli	M23_2x	ecoli	2.0000	1.9753	0.5762	1.0000	0.7788	0.8599
