medium	growth_rate	sd	C_plus_D	lambdaC	tau_h	pred_log2ptr
M1	1.7207	0.0596	1.2004	1.1957	0.4028	1.7250
M2	1.5100	0.0300	1.1639	1.1675	0.4590	1.6844
M3	1.4380	0.0230	1.1460	1.0141	0.4820	1.4630
M4	1.3718	0.0057	1.1882	1.0616	0.5053	1.5315
M5	1.3580	0.0125	1.2040		0.5104	
M6	1.3549	0.0585	1.1904	0.9218	0.5116	1.3298
M7	1.3062		1.2249		0.5307	
M8	1.2509	0.0494	1.2950		0.5541	
M9	1.1432	0.0450	1.1700		0.6063	
M10	1.1500	0.0650	1.1034	0.8393	0.6027	1.2108
M11	1.1177		1.2615		0.6202	
M12	1.0220	0.0007	1.3405	0.8018	0.6782	1.1568
M13	0.8612	0.0255	1.1916	0.7157	0.8048	1.0326
M14	0.8623		1.1713		0.8038	
M15	0.8180		1.1613		0.8473	
M16	0.7613	0.0166	1.2873		0.9105	
M17	0.7440	0.0202	1.2679	0.4866	0.9316	0.7020
M18	0.7413	0.0087	1.3280	0.5946	0.9350	0.8578
M19	0.5776	0.0223	1.5805	0.6143	1.2001	0.8862
M20	0.5167	0.0160	1.5288		1.3414	
M21	0.4905	0.0085	1.5037		1.4133	
M22	0.4892	0.0064	1.5401	0.5014	1.4170	0.7233
M23	0.4770	0.0029	1.3767	0.3757	1.4531	0.5420
M24	0.4648	0.0142	1.6660	0.4756	1.4914	0.6861
M25	0.4346	0.0112	1.5596	0.4454	1.5950	0.6425
M26	0.4037	0.0148	1.6184		1.7171	
M27	0.3992	0.0075	1.6460	0.3830	1.7362	0.5526
M28	0.3395	0.0024	2.0028		2.0415	
M29	0.3098	0.0204	2.0552		2.2375	
M30	0.1907	0.0200	2.5169		3.6346	
M31	0.1830	0.0200	2.6047		3.7877	
M32	0.0610	0.0100	5.6148		11.3631	
