arm	medium	cov	log2ptr	est_cov	passed	growth_rate	pred_log2ptr
B	M13	2.0000	1.069212342	1.722488126	False	0.8612	1.0326
B	M13	5.0000	1.046698678	4.130957207	True	0.8612	1.0326
B	M17	0.5000	1.721998246	0.652034419	False	0.7440	0.7020
B	M17	10.0000	0.7839722686	8.457624806	False	0.7440	0.7020
B	M17	1.0000	1.090164077	0.9986630219	False	0.7440	0.7020
B	M17	2.0000	0.9442316876	1.808256326	False	0.7440	0.7020
B	M17	5.0000	0.7820078077	4.234591438	True	0.7440	0.7020
B	M18	0.5000	1.687172729	0.5635255581	False	0.7413	0.8578
B	M18	10.0000	0.8375012927	8.211686482	True	0.7413	0.8578
B	M18	1.0000	1.318353584	0.9173371539	False	0.7413	0.8578
B	M18	2.0000	0.989723367	1.715045208	False	0.7413	0.8578
B	M18	5.0000	0.844841405	4.145572638	True	0.7413	0.8578
B	M19	0.5000	2.063141869	0.6769206307	False	0.5776	0.8862
B	M19	10.0000	1.201256567	7.503633458	True	0.5776	0.8862
B	M19	1.0000	1.522984444	1.014893319	False	0.5776	0.8862
B	M19	2.0000	1.123393951	1.638920693	False	0.5776	0.8862
B	M19	5.0000	1.074298559	3.81674668	True	0.5776	0.8862
B	M1	0.5000	2.176150954	0.546837855	False	1.7207	1.7250
B	M1	10.0000	1.800957447	8.06987744	True	1.7207	1.7250
B	M1	1.0000	1.802471256	0.8889698628	False	1.7207	1.7250
B	M1	2.0000	1.837891458	1.660511491	True	1.7207	1.7250
B	M1	5.0000	1.783877777	4.097618779	True	1.7207	1.7250
B	M22	0.5000	1.856075014	0.5328763731	False	0.4892	0.7233
B	M22	10.0000	0.7934461006	8.333558592	True	0.4892	0.7233
B	M22	1.0000	1.222386628	0.9194186802	False	0.4892	0.7233
B	M22	2.0000	0.839663204	1.760796298	True	0.4892	0.7233
B	M22	5.0000	0.765561379	4.178829285	True	0.4892	0.7233
B	M23	0.5000	1.901017623	0.5439045333	False	0.4770	0.5420
B	M23	10.0000	0.5848272256	8.192104414	True	0.4770	0.5420
B	M23	1.0000	1.183987602	0.8912734628	False	0.4770	0.5420
B	M23	2.0000	0.7781547132	1.72710254	False	0.4770	0.5420
B	M23	5.0000	0.6134163939	4.110358088	True	0.4770	0.5420
B	M24	0.5000	1.924272562	0.5011039961	False	0.4648	0.6861
B	M24	10.0000	0.6826710121	8.138518682	True	0.4648	0.6861
B	M24	1.0000	1.263390715	0.8434745712	False	0.4648	0.6861
B	M24	2.0000	0.8605638751	1.642268496	True	0.4648	0.6861
B	M24	5.0000	0.6786301802	4.096738823	True	0.4648	0.6861
B	M25	0.5000	1.969721042	0.4782523394	False	0.4346	0.6425
