medium	depth	enzyme	log2ptr	se	ok	nw	na	r2	growth_rate	pred
M1	0.5	CspCI	1.11487	0.830855	True	16	388	0.0405612	1.7207	1.725
M1	0.5	FalI	0.480581	0.526349	True	21	575	-0.332044	1.7207	1.725
M1	0.5	HaeIV	1.30206	0.286236	True	56	5635	0.198609	1.7207	1.725
M1	0.5	Hin4I	1.08793	0.235855	True	47	4730	0.32019	1.7207	1.725
M1	0.5	PpiI	0.761402	0.64508	True	9	236	-0.00247778	1.7207	1.725
M1	0.5	PsrI			False	16	394		1.7207	1.725
M1	10	AlfI	1.73088	0.0400629	True	25	1989	0.989173	1.7207	1.725
M1	10	AloI	1.8228	0.112002	True	18	441	0.947363	1.7207	1.725
M1	10	BaeI	1.85062	0.111391	True	25	759	0.918513	1.7207	1.725
M1	10	BcgI	1.80235	0.0460522	True	29	2872	0.987024	1.7207	1.725
M1	10	BplI	1.75269	0.100218	True	15	379	0.958731	1.7207	1.725
M1	10	BsaXI	1.71283	0.0598199	True	26	970	0.970342	1.7207	1.725
M1	10	BslFI	1.82246	0.0550903	True	25	2501	0.983144	1.7207	1.725
M1	10	Bsp24I	1.79745	0.0590282	True	25	1587	0.970639	1.7207	1.725
M1	10	CjeI	1.81229	0.0274509	True	89	8897	0.980186	1.7207	1.725
M1	10	CjePI	1.78209	0.0365594	True	77	7716	0.970375	1.7207	1.725
M1	10	CspCI	1.69703	0.0997738	True	24	588	0.919258	1.7207	1.725
M1	10	FalI	1.8273	0.11308	True	26	715	0.923781	1.7207	1.725
M1	10	HaeIV	1.85833	0.0430948	True	66	6635	0.971541	1.7207	1.725
M1	10	Hin4I	1.84308	0.0414715	True	54	5430	0.98042	1.7207	1.725
M1	10	PpiI	1.68043	0.104505	True	13	336	0.95464	1.7207	1.725
M1	10	PsrI	1.834	0.089552	True	17	419	0.960775	1.7207	1.725
M1	1	AlfI	1.94761	0.174272	True	23	1831	0.840457	1.7207	1.725
M1	1	AloI	1.27608	0.39658	True	17	416	0.248337	1.7207	1.725
M1	1	BaeI	1.61354	0.281725	True	23	699	0.570954	1.7207	1.725
M1	1	BcgI	1.66488	0.136811	True	29	2872	0.812988	1.7207	1.725
M1	1	BplI	1.32105	0.300155	True	14	354	0.489528	1.7207	1.725
M1	1	BsaXI	1.62411	0.258006	True	24	894	0.548043	1.7207	1.725
M1	1	BslFI	1.41456	0.161827	True	24	2401	0.756789	1.7207	1.725
M1	1	Bsp24I	1.13485	0.266727	True	22	1398	0.404833	1.7207	1.725
M1	1	CjeI	1.4833	0.13328	True	84	8397	0.537214	1.7207	1.725
M1	1	CjePI	1.84476	0.217649	True	76	7616	0.67116	1.7207	1.725
M1	1	CspCI	2.03871	0.37224	True	22	550	0.495583	1.7207	1.725
M1	1	FalI	1.50433	0.307099	True	25	687	0.45226	1.7207	1.725
M1	1	HaeIV	1.80461	0.196435	True	65	6535	0.685778	1.7207	1.725
M1	1	Hin4I	1.55451	0.17818	True	53	5330	0.562585	1.7207	1.725
M1	1	PpiI	1.40872	0.419645	True	12	311	0.453844	1.7207	1.725
M1	1	PsrI	0.927523	0.385813	True	16	394	-0.0253183	1.7207	1.725
M1	2	AlfI	1.86228	0.12935	True	24	1910	0.883449	1.7207	1.725
M1	2	AloI	1.46672	0.318636	True	18	441	0.506057	1.7207	1.725
M1	2	BaeI	1.51919	0.188583	True	25	759	0.667038	1.7207	1.725
M1	2	BcgI	1.78759	0.0801211	True	29	2872	0.92876	1.7207	1.725
M1	2	BplI	1.70201	0.323997	True	14	354	0.713626	1.7207	1.725
M1	2	BsaXI	1.65981	0.193402	True	26	970	0.664402	1.7207	1.725
M1	2	BslFI	1.62797	0.0978317	True	25	2501	0.897959	1.7207	1.725
M1	2	Bsp24I	1.51933	0.141007	True	24	1524	0.832915	1.7207	1.725
M1	2	CjeI	1.65468	0.071548	True	88	8797	0.83501	1.7207	1.725
M1	2	CjePI	1.66055	0.0792624	True	76	7616	0.842238	1.7207	1.725
M1	2	CspCI	1.77677	0.193063	True	23	563	0.587862	1.7207	1.725
M1	2	FalI	1.85308	0.21874	True	25	687	0.68946	1.7207	1.725
M1	2	HaeIV	1.57084	0.113737	True	64	6435	0.736977	1.7207	1.725
M1	2	Hin4I	1.90056	0.125159	True	54	5430	0.893603	1.7207	1.725
M1	2	PpiI	1.50238	0.3304	True	12	311	0.509731	1.7207	1.725
M1	2	PsrI	1.59782	0.223868	True	17	419	0.667812	1.7207	1.725
M1	5	AlfI	1.76228	0.0692099	True	25	1989	0.973479	1.7207	1.725
M1	5	AloI	1.71583	0.159714	True	18	441	0.833904	1.7207	1.725
M1	5	BaeI	1.78943	0.131443	True	25	759	0.881858	1.7207	1.725
M1	5	BcgI	1.83915	0.0522413	True	29	2872	0.979647	1.7207	1.725
M1	5	BplI	1.84378	0.13164	True	15	379	0.930139	1.7207	1.725
M1	5	BsaXI	1.7	0.0867501	True	26	970	0.936378	1.7207	1.725
M1	5	BslFI	1.77304	0.0647036	True	25	2501	0.965871	1.7207	1.725
M1	5	Bsp24I	1.63036	0.0918047	True	25	1587	0.901997	1.7207	1.725
M1	5	CjeI	1.75244	0.0384977	True	89	8897	0.956594	1.7207	1.725
M1	5	CjePI	1.78682	0.0431674	True	77	7716	0.967719	1.7207	1.725
M1	5	CspCI	1.83433	0.12545	True	24	588	0.891643	1.7207	1.725
M1	5	FalI	1.84349	0.11188	True	26	715	0.912541	1.7207	1.725
M1	5	HaeIV	1.77561	0.0599853	True	66	6635	0.931306	1.7207	1.725
M1	5	Hin4I	1.87225	0.0480556	True	54	5430	0.976522	1.7207	1.725
M1	5	PpiI	1.62982	0.161426	True	13	336	0.911598	1.7207	1.725
M1	5	PsrI	1.79123	0.104941	True	17	419	0.95002	1.7207	1.725
M22	0.5	AlfI	0.859913	0.414499	True	23	1831	0.0501021	0.4892	0.7233
M22	0.5	AloI	0.951597	0.424366	True	15	366	0.0601977	0.4892	0.7233
M22	0.5	BaeI			False	22	669		0.4892	0.7233
M22	0.5	BcgI			False	28	2772		0.4892	0.7233
M22	0.5	BplI			False	10	254		0.4892	0.7233
M22	0.5	BsaXI	0.55574	0.476832	True	23	856	-0.311329	0.4892	0.7233
M22	0.5	BslFI	0.788199	0.312866	True	25	2501	0.161152	0.4892	0.7233
M22	0.5	Bsp24I	0.681119	0.574744	True	23	1461	-0.36861	0.4892	0.7233
M22	0.5	CjeI	0.672071	0.184125	True	83	8297	0.0635452	0.4892	0.7233
M22	0.5	CjePI	0.54532	0.217338	True	73	7316	-0.0568001	0.4892	0.7233
M22	0.5	CspCI	0.244289	0.337096	True	17	425	-0.0951994	0.4892	0.7233
M22	0.5	FalI			False	21	575		0.4892	0.7233
M22	0.5	HaeIV	0.303599	0.312421	True	60	6035	-0.205525	0.4892	0.7233
M22	0.5	Hin4I	0.35542	0.281167	True	52	5230	-0.179508	0.4892	0.7233
M22	0.5	PpiI			False	11	286		0.4892	0.7233
M22	0.5	PsrI	2.14225	0.654889	True	14	344	0.164542	0.4892	0.7233
M22	10	AlfI	0.769688	0.0481056	True	25	1989	0.905465	0.4892	0.7233
M22	10	AloI	0.619087	0.112646	True	18	441	0.639411	0.4892	0.7233
M22	10	BaeI	0.789143	0.112099	True	25	759	0.701762	0.4892	0.7233
M22	10	BcgI	0.704145	0.0580014	True	29	2872	0.828828	0.4892	0.7233
M22	10	BplI	0.743991	0.141789	True	15	379	0.71463	0.4892	0.7233
M22	10	BsaXI	0.519284	0.0979423	True	24	894	0.489263	0.4892	0.7233
M22	10	BslFI	0.70358	0.068708	True	25	2501	0.815955	0.4892	0.7233
M22	10	Bsp24I	0.595675	0.0651427	True	24	1524	0.798367	0.4892	0.7233
M22	10	CjeI	0.730217	0.0418199	True	89	8897	0.785645	0.4892	0.7233
M22	10	CjePI	0.745792	0.0487847	True	77	7716	0.760895	0.4892	0.7233
M22	10	CspCI	0.69488	0.118962	True	24	588	0.59916	0.4892	0.7233
M22	10	FalI	0.799365	0.133999	True	25	687	0.603969	0.4892	0.7233
M22	10	HaeIV	0.828057	0.0858306	True	66	6635	0.592137	0.4892	0.7233
M22	10	Hin4I	0.79326	0.0729698	True	54	5430	0.70754	0.4892	0.7233
M22	10	PpiI	0.722029	0.130963	True	13	336	0.709115	0.4892	0.7233
M22	10	PsrI	0.671866	0.0931143	True	17	419	0.747184	0.4892	0.7233
M22	1	AlfI	0.518543	0.156124	True	21	1673	0.304535	0.4892	0.7233
M22	1	AloI	0.51573	0.415474	True	17	416	-0.270927	0.4892	0.7233
M22	1	BaeI	0.669869	0.259967	True	23	699	0.222501	0.4892	0.7233
M22	1	BcgI	0.499397	0.210948	True	29	2872	0.146386	0.4892	0.7233
M22	1	BplI	0.0752263	0.249089	True	11	275	-0.0412808	0.4892	0.7233
M22	1	BsaXI	0.367642	0.371606	True	26	970	-0.0631189	0.4892	0.7233
M22	1	BslFI	0.888762	0.175604	True	25	2501	0.467853	0.4892	0.7233
M22	1	Bsp24I	0.690774	0.276475	True	25	1587	0.126133	0.4892	0.7233
M22	1	CjeI	0.654011	0.112744	True	89	8897	0.198605	0.4892	0.7233
M22	1	CjePI	0.50482	0.0967262	True	71	7100	0.222262	0.4892	0.7233
M22	1	CspCI	0.82206	0.236831	True	21	525	0.390022	0.4892	0.7233
M22	1	FalI	0.104042	0.356456	True	26	715	-0.244998	0.4892	0.7233
M22	1	HaeIV	0.618826	0.170451	True	64	6435	0.119996	0.4892	0.7233
M22	1	Hin4I	0.546967	0.154697	True	54	5430	0.153366	0.4892	0.7233
M22	1	PpiI	0.165997	0.388622	True	11	286	-0.070771	0.4892	0.7233
M22	1	PsrI	0.86688	0.388465	True	16	394	0.157559	0.4892	0.7233
M22	2	AlfI	0.700192	0.108168	True	25	1989	0.585605	0.4892	0.7233
M22	2	AloI	0.279213	0.296655	True	17	416	0.0175404	0.4892	0.7233
M22	2	BaeI	0.713621	0.214033	True	25	759	0.292357	0.4892	0.7233
M22	2	BcgI	0.81812	0.0798431	True	29	2872	0.783186	0.4892	0.7233
M22	2	BplI	1.03775	0.351258	True	15	379	0.337104	0.4892	0.7233
M22	2	BsaXI	0.40222	0.168694	True	25	932	0.188451	0.4892	0.7233
M22	2	BslFI	0.579692	0.121468	True	25	2501	0.459997	0.4892	0.7233
M22	2	Bsp24I	0.54699	0.162806	True	23	1461	0.312862	0.4892	0.7233
M22	2	CjeI	0.680542	0.0572581	True	89	8897	0.59319	0.4892	0.7233
M22	2	CjePI	0.752243	0.0672839	True	77	7716	0.598489	0.4892	0.7233
M22	2	CspCI	0.667107	0.265409	True	21	513	0.0472966	0.4892	0.7233
M22	2	FalI	0.671127	0.224161	True	26	715	0.232647	0.4892	0.7233
M22	2	HaeIV	0.710365	0.0955078	True	64	6435	0.486303	0.4892	0.7233
M22	2	Hin4I	0.615977	0.0983403	True	53	5330	0.433063	0.4892	0.7233
M22	2	PpiI	0.365523	0.393869	True	12	311	-0.138655	0.4892	0.7233
M22	2	PsrI	0.956265	0.133159	True	17	419	0.786804	0.4892	0.7233
M22	5	AlfI	0.76813	0.0589164	True	25	1989	0.873355	0.4892	0.7233
M22	5	AloI	0.48508	0.077001	True	17	416	0.727648	0.4892	0.7233
M22	5	BaeI	0.687952	0.116289	True	25	759	0.572839	0.4892	0.7233
M22	5	BcgI	0.776366	0.047132	True	29	2872	0.914748	0.4892	0.7233
M22	5	BplI	0.850017	0.155838	True	15	379	0.697085	0.4892	0.7233
M22	5	BsaXI	0.421759	0.102832	True	24	894	0.392644	0.4892	0.7233
M22	5	BslFI	0.724905	0.0592316	True	25	2501	0.860333	0.4892	0.7233
M22	5	Bsp24I	0.5611	0.0764242	True	24	1524	0.708384	0.4892	0.7233
M22	5	CjeI	0.659945	0.0373585	True	89	8897	0.776048	0.4892	0.7233
M22	5	CjePI	0.72914	0.0335782	True	77	7716	0.866848	0.4892	0.7233
M22	5	CspCI	0.676861	0.115769	True	23	563	0.58428	0.4892	0.7233
M22	5	FalI	0.692837	0.115039	True	26	715	0.482422	0.4892	0.7233
M22	5	HaeIV	0.796342	0.0706886	True	65	6535	0.688041	0.4892	0.7233
M22	5	Hin4I	0.676114	0.0552222	True	54	5430	0.747388	0.4892	0.7233
M22	5	PpiI	0.325501	0.181994	True	10	250	0.297919	0.4892	0.7233
M22	5	PsrI	0.832928	0.134023	True	17	419	0.622393	0.4892	0.7233
M23	0.5	AlfI	0.562648	0.315917	True	23	1831	-0.00492998	0.477	0.542
M23	0.5	AloI	0.893649	0.662154	True	13	316	-0.106152	0.477	0.542
M23	0.5	BaeI	0.127539	0.553272	True	23	699	-0.216857	0.477	0.542
M23	0.5	BcgI	0.624892	0.283085	True	28	2772	0.0552687	0.477	0.542
M23	0.5	BplI	0.164447	0.738383	True	13	329	-0.266875	0.477	0.542
M23	0.5	BsaXI	0.589465	0.440811	True	21	798	-0.100077	0.477	0.542
M23	0.5	BslFI	1.22755	0.323425	True	25	2501	0.330663	0.477	0.542
M23	0.5	Bsp24I	0.514818	0.379368	True	24	1524	-0.00451301	0.477	0.542
M23	0.5	CjeI	0.798069	0.192738	True	87	8697	0.0358695	0.477	0.542
M23	0.5	CjePI	0.359338	0.196713	True	72	7216	-0.117813	0.477	0.542
M23	0.5	CspCI			False	17	425		0.477	0.542
M23	0.5	FalI			False	18	491		0.477	0.542
M23	0.5	HaeIV	0.13304	0.270591	True	64	6435	-0.23123	0.477	0.542
M23	0.5	Hin4I	0.435189	0.241488	True	54	5430	-0.0451193	0.477	0.542
M23	0.5	PpiI	0.0676134	0.651536	True	11	286	-0.38389	0.477	0.542
M23	0.5	PsrI			False	14	344		0.477	0.542
M23	10	AlfI	0.576997	0.0545167	True	25	1989	0.845135	0.477	0.542
M23	10	AloI	0.664247	0.0768546	True	18	441	0.816244	0.477	0.542
M23	10	BaeI	0.625895	0.0739937	True	25	759	0.78318	0.477	0.542
M23	10	BcgI	0.616378	0.0349125	True	29	2872	0.918119	0.477	0.542
M23	10	BplI	0.328664	0.101271	True	12	304	0.541863	0.477	0.542
M23	10	BsaXI	0.505713	0.0641768	True	26	970	0.727209	0.477	0.542
M23	10	BslFI	0.552354	0.0454258	True	25	2501	0.862095	0.477	0.542
M23	10	Bsp24I	0.664097	0.0439115	True	25	1587	0.90413	0.477	0.542
M23	10	CjeI	0.611013	0.0234991	True	89	8897	0.881198	0.477	0.542
M23	10	CjePI	0.556972	0.022917	True	77	7716	0.883541	0.477	0.542
M23	10	CspCI	0.557012	0.0855861	True	24	588	0.672354	0.477	0.542
M23	10	FalI	0.595901	0.0794087	True	26	715	0.702858	0.477	0.542
M23	10	HaeIV	0.5475	0.0319194	True	66	6635	0.814933	0.477	0.542
M23	10	Hin4I	0.537374	0.0231003	True	54	5430	0.909331	0.477	0.542
M23	10	PpiI	0.146446	0.0682588	True	9	225	0.406939	0.477	0.542
M23	10	PsrI	0.542047	0.07451	True	17	419	0.769771	0.477	0.542
M23	1	AlfI	0.485409	0.305429	True	25	1989	0.0582007	0.477	0.542
M23	1	AloI	0.918155	0.382853	True	18	441	0.28627	0.477	0.542
M23	1	BaeI	0.298525	0.284739	True	24	729	-0.0062112	0.477	0.542
M23	1	BcgI	0.622573	0.188706	True	28	2772	0.192022	0.477	0.542
M23	1	BplI			False	15	379		0.477	0.542
M23	1	BsaXI	0.509924	0.281819	True	25	932	0.00695503	0.477	0.542
M23	1	BslFI	0.902258	0.226187	True	25	2501	0.392301	0.477	0.542
M23	1	Bsp24I	0.485174	0.204334	True	22	1398	0.154805	0.477	0.542
M23	1	CjeI	0.616274	0.110589	True	85	8497	0.191138	0.477	0.542
M23	1	CjePI	0.299496	0.110564	True	71	7116	0.032189	0.477	0.542
M23	1	CspCI			False	23	563		0.477	0.542
M23	1	FalI			False	24	659		0.477	0.542
M23	1	HaeIV	0.451777	0.188709	True	63	6335	-0.030155	0.477	0.542
M23	1	Hin4I	0.450261	0.136473	True	53	5330	0.117856	0.477	0.542
M23	1	PpiI	0.867882	0.33745	True	12	311	0.250018	0.477	0.542
M23	1	PsrI	0.355877	0.344267	True	17	419	0.0436648	0.477	0.542
M23	2	AlfI	0.637412	0.131063	True	25	1989	0.532754	0.477	0.542
M23	2	AloI	0.500756	0.19736	True	17	416	0.357455	0.477	0.542
M23	2	BaeI	0.742132	0.215624	True	24	729	0.240601	0.477	0.542
M23	2	BcgI	0.80858	0.0903608	True	28	2772	0.721486	0.477	0.542
M23	2	BplI	0.757326	0.296855	True	15	379	0.362634	0.477	0.542
M23	2	BsaXI	0.760574	0.20004	True	25	932	0.370533	0.477	0.542
M23	2	BslFI	0.803972	0.117795	True	25	2501	0.641942	0.477	0.542
M23	2	Bsp24I	0.829711	0.15765	True	25	1587	0.553335	0.477	0.542
M23	2	CjeI	0.572798	0.062282	True	88	8797	0.498219	0.477	0.542
M23	2	CjePI	0.653668	0.0643205	True	75	7516	0.554821	0.477	0.542
M23	2	CspCI	0.402526	0.149415	True	24	588	0.114883	0.477	0.542
M23	2	FalI	0.669142	0.196827	True	26	715	0.26487	0.477	0.542
M23	2	HaeIV	0.506301	0.0868295	True	63	6335	0.330533	0.477	0.542
M23	2	Hin4I	0.530416	0.0728437	True	53	5330	0.493092	0.477	0.542
M23	2	PpiI	1.05777	0.235353	True	13	336	0.52492	0.477	0.542
M23	2	PsrI	0.939162	0.151273	True	17	419	0.68029	0.477	0.542
M23	5	AlfI	0.676734	0.0717118	True	25	1989	0.812661	0.477	0.542
M23	5	AloI	0.684021	0.105517	True	18	441	0.714494	0.477	0.542
M23	5	BaeI	0.774298	0.0893838	True	25	759	0.760465	0.477	0.542
M23	5	BcgI	0.70486	0.0518174	True	29	2872	0.85958	0.477	0.542
M23	5	BplI	0.675447	0.121293	True	15	379	0.725977	0.477	0.542
M23	5	BsaXI	0.61867	0.0845935	True	26	970	0.706062	0.477	0.542
M23	5	BslFI	0.579798	0.0757591	True	25	2501	0.705117	0.477	0.542
M23	5	Bsp24I	0.649368	0.0737811	True	25	1587	0.760697	0.477	0.542
M23	5	CjeI	0.604829	0.0317557	True	89	8897	0.799661	0.477	0.542
M23	5	CjePI	0.593223	0.0297	True	77	7716	0.833843	0.477	0.542
M23	5	CspCI	0.382074	0.102556	True	24	588	0.3846	0.477	0.542
M23	5	FalI	0.688162	0.10482	True	26	715	0.615802	0.477	0.542
M23	5	HaeIV	0.606682	0.046333	True	66	6635	0.721612	0.477	0.542
M23	5	Hin4I	0.5953	0.0308244	True	54	5430	0.876619	0.477	0.542
M23	5	PpiI	0.166788	0.0841767	True	9	225	0.36693	0.477	0.542
M23	5	PsrI	0.511585	0.111352	True	17	419	0.490882	0.477	0.542
M24	0.5	AlfI	0.197751	0.297283	True	22	1752	-0.0107213	0.4648	0.6861
M24	0.5	AloI	0.72954	0.481896	True	15	366	0.0508697	0.4648	0.6861
M24	0.5	BaeI			False	22	669		0.4648	0.6861
M24	0.5	BcgI			False	27	2672		0.4648	0.6861
M24	0.5	BplI	1.16377	0.402376	True	14	354	0.336463	0.4648	0.6861
M24	0.5	BsaXI	0.0349419	0.360091	True	23	874	-0.1735	0.4648	0.6861
M24	0.5	BslFI			False	23	2301		0.4648	0.6861
M24	0.5	Bsp24I	0.0589369	0.455401	True	23	1461	-0.172965	0.4648	0.6861
M24	0.5	CjeI	0.326506	0.185118	True	86	8600	-0.12374	0.4648	0.6861
M24	0.5	CjePI	0.193904	0.206846	True	75	7516	-0.180326	0.4648	0.6861
M24	0.5	CspCI			False	18	450		0.4648	0.6861
M24	0.5	FalI			False	19	532		0.4648	0.6861
M24	0.5	HaeIV	0.338241	0.278559	True	64	6435	-0.312525	0.4648	0.6861
M24	0.5	Hin4I	0.213507	0.236231	True	54	5430	-0.196446	0.4648	0.6861
M24	0.5	PpiI			False	10	261		0.4648	0.6861
M24	0.5	PsrI	1.1544	0.793338	True	13	319	-0.19914	0.4648	0.6861
M24	10	AlfI	0.678196	0.0476914	True	25	1989	0.8886	0.4648	0.6861
M24	10	AloI	0.55349	0.0703592	True	18	441	0.778666	0.4648	0.6861
M24	10	BaeI	0.63198	0.0617193	True	25	759	0.824716	0.4648	0.6861
M24	10	BcgI	0.680213	0.0370744	True	29	2872	0.91943	0.4648	0.6861
M24	10	BplI	0.604482	0.0983149	True	15	379	0.740697	0.4648	0.6861
M24	10	BsaXI	0.714293	0.0624604	True	26	970	0.835188	0.4648	0.6861
M24	10	BslFI	0.653755	0.0384342	True	25	2501	0.923207	0.4648	0.6861
M24	10	Bsp24I	0.717636	0.0422248	True	25	1587	0.93178	0.4648	0.6861
M24	10	CjeI	0.718885	0.0219351	True	89	8897	0.92687	0.4648	0.6861
M24	10	CjePI	0.649675	0.0221751	True	77	7716	0.91479	0.4648	0.6861
M24	10	CspCI	0.668778	0.0649961	True	24	588	0.814984	0.4648	0.6861
M24	10	FalI	0.66881	0.0483171	True	26	715	0.891054	0.4648	0.6861
M24	10	HaeIV	0.624721	0.0412446	True	66	6635	0.789933	0.4648	0.6861
M24	10	Hin4I	0.64673	0.0295551	True	54	5430	0.903086	0.4648	0.6861
M24	10	PpiI	0.731131	0.0849931	True	13	336	0.880719	0.4648	0.6861
M24	10	PsrI	0.658372	0.116807	True	17	419	0.678659	0.4648	0.6861
M24	1	AlfI	0.828376	0.168743	True	24	1910	0.526175	0.4648	0.6861
M24	1	AloI	0.245844	0.601904	True	17	416	-0.202105	0.4648	0.6861
M24	1	BaeI	0.437808	0.463227	True	24	729	-0.172286	0.4648	0.6861
M24	1	BcgI	0.366138	0.219196	True	27	2672	0.0475742	0.4648	0.6861
M24	1	BplI	0.593422	0.379369	True	14	354	0.0457085	0.4648	0.6861
M24	1	BsaXI	0.576554	0.268228	True	25	932	0.0260536	0.4648	0.6861
M24	1	BslFI	0.449727	0.140172	True	24	2401	0.267144	0.4648	0.6861
M24	1	Bsp24I	0.296039	0.247393	True	23	1461	-0.0585478	0.4648	0.6861
M24	1	CjeI	0.541312	0.0973598	True	86	8597	0.228517	0.4648	0.6861
M24	1	CjePI	0.729872	0.13056	True	76	7616	0.253655	0.4648	0.6861
M24	1	CspCI	0.41965	0.279199	True	21	513	-0.0248284	0.4648	0.6861
M24	1	FalI	0.00557021	0.335901	True	25	687	-0.15883	0.4648	0.6861
M24	1	HaeIV	0.701976	0.168103	True	62	6235	0.0908904	0.4648	0.6861
M24	1	Hin4I	0.707103	0.134192	True	53	5330	0.307113	0.4648	0.6861
M24	1	PpiI	0.00800207	0.474736	True	13	336	-0.153792	0.4648	0.6861
M24	1	PsrI	0.930267	0.523994	True	17	419	-0.0400773	0.4648	0.6861
M24	2	AlfI	0.879576	0.110239	True	25	1989	0.7464	0.4648	0.6861
M24	2	AloI	0.721366	0.228735	True	18	441	0.129733	0.4648	0.6861
M24	2	BaeI	0.85797	0.218988	True	24	729	0.283243	0.4648	0.6861
M24	2	BcgI	0.455018	0.117214	True	27	2672	0.377463	0.4648	0.6861
M24	2	BplI	0.93044	0.355894	True	15	379	0.212885	0.4648	0.6861
M24	2	BsaXI	0.792013	0.208668	True	26	970	0.339923	0.4648	0.6861
M24	2	BslFI	0.551098	0.0805561	True	24	2401	0.665851	0.4648	0.6861
M24	2	Bsp24I	0.187429	0.148068	True	22	1398	-0.0340341	0.4648	0.6861
M24	2	CjeI	0.652294	0.0553851	True	89	8897	0.610023	0.4648	0.6861
M24	2	CjePI	0.624963	0.0650917	True	77	7716	0.512205	0.4648	0.6861
M24	2	CspCI	0.766524	0.189774	True	23	563	0.461867	0.4648	0.6861
M24	2	FalI	0.580144	0.172244	True	25	687	0.284056	0.4648	0.6861
M24	2	HaeIV	0.651707	0.0929334	True	66	6635	0.399013	0.4648	0.6861
M24	2	Hin4I	0.609514	0.0694961	True	51	5130	0.60707	0.4648	0.6861
M24	2	PpiI	0.237118	0.274761	True	13	336	0.05783	0.4648	0.6861
M24	2	PsrI	0.821525	0.286003	True	17	419	0.35331	0.4648	0.6861
M24	5	AlfI	0.732443	0.0570095	True	25	1989	0.871488	0.4648	0.6861
M24	5	AloI	0.63567	0.138498	True	18	441	0.488415	0.4648	0.6861
M24	5	BaeI	0.775633	0.0924758	True	25	759	0.760882	0.4648	0.6861
M24	5	BcgI	0.609192	0.0619934	True	29	2872	0.772359	0.4648	0.6861
M24	5	BplI	0.78694	0.149966	True	15	379	0.656763	0.4648	0.6861
M24	5	BsaXI	0.707285	0.1028	True	26	970	0.649893	0.4648	0.6861
M24	5	BslFI	0.701432	0.0586864	True	25	2501	0.868154	0.4648	0.6861
M24	5	Bsp24I	0.622054	0.0830761	True	23	1461	0.685216	0.4648	0.6861
M24	5	CjeI	0.69013	0.0323403	True	89	8897	0.838112	0.4648	0.6861
M24	5	CjePI	0.670221	0.0324727	True	77	7716	0.845726	0.4648	0.6861
M24	5	CspCI	0.630227	0.0935791	True	24	588	0.660079	0.4648	0.6861
M24	5	FalI	0.776879	0.0882019	True	26	715	0.755005	0.4648	0.6861
M24	5	HaeIV	0.690488	0.0523063	True	66	6635	0.72436	0.4648	0.6861
M24	5	Hin4I	0.691429	0.0396593	True	54	5430	0.849426	0.4648	0.6861
M24	5	PpiI	0.610056	0.151626	True	13	336	0.569668	0.4648	0.6861
M24	5	PsrI	0.712974	0.152472	True	17	419	0.582036	0.4648	0.6861
M25	0.5	AlfI	0.415833	0.341133	True	24	1910	0.00732448	0.4346	0.6425
M25	0.5	AloI	0.394839	0.715585	True	15	375	-0.236187	0.4346	0.6425
M25	0.5	BaeI			False	20	609		0.4346	0.6425
M25	0.5	BcgI	0.914669	0.343967	True	29	2872	0.175982	0.4346	0.6425
M25	0.5	BplI	0.752496	0.33078	True	10	254	0.433499	0.4346	0.6425
M25	0.5	BsaXI	1.68973	0.539109	True	24	894	-0.0587537	0.4346	0.6425
M25	0.5	BslFI	1.04534	0.215111	True	24	2401	0.456534	0.4346	0.6425
M25	0.5	Bsp24I	0.456353	0.326557	True	24	1524	-0.110432	0.4346	0.6425
M25	0.5	CjeI	0.846638	0.21057	True	84	8397	-0.000608852	0.4346	0.6425
M25	0.5	CjePI	0.464723	0.21256	True	76	7616	-0.102012	0.4346	0.6425
M25	0.5	CspCI			False	20	488		0.4346	0.6425
M25	0.5	FalI	0.0343943	0.570675	True	17	476	-0.190454	0.4346	0.6425
M25	0.5	HaeIV	0.215987	0.26824	True	62	6235	-0.2012	0.4346	0.6425
M25	0.5	Hin4I	0.522048	0.211485	True	53	5330	0.00442308	0.4346	0.6425
M25	0.5	PpiI			False	10	261		0.4346	0.6425
M25	0.5	PsrI	1.21137	0.945443	True	11	275	-0.324922	0.4346	0.6425
M25	10	AlfI	0.610065	0.0590718	True	25	1989	0.818225	0.4346	0.6425
M25	10	AloI	0.696771	0.0773131	True	18	441	0.822116	0.4346	0.6425
M25	10	BaeI	0.754029	0.0681256	True	25	759	0.830877	0.4346	0.6425
M25	10	BcgI	0.715385	0.036065	True	29	2872	0.925755	0.4346	0.6425
M25	10	BplI	0.543003	0.16688	True	15	379	0.440411	0.4346	0.6425
M25	10	BsaXI	0.644878	0.078544	True	26	970	0.757924	0.4346	0.6425
M25	10	BslFI	0.605045	0.059342	True	25	2501	0.803712	0.4346	0.6425
M25	10	Bsp24I	0.627059	0.0547456	True	25	1587	0.845708	0.4346	0.6425
M25	10	CjeI	0.655035	0.031413	True	89	8897	0.834089	0.4346	0.6425
M25	10	CjePI	0.673959	0.0336678	True	77	7716	0.844127	0.4346	0.6425
M25	10	CspCI	0.411824	0.0641196	True	23	563	0.665381	0.4346	0.6425
M25	10	FalI	0.613058	0.121729	True	26	715	0.533553	0.4346	0.6425
M25	10	HaeIV	0.708328	0.0570847	True	66	6635	0.687699	0.4346	0.6425
M25	10	Hin4I	0.655535	0.0473602	True	54	5430	0.793089	0.4346	0.6425
