k	medium	depth	seconds	rss_mb	log2ptr	i2	growth_rate	pred
16	M13	0.5	4.34	192.5	0.812196	0.451074	0.8612	1.0326
16	M13	10	10.55	208.312	1.04847	0.189787	0.8612	1.0326
16	M13	1	6.84	194.094	0.891717	0.492401	0.8612	1.0326
16	M13	2	8.34	192.359	0.911821	0	0.8612	1.0326
16	M13	5	9.39	194.984	1.00334	0.215525	0.8612	1.0326
16	M17	0.5	4.46	199.078	0.470551	0	0.744	0.702
16	M17	10	11.46	194.562	0.753926	0	0.744	0.702
16	M17	1	6.99	195.203	0.740669	0.181666	0.744	0.702
16	M17	2	8.32	193.297	0.658508	0.588858	0.744	0.702
16	M17	5	10.14	201	0.677994	0	0.744	0.702
16	M18	0.5	4.24	184.453	0.796361	0	0.7413	0.8578
16	M18	10	12.9	193.438	0.867959	0.22134	0.7413	0.8578
16	M18	1	6.93	203.375	0.742266	0	0.7413	0.8578
16	M18	2	8.22	193.344	0.880096	0.612573	0.7413	0.8578
16	M18	5	9.91	211.234	0.886243	0.727719	0.7413	0.8578
16	M19	0.5	4.47	198.609	0.574924	0	0.5776	0.8862
16	M19	10	10.19	195.188	0.891213	0.320978	0.5776	0.8862
16	M19	1	7.11	194.797	0.708154	0	0.5776	0.8862
16	M19	2	8.36	193.766	0.599687	0	0.5776	0.8862
16	M19	5	8.83	194.891	0.893131	0.341675	0.5776	0.8862
16	M1	0.5	4.22	192.375	1.31772	0	1.7207	1.725
16	M1	10	12.9	209.75	1.7976	0	1.7207	1.725
16	M1	1	6.43	187.859	1.58762	0.164806	1.7207	1.725
16	M1	2	8.17	209.547	1.6876	0	1.7207	1.725
16	M1	5	10.15	189.094	1.78504	0	1.7207	1.725
16	M22	0.5	4.27	190.078	0.606527	0	0.4892	0.7233
16	M22	10	12.18	188.953	0.721327	0	0.4892	0.7233
16	M22	1	7.08	191.125	0.570931	0	0.4892	0.7233
16	M22	2	8.61	215.578	0.701362	0.0639114	0.4892	0.7233
16	M22	5	10.45	203.188	0.682538	0.540199	0.4892	0.7233
16	M23	0.5	4.25	201.469	0.543778	0	0.477	0.542
16	M23	10	12.46	188.656	0.55038	0.748166	0.477	0.542
16	M23	1	6.92	202.172	0.506323	0	0.477	0.542
16	M23	2	8.27	188.078	0.64093	0.363343	0.477	0.542
16	M23	5	9.74	211.125	0.598543	0.65171	0.477	0.542
16	M24	0.5	4.39	193.438	0.311866	0	0.4648	0.6861
16	M24	10	12.28	196.547	0.671169	0	0.4648	0.6861
16	M24	1	6.71	208.75	0.578022	0	0.4648	0.6861
16	M24	2	8.41	197.234	0.624022	0.352332	0.4648	0.6861
16	M24	5	9.86	203.375	0.686248	0	0.4648	0.6861
16	M25	0.5	4.39	189.281	0.657769	0.192369	0.4346	0.6425
16	M25	10	12.5	193.312	0.646544	0.479581	0.4346	0.6425
16	M25	1	6.95	194.703	0.696979	0.578617	0.4346	0.6425
16	M25	2	8.57	178.219	0.579299	0.16544	0.4346	0.6425
16	M25	5	10.43	204.969	0.615864	0.39572	0.4346	0.6425
16	M27	0.5	4.26	184.859	0.357164	0	0.3992	0.5526
16	M27	10	12.45	199.797	0.548769	0.0829495	0.3992	0.5526
16	M27	1	7.08	195.234	0.393371	0	0.3992	0.5526
16	M27	2	8.38	178.766	0.441494	0.418732	0.3992	0.5526
16	M27	5	9.94	183	0.501111	0.0804614	0.3992	0.5526
16	M2	0.5	4.21	194.062	1.11003	0	1.51	1.6844
16	M2	10	10.51	197.344	1.8715	0.296713	1.51	1.6844
16	M2	1	6.36	190.234	1.36925	0.380176	1.51	1.6844
16	M2	2	8.17	191.547	1.43696	0.595994	1.51	1.6844
16	M2	5	9.29	195.109	1.69878	0.395006	1.51	1.6844
16	M3	0.5	4.03	176.016	1.02765	0	1.438	1.463
16	M3	10	12.23	178.609	1.50938	0.546188	1.438	1.463
16	M3	1	6.64	198.703	1.23995	0.012547	1.438	1.463
16	M3	2	7.96	187.156	1.43332	0.00393788	1.438	1.463
16	M3	5	9.49	195.516	1.52966	0.608157	1.438	1.463
16	M4	0.5	4.11	203.125	1.08034	0	1.3718	1.5315
16	M4	10	10.98	201.406	1.54783	0	1.3718	1.5315
16	M4	1	6.69	195.359	1.35647	0	1.3718	1.5315
16	M4	2	8.36	200.797	1.28386	0	1.3718	1.5315
16	M4	5	9.69	179.391	1.47101	0.277851	1.3718	1.5315
16	M6	0.5	4.25	182.766	0.998643	0.230417	1.3549	1.3298
16	M6	10	12.25	203.094	1.29306	0.141767	1.3549	1.3298
16	M6	1	6.73	200.688	1.1941	0	1.3549	1.3298
16	M6	2	7.98	195.859	1.29154	0	1.3549	1.3298
16	M6	5	9.25	201.281	1.33626	0	1.3549	1.3298
16	RUN_OUT	0.5	4.25	194.359	0.259667	0		
16	RUN_OUT	10	11.76	176.016	0.0464499	0		
16	RUN_OUT	1	6.87	193.328	0.0770539	0		
16	RUN_OUT	2	8.32	209.344	0.0970947	0		
16	RUN_OUT	5	10.04	176.625	0.0601071	0		
2	M10	0.5	2.21	163.594	0.874635	0.506517	1.15	1.2108
2	M10	10	4.22	162.203	1.25214	0	1.15	1.2108
2	M10	1	3.07	161.969	1.17157	0	1.15	1.2108
2	M10	2	3.26	155.359	1.17152	0	1.15	1.2108
2	M10	5	3.67	167.406	1.21433	0	1.15	1.2108
2	M12	0.5	2.25	161.922	1.3039	0	1.022	1.1568
2	M12	10	3.91	159.359	1.39893	0.658016	1.022	1.1568
2	M12	1	3.18	156.844	1.19683	0.695928	1.022	1.1568
2	M12	2	3.31	163.609	1.0946	0.368679	1.022	1.1568
2	M12	5	3.71	159.938	1.234	0.79038	1.022	1.1568
2	M13	0.5	2.27	158.469	0.660218	0	0.8612	1.0326
2	M13	10	3.44	168.125	1.04545	0	0.8612	1.0326
2	M13	1	3.13	167.031	0.642108	0	0.8612	1.0326
2	M13	2	3.64	169.875	0.87464	0	0.8612	1.0326
2	M13	5	3.58	157.453	0.955719	0	0.8612	1.0326
2	M17	0.5	2.24	157.578	0.538398	0	0.744	0.702
2	M17	10	3.82	161.469	0.778309	0	0.744	0.702
2	M17	1	3.15	156.594	0.892106	0.117566	0.744	0.702
2	M17	2	3.26	161.812	0.769978	0	0.744	0.702
2	M17	5	3.71	158.062	0.746518	0	0.744	0.702
2	M18	0.5	2.14	156.797	0.738729	0	0.7413	0.8578
2	M18	10	4.34	155.828	0.870105	0	0.7413	0.8578
2	M18	1	3.09	168	0.687106	0.0932807	0.7413	0.8578
2	M18	2	3.3	164.188	0.951147	0.0676112	0.7413	0.8578
2	M18	5	3.35	155.5	0.922375	0	0.7413	0.8578
2	M19	0.5	2.18	163.406	0.535665	0	0.5776	0.8862
2	M19	10	3.26	163.484	0.907051	0.206713	0.5776	0.8862
2	M19	1	3.03	167.391	0.724198	0	0.5776	0.8862
2	M19	2	3.37	157.172	0.625978	0	0.5776	0.8862
2	M19	5	3.27	157.469	0.988904	0	0.5776	0.8862
2	M1	0.5	1.95	157.141	1.30283	0	1.7207	1.725
2	M1	10	4.3	163.172	1.80122	0	1.7207	1.725
2	M1	1	2.87	158.422	1.61119	0.580544	1.7207	1.725
2	M1	2	3.31	164.672	1.55206	0	1.7207	1.725
2	M1	5	3.7	165.766	1.76727	0	1.7207	1.725
2	M22	0.5	2.16	159.469	0.553632	0	0.4892	0.7233
2	M22	10	4.13	158.156	0.7368	0	0.4892	0.7233
2	M22	1	3.23	166.484	0.553585	0	0.4892	0.7233
2	M22	2	3.55	155.578	0.709622	0	0.4892	0.7233
2	M22	5	3.82	169.688	0.69859	0.467225	0.4892	0.7233
2	M23	0.5	2.15	158.062	0.548632	0.572768	0.477	0.542
2	M23	10	3.96	157.453	0.58316	0.629246	0.477	0.542
2	M23	1	3.05	156.516	0.460387	0.498866	0.477	0.542
2	M23	2	3.14	157.5	0.621324	0	0.477	0.542
2	M23	5	3.59	165.391	0.598752	0	0.477	0.542
2	M24	0.5	2.19	164.531	0.324347	0	0.4648	0.6861
2	M24	10	4.12	164.453	0.684473	0.798577	0.4648	0.6861
2	M24	1	3.03	160.031	0.602992	0.450408	0.4648	0.6861
2	M24	2	3.37	157.969	0.642092	0	0.4648	0.6861
2	M24	5	3.66	162.859	0.680583	0	0.4648	0.6861
2	M25	0.5	2.09	157.406	0.602835	0	0.4346	0.6425
2	M25	10	4.22	163.391	0.663718	0	0.4346	0.6425
2	M25	1	3.07	156.578	0.511148	0	0.4346	0.6425
2	M25	2	3.46	156	0.633102	0.06206	0.4346	0.6425
2	M25	5	3.79	157.5	0.639724	0	0.4346	0.6425
2	M27	0.5	2.19	157.094	0.350713	0	0.3992	0.5526
2	M27	10	4.32	166.938	0.545646	0.51489	0.3992	0.5526
2	M27	1	2.89	162.109	0.477673	0	0.3992	0.5526
2	M27	2	3.63	164.516	0.393454	0.774628	0.3992	0.5526
2	M27	5	4.12	169.406	0.495267	0.667044	0.3992	0.5526
2	M2	0.5	2.16	157.453	1.24843	0	1.51	1.6844
2	M2	10	3.59	161.609	1.91246	0.0847628	1.51	1.6844
