sample	srr	genome_id	genome	n_anchors	m_B	m_C	sd_loge_obs	pois_sd	sigma_eff	med_e
S01	SRR13371683	2190	MGYG000002293	1115	11985.8800	25.2900	2.1746	0.1991	2.1654	0.8063
S06	SRR13371682	2190	MGYG000002293	1154	10976.5000	20.0300	1.4865	0.2236	1.4696	0.7682
