instance	medium	srr	cov	arm	log2ptr	est_cov	growth_rate
20260912	M10	SRR11558980	0.5	A	0.5324455486	0.5835703564	1.1500
20260912	M10	SRR11558980	0.5	B	1.710003242	0.5764614814	1.1500
20260912	M10	SRR11558980	0.5	E	0.5945948277	0.4871035324	1.1500
20260912	M10	SRR11558980	0.5	C_default			1.1500
20260912	M10	SRR11558980	0.5	C_relaxed	0.0000	1.0000	1.1500
20260912	M4	SRR11558983	0.5	A	0.8545029836	0.6417275062	1.3718
20260912	M4	SRR11558983	0.5	B	1.745673202	0.6417275062	1.3718
20260912	M4	SRR11558983	0.5	E	0.7922236368	0.5320916637	1.3718
20260912	M4	SRR11558983	0.5	C_default			1.3718
20260912	M4	SRR11558983	0.5	C_relaxed	0.0000	1.0000	1.3718
20260912	M6	SRR11558945	1	A	0.9771488757	0.9477808129	1.3549
20260912	M6	SRR11558945	1	B	1.352957542	0.9477808129	1.3549
20260912	M6	SRR11558945	1	E	1.09704933	0.8331754859	1.3549
20260912	M6	SRR11558945	1	C_default			1.3549
20260912	M6	SRR11558945	1	C_relaxed	1.5788	1.3981	1.3549
20260912	M3	SRR11558946	1	A	1.235154572	0.9311465987	1.4380
20260912	M3	SRR11558946	1	B	1.647686238	0.9311465987	1.4380
20260912	M3	SRR11558946	1	E	1.289900961	0.8044952918	1.4380
20260912	M3	SRR11558946	1	C_default			1.4380
20260912	M3	SRR11558946	1	C_relaxed	1.8831	1.3812	1.4380
20260912	M2	SRR11558949	1	A	1.244451321	1.039628331	1.5100
20260912	M2	SRR11558949	1	B	1.614486921	1.039628331	1.5100
20260912	M2	SRR11558949	1	E	1.468646964	0.9186008149	1.5100
20260912	M2	SRR11558949	1	C_default			1.5100
20260912	M2	SRR11558949	1	C_relaxed	2.0506	1.4748	1.5100
20260912	RUN_OUT	SRR11558950	1	A	0.2156906414	0.8991292712	
20260912	RUN_OUT	SRR11558950	1	B	1.033055657	0.9249290321	
20260912	RUN_OUT	SRR11558950	1	E	0.03164979388	0.8570695148	
20260912	RUN_OUT	SRR11558950	1	C_default			
20260912	RUN_OUT	SRR11558950	1	C_relaxed	1.1396	1.4413	
20260912	M27	SRR11558953	1	A	0.3942630494	0.8579985866	0.3992
20260912	M27	SRR11558953	1	B	1.015669024	0.8624222473	0.3992
20260912	M27	SRR11558953	1	E	0.3760411229	0.8037836898	0.3992
20260912	M27	SRR11558953	1	C_default			0.3992
20260912	M27	SRR11558953	1	C_relaxed	1.0809	1.4300	0.3992
20260912	M25	SRR11558957	1	A	0.5699357068	0.889514399	0.4346
20260912	M25	SRR11558957	1	B	1.196972857	0.8876378614	0.4346
20260912	M25	SRR11558957	1	E	0.4552582481	0.8021988532	0.4346
20260912	M25	SRR11558957	1	C_default			0.4346
20260912	M25	SRR11558957	1	C_relaxed	1.4310	1.4232	0.4346
20260912	M24	SRR11558960	1	A	0.6200730719	0.8784196054	0.4648
20260912	M24	SRR11558960	1	B	1.270752251	0.875710678	0.4648
20260912	M24	SRR11558960	1	E	0.4654023281	0.821020708	0.4648
20260912	M24	SRR11558960	1	C_default			0.4648
20260912	M24	SRR11558960	1	C_relaxed	1.5154	1.4041	0.4648
20260912	M22	SRR11558963	1	A	0.5213715693	0.9353500749	0.4892
20260912	M22	SRR11558963	1	B	1.095518405	0.9314101263	0.4892
20260912	M22	SRR11558963	1	E	0.405072438	0.829601771	0.4892
20260912	M22	SRR11558963	1	C_default			0.4892
20260912	M22	SRR11558963	1	C_relaxed	1.0586	1.4421	0.4892
20260912	M23	SRR11558964	1	A	0.4956364243	0.892087932	0.4770
20260912	M23	SRR11558964	1	B	1.319875608	0.8830960282	0.4770
20260912	M23	SRR11558964	1	E	0.5540105004	0.81526186	0.4770
20260912	M23	SRR11558964	1	C_default			0.4770
20260912	M23	SRR11558964	1	C_relaxed	1.2344	1.4041	0.4770
20260912	M19	SRR11558965	1	A	0.4093434836	1.008276637	0.5776
20260912	M19	SRR11558965	1	B	1.563139946	1.017650334	0.5776
20260912	M19	SRR11558965	1	E	0.5226281252	0.9021911778	0.5776
20260912	M19	SRR11558965	1	C_default			0.5776
20260912	M19	SRR11558965	1	C_relaxed	1.6291	1.4215	0.5776
20260912	M18	SRR11558969	1	A	0.6709594114	0.9162664587	0.7413
20260912	M18	SRR11558969	1	B	1.204440868	0.9162664587	0.7413
20260912	M18	SRR11558969	1	E	0.6361209913	0.8571466685	0.7413
20260912	M18	SRR11558969	1	C_default			0.7413
20260912	M18	SRR11558969	1	C_relaxed	1.3933	1.4208	0.7413
20260912	M17	SRR11558970	1	A	0.5628430194	0.9785049728	0.7440
20260912	M17	SRR11558970	1	B	1.115266559	0.9868086743	0.7440
20260912	M17	SRR11558970	1	E	0.6556683954	0.9051004094	0.7440
20260912	M17	SRR11558970	1	C_default			0.7440
20260912	M17	SRR11558970	1	C_relaxed	1.2384	1.4454	0.7440
20260912	M13	SRR11558973	1	A	0.6610441525	0.9281283293	0.8612
20260912	M13	SRR11558973	1	B	1.080184813	0.9344318576	0.8612
20260912	M13	SRR11558973	1	E	0.7166622569	0.8418348564	0.8612
20260912	M13	SRR11558973	1	C_default			0.8612
20260912	M13	SRR11558973	1	C_relaxed	1.5538	1.3846	0.8612
20260912	M12	SRR11558976	1	A	0.9033268153	1.014500896	1.0220
20260912	M12	SRR11558976	1	B	1.601049087	1.014500896	1.0220
20260912	M12	SRR11558976	1	E	0.9318931827	0.9198031971	1.0220
20260912	M12	SRR11558976	1	C_default			1.0220
20260912	M12	SRR11558976	1	C_relaxed	1.3009	1.4643	1.0220
20260912	M1	SRR11558977	1	A	1.621562239	0.8990984627	1.7207
