instance	medium	srr	cov	arm	log2ptr	est_cov	growth_rate
20260913	M6	SRR11558945	0.5	A	0.9496629695	0.4874841464	1.3549
20260913	M6	SRR11558945	0.5	B	1.969108345	0.5187043824	1.3549
20260913	M6	SRR11558945	0.5	E	0.8804104512	0.4305700673	1.3549
20260913	M6	SRR11558945	0.5	C_default			1.3549
20260913	M6	SRR11558945	0.5	C_relaxed	0.0000	1.0000	1.3549
20260913	M3	SRR11558946	0.5	A	0.8901660371	0.5657979546	1.4380
20260913	M3	SRR11558946	0.5	B	1.883193529	0.5657979546	1.4380
20260913	M3	SRR11558946	0.5	E	0.8957298566	0.4454651729	1.4380
20260913	M3	SRR11558946	0.5	C_default			1.4380
20260913	M3	SRR11558946	0.5	C_relaxed	0.0000	1.0000	1.4380
20260913	M2	SRR11558949	0.5	A	1.061526674	0.6102366872	1.5100
20260913	M2	SRR11558949	0.5	B	1.932202675	0.6209377498	1.5100
20260913	M2	SRR11558949	0.5	E	1.050881233	0.5445044121	1.5100
20260913	M2	SRR11558949	0.5	C_default			1.5100
20260913	M2	SRR11558949	0.5	C_relaxed	0.0000	1.0000	1.5100
20260913	RUN_OUT	SRR11558950	0.5	A	0.3449042368	0.5346715359	
20260913	RUN_OUT	SRR11558950	0.5	B	2.023441885	0.541592811	
20260913	RUN_OUT	SRR11558950	0.5	E	0.2001984622	0.4531781852	
20260913	RUN_OUT	SRR11558950	0.5	C_default			
20260913	RUN_OUT	SRR11558950	0.5	C_relaxed	0.0000	1.0000	
20260913	M27	SRR11558953	0.5	A	0.7527771603	0.4821540597	0.3992
20260913	M27	SRR11558953	0.5	B	1.970418196	0.4882199725	0.3992
20260913	M27	SRR11558953	0.5	E	0.5829346463	0.4158696778	0.3992
20260913	M27	SRR11558953	0.5	C_default			0.3992
20260913	M27	SRR11558953	0.5	C_relaxed	0.0000	1.0000	0.3992
20260913	M25	SRR11558957	0.5	A	0.6002672232	0.5196106007	0.4346
20260913	M25	SRR11558957	0.5	B	1.808174996	0.5191872283	0.4346
20260913	M25	SRR11558957	0.5	E	0.4808081193	0.4446733574	0.4346
20260913	M25	SRR11558957	0.5	C_default			0.4346
20260913	M25	SRR11558957	0.5	C_relaxed	0.0000	1.0000	0.4346
20260913	M24	SRR11558960	0.5	A	0.4868246297	0.5172228263	0.4648
20260913	M24	SRR11558960	0.5	B	1.723865003	0.5108383436	0.4648
20260913	M24	SRR11558960	0.5	E	0.2094480224	0.4272988082	0.4648
20260913	M24	SRR11558960	0.5	C_default			0.4648
20260913	M24	SRR11558960	0.5	C_relaxed	0.0000	1.0000	0.4648
20260913	M22	SRR11558963	0.5	A	0.5045803697	0.5323968181	0.4892
20260913	M22	SRR11558963	0.5	B	1.619953219	0.5389736706	0.4892
20260913	M22	SRR11558963	0.5	E	0.5181308448	0.469212342	0.4892
20260913	M22	SRR11558963	0.5	C_default			0.4892
20260913	M22	SRR11558963	0.5	C_relaxed	0.0000	1.0000	0.4892
20260913	M23	SRR11558964	0.5	A	0.4477428727	0.5128851666	0.4770
20260913	M23	SRR11558964	0.5	B	1.837926899	0.5216525134	0.4770
20260913	M23	SRR11558964	0.5	E	0.3698863779	0.4448620949	0.4770
20260913	M23	SRR11558964	0.5	C_default			0.4770
20260913	M23	SRR11558964	0.5	C_relaxed	0.0000	1.0000	0.4770
20260913	M19	SRR11558965	0.5	A	0.3991282501	0.630679143	0.5776
20260913	M19	SRR11558965	0.5	B	1.718605053	0.6433692396	0.5776
20260913	M19	SRR11558965	0.5	E	0.5760658278	0.5425494091	0.5776
20260913	M19	SRR11558965	0.5	C_default			0.5776
20260913	M19	SRR11558965	0.5	C_relaxed	0.0000	1.0000	0.5776
20260913	M18	SRR11558969	0.5	A	0.461120181	0.521353821	0.7413
20260913	M18	SRR11558969	0.5	B	1.820361849	0.5327616068	0.7413
20260913	M18	SRR11558969	0.5	E	0.65199874	0.4691909971	0.7413
20260913	M18	SRR11558969	0.5	C_default			0.7413
20260913	M18	SRR11558969	0.5	C_relaxed	0.0000	1.0000	0.7413
20260913	M17	SRR11558970	0.5	A	0.4302121746	0.6078924216	0.7440
20260913	M17	SRR11558970	0.5	B	1.639508884	0.6085940057	0.7440
20260913	M17	SRR11558970	0.5	E	0.455818869	0.5250908422	0.7440
20260913	M17	SRR11558970	0.5	C_default			0.7440
20260913	M17	SRR11558970	0.5	C_relaxed	0.0000	1.0000	0.7440
20260913	M13	SRR11558973	0.5	A	0.3848572621	0.5747242054	0.8612
20260913	M13	SRR11558973	0.5	B	1.986536444	0.5831806457	0.8612
20260913	M13	SRR11558973	0.5	E	0.7206404566	0.4912332376	0.8612
20260913	M13	SRR11558973	0.5	C_default			0.8612
20260913	M13	SRR11558973	0.5	C_relaxed	0.0000	1.0000	0.8612
20260913	M12	SRR11558976	0.5	A	0.5208619105	0.5764345204	1.0220
20260913	M12	SRR11558976	0.5	B	1.987736247	0.589554138	1.0220
20260913	M12	SRR11558976	0.5	E	0.4121317518	0.5127268038	1.0220
20260913	M12	SRR11558976	0.5	C_default			1.0220
20260913	M12	SRR11558976	0.5	C_relaxed	0.0000	1.0000	1.0220
20260913	M1	SRR11558977	0.5	A	1.294243146	0.5183776316	1.7207
20260913	M1	SRR11558977	0.5	B	2.381052908	0.5225042396	1.7207
20260913	M1	SRR11558977	0.5	E	1.050342756	0.4447981332	1.7207
20260913	M1	SRR11558977	0.5	C_default			1.7207
20260913	M1	SRR11558977	0.5	C_relaxed	0.0000	1.0000	1.7207
20260913	M10	SRR11558980	0.5	A	0.5817970005	0.5706378574	1.1500
20260913	M10	SRR11558980	0.5	B	1.881522973	0.5702025994	1.1500
20260913	M10	SRR11558980	0.5	E	0.4534119428	0.4847012898	1.1500
20260913	M10	SRR11558980	0.5	C_default			1.1500
20260913	M10	SRR11558980	0.5	C_relaxed	0.0000	1.0000	1.1500
20260913	M4	SRR11558983	0.5	A	0.7185641923	0.6068263101	1.3718
20260913	M4	SRR11558983	0.5	B	1.585893598	0.6068263101	1.3718
20260913	M4	SRR11558983	0.5	E	0.7301286034	0.5100749189	1.3718
20260913	M4	SRR11558983	0.5	C_default			1.3718
20260913	M4	SRR11558983	0.5	C_relaxed	0.0000	1.0000	1.3718
20260913	M6	SRR11558945	1	A	0.9539811717	0.9081538388	1.3549
20260913	M6	SRR11558945	1	B	1.416895723	0.9081538388	1.3549
20260913	M6	SRR11558945	1	E	1.123146661	0.7944971296	1.3549
20260913	M6	SRR11558945	1	C_default			1.3549
20260913	M6	SRR11558945	1	C_relaxed	1.9444	1.3698	1.3549
20260913	M3	SRR11558946	1	A	1.075727435	0.9207219023	1.4380
20260913	M3	SRR11558946	1	B	1.567444332	0.9207219023	1.4380
20260913	M3	SRR11558946	1	E	1.160627167	0.80145254	1.4380
20260913	M3	SRR11558946	1	C_default			1.4380
20260913	M3	SRR11558946	1	C_relaxed	1.9952	1.3552	1.4380
20260913	M2	SRR11558949	1	A	1.195836881	1.034486777	1.5100
20260913	M2	SRR11558949	1	B	1.520578282	1.034486777	1.5100
20260913	M2	SRR11558949	1	E	1.330762206	0.9241671383	1.5100
20260913	M2	SRR11558949	1	C_default			1.5100
20260913	M2	SRR11558949	1	C_relaxed	1.8907	1.4766	1.5100
20260913	RUN_OUT	SRR11558950	1	A	0.1697484427	0.905434795	
20260913	RUN_OUT	SRR11558950	1	B	1.019659997	0.9262630584	
20260913	RUN_OUT	SRR11558950	1	E			
20260913	RUN_OUT	SRR11558950	1	C_default			
20260913	RUN_OUT	SRR11558950	1	C_relaxed	1.1600	1.4447	
20260913	M27	SRR11558953	1	A	0.4927254768	0.8505461896	0.3992
20260913	M27	SRR11558953	1	B	1.162950466	0.8530917271	0.3992
20260913	M27	SRR11558953	1	E	0.1157015961	0.7853839036	0.3992
20260913	M27	SRR11558953	1	C_default			0.3992
20260913	M27	SRR11558953	1	C_relaxed	1.1572	1.4297	0.3992
20260913	M25	SRR11558957	1	A	0.6651709529	0.8876979331	0.4346
20260913	M25	SRR11558957	1	B	1.213793995	0.8901733312	0.4346
20260913	M25	SRR11558957	1	E	0.5624068943	0.8322747906	0.4346
20260913	M25	SRR11558957	1	C_default			0.4346
20260913	M25	SRR11558957	1	C_relaxed	1.3527	1.4336	0.4346
20260913	M24	SRR11558960	1	A	0.3826565087	0.8893987405	0.4648
20260913	M24	SRR11558960	1	B	1.13666113	0.883875689	0.4648
20260913	M24	SRR11558960	1	E	0.4673423853	0.8069749301	0.4648
20260913	M24	SRR11558960	1	C_default			0.4648
20260913	M24	SRR11558960	1	C_relaxed	1.1081	1.4222	0.4648
20260913	M22	SRR11558963	1	A	0.508119865	0.8985818541	0.4892
20260913	M22	SRR11558963	1	B	1.126707943	0.9021921436	0.4892
20260913	M22	SRR11558963	1	E	0.6446799139	0.8146521162	0.4892
20260913	M22	SRR11558963	1	C_default			0.4892
20260913	M22	SRR11558963	1	C_relaxed	1.5362	1.4260	0.4892
20260913	M23	SRR11558964	1	A	0.5833938924	0.8888332463	0.4770
20260913	M23	SRR11558964	1	B	1.274153824	0.8939461463	0.4770
20260913	M23	SRR11558964	1	E	0.5131663718	0.8041352528	0.4770
20260913	M23	SRR11558964	1	C_default			0.4770
20260913	M23	SRR11558964	1	C_relaxed	1.4680	1.3883	0.4770
20260913	M19	SRR11558965	1	A	0.5074532764	1.008548166	0.5776
20260913	M19	SRR11558965	1	B	1.459624387	1.006411245	0.5776
20260913	M19	SRR11558965	1	E	0.6840070809	0.9107087228	0.5776
20260913	M19	SRR11558965	1	C_default			0.5776
20260913	M19	SRR11558965	1	C_relaxed	1.4631	1.4329	0.5776
20260913	M18	SRR11558969	1	A	0.7766451901	0.936601037	0.7413
20260913	M18	SRR11558969	1	B	1.188556658	0.936601037	0.7413
20260913	M18	SRR11558969	1	E	0.6104478841	0.8584043597	0.7413
20260913	M18	SRR11558969	1	C_default			0.7413
20260913	M18	SRR11558969	1	C_relaxed	1.4102	1.4064	0.7413
20260913	M17	SRR11558970	1	A	0.507095626	1.011768874	0.7440
20260913	M17	SRR11558970	1	B	1.115900304	1.011768874	0.7440
20260913	M17	SRR11558970	1	E	0.4475299074	0.9105765056	0.7440
20260913	M17	SRR11558970	1	C_default			0.7440
20260913	M17	SRR11558970	1	C_relaxed	1.3321	1.4444	0.7440
20260913	M13	SRR11558973	1	A	0.7059351413	0.9364143225	0.8612
20260913	M13	SRR11558973	1	B	1.298958349	0.9364143225	0.8612
20260913	M13	SRR11558973	1	E	0.8323831724	0.853229926	0.8612
20260913	M13	SRR11558973	1	C_default			0.8612
20260913	M13	SRR11558973	1	C_relaxed	1.4015	1.3958	0.8612
20260913	M12	SRR11558976	1	A	0.7622047354	1.007618865	1.0220
20260913	M12	SRR11558976	1	B	1.344452137	1.007618865	1.0220
20260913	M12	SRR11558976	1	E	0.9132597908	0.8888732981	1.0220
20260913	M12	SRR11558976	1	C_default			1.0220
20260913	M12	SRR11558976	1	C_relaxed	1.8049	1.4322	1.0220
20260913	M1	SRR11558977	1	A	1.677991062	0.8786110289	1.7207
20260913	M1	SRR11558977	1	B	1.934585897	0.8786110289	1.7207
20260913	M1	SRR11558977	1	E	1.520781518	0.8001228057	1.7207
20260913	M1	SRR11558977	1	C_default			1.7207
20260913	M1	SRR11558977	1	C_relaxed	2.1204	1.3859	1.7207
20260913	M10	SRR11558980	1	A	0.9175230272	0.9209654936	1.1500
20260913	M10	SRR11558980	1	B	1.321843412	0.9243362073	1.1500
20260913	M10	SRR11558980	1	E	0.8345851257	0.8318443675	1.1500
20260913	M10	SRR11558980	1	C_default			1.1500
20260913	M10	SRR11558980	1	C_relaxed	1.4942	1.3928	1.1500
20260913	M4	SRR11558983	1	A	0.9728578323	0.9963477234	1.3718
20260913	M4	SRR11558983	1	B	1.414594169	0.9963477234	1.3718
20260913	M4	SRR11558983	1	E	1.1580928	0.9044857686	1.3718
20260913	M4	SRR11558983	1	C_default			1.3718
20260913	M4	SRR11558983	1	C_relaxed	1.6607	1.4552	1.3718
20260913	M6	SRR11558945	2	A	1.262735487	1.667537795	1.3549
20260913	M6	SRR11558945	2	B	1.227906594	1.667537795	1.3549
20260913	M6	SRR11558945	2	E	1.210055732	1.53444958	1.3549
20260913	M6	SRR11558945	2	C_default			1.3549
20260913	M6	SRR11558945	2	C_relaxed	1.3108	1.8431	1.3549
20260913	M3	SRR11558946	2	A	1.348558371	1.687467289	1.4380
20260913	M3	SRR11558946	2	B	1.488620483	1.687467289	1.4380
20260913	M3	SRR11558946	2	E	1.322166034	1.533909324	1.4380
20260913	M3	SRR11558946	2	C_default			1.4380
20260913	M3	SRR11558946	2	C_relaxed	1.4638	1.8272	1.4380
20260913	M2	SRR11558949	2	A	1.290408699	1.857402377	1.5100
20260913	M2	SRR11558949	2	B	1.510960844	1.857402377	1.5100
20260913	M2	SRR11558949	2	E	1.345671524	1.699774997	1.5100
20260913	M2	SRR11558949	2	C_default			1.5100
20260913	M2	SRR11558949	2	C_relaxed	1.7504	1.9379	1.5100
20260913	RUN_OUT	SRR11558950	2	A	0.07691821441	1.767847005	
20260913	RUN_OUT	SRR11558950	2	B	0.7041021246	1.752216108	
20260913	RUN_OUT	SRR11558950	2	E	0.00250565258	1.621427714	
20260913	RUN_OUT	SRR11558950	2	C_default			
20260913	RUN_OUT	SRR11558950	2	C_relaxed	0.6293	2.0361	
20260913	M27	SRR11558953	2	A	0.5782768576	1.679287548	0.3992
