instance	medium	srr	cov	arm	log2ptr	est_cov	growth_rate
1	M6	SRR11558945	0.5	A	0.9218468525	0.5540310768	1.3549
1	M3	SRR11558946	0.5	A	0.9973606931	0.5479539935	1.4380
1	M2	SRR11558949	0.5	A	1.134508227	0.6468062834	1.5100
1	RUN_OUT	SRR11558950	0.5	A	0.3007828351	0.526108221	
1	M27	SRR11558953	0.5	A	0.2476609092	0.4778778101	0.3992
1	M25	SRR11558957	0.5	A	0.5202976373	0.4779300551	0.4346
1	M24	SRR11558960	0.5	A	0.4770420185	0.4939538513	0.4648
1	M22	SRR11558963	0.5	A	0.4083768863	0.5304950525	0.4892
1	M23	SRR11558964	0.5	A	0.3790087791	0.5361695756	0.4770
1	M19	SRR11558965	0.5	A	0.2696305604	0.6850068512	0.5776
1	M18	SRR11558969	0.5	A	0.6668236387	0.5551578236	0.7413
1	M17	SRR11558970	0.5	A	0.5814698427	0.6426914932	0.7440
1	M13	SRR11558973	0.5	A	0.5726185541	0.586530941	0.8612
1	M12	SRR11558976	0.5	A	0.8384251662	0.5913662505	1.0220
1	M1	SRR11558977	0.5	A	1.082544249	0.5186565362	1.7207
1	M10	SRR11558980	0.5	A	0.6720086353	0.5646021472	1.1500
1	M4	SRR11558983	0.5	A	1.03626522	0.6684035548	1.3718
1	M6	SRR11558945	1	A	1.031991872	0.9258027096	1.3549
1	M3	SRR11558946	1	A	1.206376918	0.9170551063	1.4380
1	M2	SRR11558949	1	A	1.341405339	1.087182587	1.5100
1	RUN_OUT	SRR11558950	1	A	0.1103768387	0.9215073934	
1	M27	SRR11558953	1	A	0.2132287543	0.864418414	0.3992
1	M25	SRR11558957	1	A	0.5347385807	0.9152259101	0.4346
1	M24	SRR11558960	1	A	0.4392789642	0.8344453981	0.4648
1	M22	SRR11558963	1	A	0.6213970941	0.9194186802	0.4892
1	M23	SRR11558964	1	A	0.1727535189	0.8710034134	0.4770
1	M19	SRR11558965	1	A	0.3952119795	1.011823739	0.5776
1	M18	SRR11558969	1	A	0.6839642956	0.9173371539	0.7413
1	M17	SRR11558970	1	A	0.4390953192	1.002212357	0.7440
1	M13	SRR11558973	1	A	0.684892465	0.9312003752	0.8612
1	M12	SRR11558976	1	A	0.9268609305	0.9693244309	1.0220
1	M1	SRR11558977	1	A	1.496850605	0.8889698628	1.7207
1	M10	SRR11558980	1	A	0.714252942	0.9344047201	1.1500
1	M4	SRR11558983	1	A	0.8255283107	1.079858143	1.3718
1	M6	SRR11558945	2	A	1.204423116	1.690874282	1.3549
1	M3	SRR11558946	2	A	1.342230719	1.682673779	1.4380
1	M2	SRR11558949	2	A	1.463458762	1.88620429	1.5100
1	RUN_OUT	SRR11558950	2	A	0.1066631754	1.760564854	
1	M27	SRR11558953	2	A	0.446090733	1.630089295	0.3992
1	M25	SRR11558957	2	A	0.6465893736	1.682446526	0.4346
1	M24	SRR11558960	2	A	0.7708817332	1.642268496	0.4648
1	M22	SRR11558963	2	A	0.6968403883	1.760796298	0.4892
1	M23	SRR11558964	2	A	0.528494435	1.72710254	0.4770
1	M19	SRR11558965	2	A	0.6486438515	1.649054875	0.5776
1	M18	SRR11558969	2	A	0.7953280386	1.715045208	0.7413
1	M17	SRR11558970	2	A	0.5843182378	1.808256326	0.7440
1	M13	SRR11558973	2	A	0.8863205932	1.722488126	0.8612
1	M12	SRR11558976	2	A	1.042856012	1.762298694	1.0220
1	M1	SRR11558977	2	A	1.715323888	1.660511491	1.7207
1	M10	SRR11558980	2	A	0.9959622999	1.765012349	1.1500
1	M4	SRR11558983	2	A	1.218972839	1.860766129	1.3718
1	M6	SRR11558945	5	A	1.317018735	4.055030463	1.3549
1	M3	SRR11558946	5	A	1.504869017	4.052425682	1.4380
1	M2	SRR11558949	5	A	1.805282035	4.487063667	1.5100
1	RUN_OUT	SRR11558950	5	A	0.06113622876	4.294880216	
1	M27	SRR11558953	5	A	0.5198458516	4.100119929	0.3992
1	M25	SRR11558957	5	A	0.6304910441	4.236389243	0.4346
1	M24	SRR11558960	5	A	0.6336296871	4.096738823	0.4648
1	M22	SRR11558963	5	A	0.7034565769	4.178829285	0.4892
1	M23	SRR11558964	5	A	0.5571711359	4.110358088	0.4770
1	M19	SRR11558965	5	A	0.8546863096	3.81674668	0.5776
1	M18	SRR11558969	5	A	0.8255553578	4.145572638	0.7413
1	M17	SRR11558970	5	A	0.7153290387	4.234591438	0.7440
1	M13	SRR11558973	5	A	1.009291839	4.130957207	0.8612
1	M12	SRR11558976	5	A	1.260551627	4.196206004	1.0220
1	M1	SRR11558977	5	A	1.753768896	4.097618779	1.7207
1	M10	SRR11558980	5	A	1.148118106	4.11296252	1.1500
1	M4	SRR11558983	5	A	1.394987338	4.354525919	1.3718
1	M6	SRR11558945	10	A	1.347062992	8.078962652	1.3549
1	M3	SRR11558946	10	A	1.503594581	8.054714384	1.4380
1	M2	SRR11558949	10	A	1.802591474	8.458594476	1.5100
1	RUN_OUT	SRR11558950	10	A	0.06394936736	8.675956692	
1	M27	SRR11558953	10	A	0.520061394	8.202336756	0.3992
1	M25	SRR11558957	10	A	0.6438211253	8.351419277	0.4346
