species	n_samples	n_observations	median_log2PTR	q1_log2PTR	q3_log2PTR	median_PTR	median_coverage	median_containment	median_windows	median_anchors	median_ori_confidence	clean_denture_median_log2PTR	unclean_denture_median_log2PTR	unclean_minus_clean_log2PTR	mannwhitney_p	mannwhitney_fdr_bh	median_relative_abundance_all_samples	median_nonzero_relative_abundance
Streptococcus_oralis_BE	1	1	2.987702638	2.987702638	2.987702638	7.932098748	16.49218382	0.09803921569	5.0	75.0	0.9892694276		2.987702638				0.0	0.0018168074792269
Streptococcus_sp900766505	1	1	2.821734793	2.821734793	2.821734793	7.070120449	126.6944444	0.1371428571	6.0	93.0	0.9984531552		2.821734793				0.0	0.0008145382949649
Pseudomonas_E_sp002843585	1	1	2.805406463	2.805406463	2.805406463	6.990552401	16.09096253	0.001716336402	9.0	900.0	0.9831950556	2.805406463						
Dialister_invisus	1	1	2.741911715	2.741911715	2.741911715	6.689561821	8.491578294	0.1747572816	16.0	412.0	0.9966940852		2.741911715				0.0	0.0018453430035105
Streptococcus_sp004166885	1	1	2.705105107	2.705105107	2.705105107	6.521053732	190.7	0.1645021645	15.0	152.0	0.9997568102		2.705105107				0.0	0.00313594701428605
Prevotella_falsenii	1	1	2.674645623	2.674645623	2.674645623	6.38481856	5.733974876	0.008695652174	13.0	627.0	0.9680256172		2.674645623					
Leptotrichia_sp013394795	1	1	2.665487219	2.665487219	2.665487219	6.344415334	10.21669935	0.2796610169	9.0	234.0	0.9995594243		2.665487219				0.0	0.0011810419165546
Neisseria_flavescens_A	1	1	2.432902743	2.432902743	2.432902743	5.399787911	15.43484672	0.02288329519	8.0	162.0	0.9777212018		2.432902743				0.0	0.0003720393097491
Veillonella_parvula	1	1	2.410786287	2.410786287	2.410786287	5.317640647	37.07014587	0.2107438017	10.0	242.0	0.9997716942		2.410786287				0.0	0.0006155420698707
Pelomonas_sp003963075	1	1	2.312248055	2.312248055	2.312248055	4.966563838	36.33736892	0.006680731364	30.0	1409.0	0.9948840243	2.312248055					0.0	0.0001974230399314
Prevotella_sp000467895	1	1	2.271222398	2.271222398	2.271222398	4.827319775	1.59362426	0.02154626109	5.0	118.0	0.6800723286		2.271222398				0.0	0.00011065417645828574
Leptotrichia_A_sp000469505	1	1	2.255670655	2.255670655	2.255670655	4.775562437	7.760080379	0.08571428571	6.0	61.0	0.9300363914		2.255670655				0.0	0.00038827615494040004
Streptococcus_sanguinis_C	2	2	2.250670938	2.0864328285	2.4149090475	4.8829275615	128.916666665	0.05630630631	5.5	79.0	0.9966730141	2.579147157	1.922194719	-0.656952438			0.0	0.0009002271308886
Prevotella_scopos	2	2	2.2483069235	1.89389135025	2.6027224967500002	5.3363537574999995	20.705683195	0.02290076336	8.5	257.5	0.9823354129999999		2.2483069235				0.0	9.13950581656877e-05
UBA2866_sp013332965	2	2	2.2438373924999997	2.23524174575	2.25243303925	4.73688884	8.424512177	0.15805471125	22.0	184.5	0.99540905385		2.2438373924999997				0.0	0.00037403017314795373
Centipeda_sp001717585	2	2	2.2414488585	2.06395870425	2.41893901275	4.8725847125	12.537063605	0.08206429781999999	26.5	2605.0	0.9997784655499999		2.2414488585				0.0	0.0001325852138143
Streptococcus_sanguinis_G	1	1	2.227307145	2.227307145	2.227307145	4.682591367	81.92857143	0.03676470588	7.0	175.0	0.5145022783	2.227307145					0.0	0.0038616607047783
Aggregatibacter_segnis_A	1	1	2.226677745	2.226677745	2.226677745	4.680548954	7.877093569	0.1058394161	20.0	491.0	0.9977534636		2.226677745				0.0	0.00031732746227835
Haemophilus_D_parainfluenzae	1	1	2.196590129	2.196590129	2.196590129	4.583946255	120.05	0.08637873754	8.0	176.0	0.9999775144		2.196590129				0.0	0.0058412630663994
Micrococcus_luteus	1	1	2.193884975	2.193884975	2.193884975	4.575359089	2.717442676	0.002483854943	5.0	338.0	0.7602094639	2.193884975					0.0	0.00316232160483345
Rothia_sp902373285	1	1	2.152353291	2.152353291	2.152353291	4.445523413	168.6	0.004158004158	5.0	88.0	0.998602286		2.152353291				0.0	0.0002676558465974
Prevotella_maculosa	3	3	2.144100786	1.750251962	2.225954459	4.420166719	5.687731896	0.08461538462	53.0	2141.0	0.9984550728		2.144100786				0.0	0.0005334748656827
Rothia_mucilaginosa	1	1	2.137501992	2.137501992	2.137501992	4.399995328	73.05555556	0.02311557789	15.0	498.0	0.9998269867	2.137501992					0.0	0.0037088885219899
Neisseria_subflava	3	3	2.115914805	1.2448079624	2.2587366775	4.334647887	38.03615058	0.05384615385	21.0	266.0	0.9970780535		2.115914805				0.0	0.0015126547345131
Haemophilus_D_parainfluenzae_J	1	1	2.111782342	2.111782342	2.111782342	4.322249467	1.976246047	0.0229226361	6.0	104.0	0.781138642	2.111782342					0.0	0.0001445005419942
Peptostreptococcus_stomatis	1	1	2.087743758	2.087743758	2.087743758	4.250827626	3.291460857	0.10625	12.0	69.0	0.9200177838		2.087743758				0.0	0.0006885760931311499
Capnocytophaga_sp000466425	1	1	2.054599685	2.054599685	2.054599685	4.154283535	9.449457714	0.2013888889	42.0	673.0	0.9988049438		2.054599685				0.0	8.15344792530641e-05
Neisseria_sicca_A	2	2	2.045088937	1.8437906895	2.2463871845	4.288724553	42.1698128755	0.010359116024	5.5	97.0	0.8863283091		2.045088937				0.0	0.0004924731636951
Neisseria_macacae	1	1	2.035387914	2.035387914	2.035387914	4.099329378	156.3095238	0.03626943005	7.0	190.0	0.9993324258		2.035387914				0.0	0.0002074695162809
Neisseria_subflava_A	3	3	2.022418276	1.6500786284999998	2.3849353585	4.062642102	21.19762262	0.02459016393	7.0	161.0	0.9599680361		2.022418276				0.0	0.0025468530826582
Neisseria_sp000186165	6	6	1.977477342	1.1879864502	2.35613304825	3.946587748	11.002503102	0.027653213755	9.5	147.5	0.96403827605	1.7035872183	1.977477342	0.2738901237			0.0	0.0051659179160918
Lachnoanaerobaculum_sp000209465	2	2	1.973049391	1.5568235689999999	2.389275213	4.5978670895	3.64547537	0.061904761924999996	12.0	204.0	0.8280808800999999		1.973049391				0.0	9.85572860351683e-05
Leptotrichia_shahii	1	1	1.961257751	1.961257751	1.961257751	3.894013137	1.252190045	0.08284023669	5.0	63.0	0.6714808704		1.961257751				0.0	0.0005955015178737
