feature	rho_raw	p_raw	rho_partial_cov	p_partial	n
n_contigs	0.04309423940076561	0.32113577284543093	0.0775406742919631	0.08118376324735053	522
n50	0.0011974104505837618	0.9830033993201359	-0.03118763847993051	0.4875024995001	522
Completeness	0.0696120740880303	0.10497900419916016	0.027508515792196882	0.523495300939812	522
Contamination	0.08326131774287349	0.05598880223955209	0.09314200214941368	0.03179364127174565	522
