genome	std_log2ptr	n	mag	mean_cov	qc_rate_current	qc_any	cov_q
GCA_041397405.1_ASM4139740v1_genomic	0.7793308606340789	9	GCA_041397405.1_ASM4139740v1_genomic	5.460550701	0.0	False	Q4
GCA_041397425.1_ASM4139742v1_genomic	0.43456621882027097	9	GCA_041397425.1_ASM4139742v1_genomic	2.3020023826666667	0.1111111111111111	True	Q2
GCA_041397445.1_ASM4139744v1_genomic	0.2530078036338935	9	GCA_041397445.1_ASM4139744v1_genomic	3.2697498734444443	0.1111111111111111	True	Q3
GCA_041397465.1_ASM4139746v1_genomic	0.3395079910427411	9	GCA_041397465.1_ASM4139746v1_genomic	3.8469027452222218	0.1111111111111111	True	Q4
GCA_041397485.1_ASM4139748v1_genomic	0.6470929443017661	9	GCA_041397485.1_ASM4139748v1_genomic	3.0488583177777775	0.0	False	Q3
GCA_041397505.1_ASM4139750v1_genomic	0.35233748801861725	9	GCA_041397505.1_ASM4139750v1_genomic	2.4144107365555554	0.0	False	Q2
GCA_041397525.1_ASM4139752v1_genomic	0.654702271978299	9	GCA_041397525.1_ASM4139752v1_genomic	2.8727921796666664	0.0	False	Q3
GCA_041397545.1_ASM4139754v1_genomic	0.3927009153438406	9	GCA_041397545.1_ASM4139754v1_genomic	2.6857461587777776	0.0	False	Q3
GCA_041397565.1_ASM4139756v1_genomic	0.6016609918438501	9	GCA_041397565.1_ASM4139756v1_genomic	2.926615865	0.0	False	Q3
GCA_041397585.1_ASM4139758v1_genomic	0.5167023216532204	9	GCA_041397585.1_ASM4139758v1_genomic	3.0146122715555554	0.0	False	Q3
GCA_041397605.1_ASM4139760v1_genomic	0.4498506843280809	9	GCA_041397605.1_ASM4139760v1_genomic	2.549710917777778	0.0	False	Q2
GCA_041397625.1_ASM4139762v1_genomic	0.9460407949908652	9	GCA_041397625.1_ASM4139762v1_genomic	5.604954851	0.0	False	Q4
GCA_041397645.1_ASM4139764v1_genomic	0.4569326004823114	9	GCA_041397645.1_ASM4139764v1_genomic	2.9294768685555557	0.1111111111111111	True	Q3
GCA_041397665.1_ASM4139766v1_genomic	0.44154725498302194	9	GCA_041397665.1_ASM4139766v1_genomic	3.098966467888889	0.1111111111111111	True	Q3
GCA_041397675.1_ASM4139767v1_genomic	0.5515053830502228	9	GCA_041397675.1_ASM4139767v1_genomic	2.7717578503333336	0.0	False	Q3
GCA_041397705.1_ASM4139770v1_genomic	0.5398318519228152	9	GCA_041397705.1_ASM4139770v1_genomic	2.722984899111111	0.1111111111111111	True	Q3
GCA_041397725.1_ASM4139772v1_genomic	0.6742777983440525	9	GCA_041397725.1_ASM4139772v1_genomic	3.796494904333333	0.0	False	Q4
GCA_041397745.1_ASM4139774v1_genomic	0.7401931963065623	9	GCA_041397745.1_ASM4139774v1_genomic	3.0213507699999997	0.0	False	Q3
GCA_041397765.1_ASM4139776v1_genomic	0.4913657295264555	9	GCA_041397765.1_ASM4139776v1_genomic	2.7433852776666665	0.0	False	Q3
GCA_041397775.1_ASM4139777v1_genomic	0.4379528807847317	9	GCA_041397775.1_ASM4139777v1_genomic	2.3999785704444445	0.0	False	Q2
GCA_041397805.1_ASM4139780v1_genomic	0.5481954261767769	9	GCA_041397805.1_ASM4139780v1_genomic	3.063973377	0.1111111111111111	True	Q3
GCA_041397825.1_ASM4139782v1_genomic	0.6295615875878496	9	GCA_041397825.1_ASM4139782v1_genomic	3.2822965837777778	0.2222222222222222	True	Q3
GCA_041397845.1_ASM4139784v1_genomic	0.5992675324801525	9	GCA_041397845.1_ASM4139784v1_genomic	3.694338603666667	0.0	False	Q4
GCA_041397865.1_ASM4139786v1_genomic	0.5854943818870525	9	GCA_041397865.1_ASM4139786v1_genomic	3.9321310059999997	0.0	False	Q4
GCA_041397885.1_ASM4139788v1_genomic	0.2877636656708823	9	GCA_041397885.1_ASM4139788v1_genomic	1.7767767517777777	0.1111111111111111	True	Q1
GCA_041397905.1_ASM4139790v1_genomic	0.09925205081625961	9	GCA_041397905.1_ASM4139790v1_genomic	2.636704666222222	0.0	False	Q2
GCA_041397925.1_ASM4139792v1_genomic	0.37344960814951983	9	GCA_041397925.1_ASM4139792v1_genomic	2.8006590175555552	0.0	False	Q3
GCA_041397945.1_ASM4139794v1_genomic	0.1514886890321857	9	GCA_041397945.1_ASM4139794v1_genomic	2.5564232272222225	0.0	False	Q2
GCA_041397965.1_ASM4139796v1_genomic	0.2844830696644961	9	GCA_041397965.1_ASM4139796v1_genomic	2.6250889105555557	0.0	False	Q2
GCA_041397985.1_ASM4139798v1_genomic	0.23618322308865566	9	GCA_041397985.1_ASM4139798v1_genomic	2.3272724256666666	0.1111111111111111	True	Q2
GCA_041398005.1_ASM4139800v1_genomic	0.4288725842029238	9	GCA_041398005.1_ASM4139800v1_genomic	3.297507737666667	0.0	False	Q3
GCA_041398025.1_ASM4139802v1_genomic	0.7125968849042498	9	GCA_041398025.1_ASM4139802v1_genomic	3.749140971222223	0.0	False	Q4
GCA_041398035.1_ASM4139803v1_genomic	0.3821970207816334	9	GCA_041398035.1_ASM4139803v1_genomic	2.452828314444444	0.0	False	Q2
GCA_041398065.1_ASM4139806v1_genomic	0.773219119293172	9	GCA_041398065.1_ASM4139806v1_genomic	4.504292209222222	0.0	False	Q4
GCA_041398085.1_ASM4139808v1_genomic	0.692186498151206	9	GCA_041398085.1_ASM4139808v1_genomic	3.0048625264444446	0.0	False	Q3
