genome	gc	mode	depth	n	failed	r	rmse	slope
g03_Campylobacter_devanensis	33.5	A_k4	5.0	8	0	0.994	0.066	0.959
g03_Campylobacter_devanensis	33.5	A_k8	5.0	8	0	0.998	0.051	0.972
g03_Campylobacter_devanensis	33.5	E_s169	5.0	8	0	0.999	0.027	1.015
g03_Campylobacter_devanensis	33.5	E_s200	5.0	8	0	0.998	0.039	1.02
g04_Staphylococcus_equorum	33.0	A_k16	0.5	8	0	0.822	0.549	0.28
g04_Staphylococcus_equorum	33.0	A_k2	0.5	7	1	0.575	0.746	0.542
g04_Staphylococcus_equorum	33.0	A_k4	0.5	8	0	0.889	0.487	0.622
g04_Staphylococcus_equorum	33.0	A_k8	0.5	8	0	0.698	0.581	0.481
g04_Staphylococcus_equorum	33.0	E_s165	0.5	8	0	0.926	0.407	0.738
g04_Staphylococcus_equorum	33.0	E_s202	0.5	7	1	0.886	0.425	0.819
g04_Staphylococcus_equorum	33.0	A_k16	1.0	8	0	0.984	0.214	0.851
g04_Staphylococcus_equorum	33.0	A_k2	1.0	8	0	0.972	0.306	1.017
g04_Staphylococcus_equorum	33.0	A_k4	1.0	8	0	0.973	0.23	0.917
g04_Staphylococcus_equorum	33.0	A_k8	1.0	8	0	0.974	0.249	0.849
g04_Staphylococcus_equorum	33.0	E_s165	1.0	8	0	0.958	0.206	0.959
g04_Staphylococcus_equorum	33.0	E_s202	1.0	8	0	0.997	0.085	0.983
g04_Staphylococcus_equorum	33.0	A_k16	2.0	8	0	0.998	0.089	0.888
g04_Staphylococcus_equorum	33.0	A_k2	2.0	8	0	0.994	0.065	0.968
g04_Staphylococcus_equorum	33.0	A_k4	2.0	8	0	0.992	0.07	0.964
g04_Staphylococcus_equorum	33.0	A_k8	2.0	8	0	0.993	0.066	0.965
g04_Staphylococcus_equorum	33.0	E_s165	2.0	8	0	0.998	0.053	0.95
g04_Staphylococcus_equorum	33.0	E_s202	2.0	8	0	0.998	0.058	0.944
g04_Staphylococcus_equorum	33.0	A_k16	5.0	8	0	0.997	0.047	1.01
g04_Staphylococcus_equorum	33.0	A_k2	5.0	8	0	0.999	0.046	1.028
g04_Staphylococcus_equorum	33.0	A_k4	5.0	8	0	0.998	0.04	1.001
g04_Staphylococcus_equorum	33.0	A_k8	5.0	8	0	0.997	0.047	1.007
g04_Staphylococcus_equorum	33.0	E_s165	5.0	8	0	0.998	0.034	1.016
g04_Staphylococcus_equorum	33.0	E_s202	5.0	8	0	0.998	0.034	1.008
g05_Staphylococcus_aureus	33.0	A_k16	0.5	8	0	0.968	0.361	0.706
g05_Staphylococcus_aureus	33.0	A_k2	0.5	8	0	0.987	0.24	1.029
g05_Staphylococcus_aureus	33.0	A_k4	0.5	7	1	0.959	0.272	1.011
g05_Staphylococcus_aureus	33.0	A_k8	0.5	8	0	0.966	0.362	0.825
g05_Staphylococcus_aureus	33.0	E_s162	0.5	8	0	0.92	0.439	0.757
g05_Staphylococcus_aureus	33.0	E_s196	0.5	8	0	0.938	0.453	0.803
g05_Staphylococcus_aureus	33.0	A_k16	1.0	8	0	0.984	0.205	0.832
g05_Staphylococcus_aureus	33.0	A_k2	1.0	8	0	0.954	0.199	0.897
g05_Staphylococcus_aureus	33.0	A_k4	1.0	8	0	0.98	0.2	0.807
g05_Staphylococcus_aureus	33.0	A_k8	1.0	8	0	0.987	0.205	0.836
g05_Staphylococcus_aureus	33.0	E_s162	1.0	7	1	0.995	0.134	0.953
g05_Staphylococcus_aureus	33.0	E_s196	1.0	7	1	0.998	0.092	0.98
