genome	gc	mode	depth	n	failed	r	rmse	slope
g12_Aquipseudomonas_alloputida	61.5	A_k8	5.0	8	0	1.0	0.017	0.986
g12_Aquipseudomonas_alloputida	61.5	E_s103	5.0	8	0	1.0	0.01	0.995
g12_Aquipseudomonas_alloputida	61.5	E_s125	5.0	8	0	1.0	0.012	0.986
g13_Pseudomonas_aeruginosa	65.3	A_k16	0.5	8	0	0.99	0.346	0.796
g13_Pseudomonas_aeruginosa	65.3	A_k2	0.5	8	0	0.953	0.41	0.643
g13_Pseudomonas_aeruginosa	65.3	A_k4	0.5	8	0	0.99	0.347	0.768
g13_Pseudomonas_aeruginosa	65.3	A_k8	0.5	8	0	0.991	0.317	0.813
g13_Pseudomonas_aeruginosa	65.3	E_s103	0.5	8	0	0.986	0.38	0.691
g13_Pseudomonas_aeruginosa	65.3	E_s134	0.5	8	0	0.983	0.361	0.714
g13_Pseudomonas_aeruginosa	65.3	A_k16	1.0	8	0	0.997	0.14	0.916
g13_Pseudomonas_aeruginosa	65.3	A_k2	1.0	7	1	0.99	0.109	0.952
g13_Pseudomonas_aeruginosa	65.3	A_k4	1.0	8	0	0.996	0.101	0.965
g13_Pseudomonas_aeruginosa	65.3	A_k8	1.0	8	0	0.998	0.104	0.932
g13_Pseudomonas_aeruginosa	65.3	E_s103	1.0	8	0	0.993	0.146	0.961
g13_Pseudomonas_aeruginosa	65.3	E_s134	1.0	8	0	0.994	0.136	0.939
g13_Pseudomonas_aeruginosa	65.3	A_k16	2.0	8	0	0.999	0.055	1.001
g13_Pseudomonas_aeruginosa	65.3	A_k2	2.0	8	0	0.998	0.052	1.01
g13_Pseudomonas_aeruginosa	65.3	A_k4	2.0	8	0	0.998	0.065	0.991
g13_Pseudomonas_aeruginosa	65.3	A_k8	2.0	8	0	0.999	0.052	1.0
g13_Pseudomonas_aeruginosa	65.3	E_s103	2.0	8	0	0.998	0.048	1.006
g13_Pseudomonas_aeruginosa	65.3	E_s134	2.0	8	0	0.999	0.036	1.013
g13_Pseudomonas_aeruginosa	65.3	A_k16	5.0	8	0	0.999	0.028	0.977
g13_Pseudomonas_aeruginosa	65.3	A_k2	5.0	8	0	0.999	0.038	0.951
g13_Pseudomonas_aeruginosa	65.3	A_k4	5.0	8	0	0.999	0.035	0.963
g13_Pseudomonas_aeruginosa	65.3	A_k8	5.0	8	0	0.999	0.03	0.974
g13_Pseudomonas_aeruginosa	65.3	E_s103	5.0	8	0	0.999	0.024	0.997
g13_Pseudomonas_aeruginosa	65.3	E_s134	5.0	8	0	0.998	0.043	0.974
g14_Mycobacterium_kubicae	66.0	A_k16	0.5	8	0	0.988	0.389	0.696
g14_Mycobacterium_kubicae	66.0	A_k2	0.5	8	0	0.967	0.422	0.764
g14_Mycobacterium_kubicae	66.0	A_k4	0.5	8	0	0.974	0.347	0.774
g14_Mycobacterium_kubicae	66.0	A_k8	0.5	8	0	0.98	0.355	0.759
g14_Mycobacterium_kubicae	66.0	E_s105	0.5	8	0	0.996	0.392	0.731
g14_Mycobacterium_kubicae	66.0	E_s82	0.5	8	0	0.986	0.398	0.744
g14_Mycobacterium_kubicae	66.0	A_k16	1.0	8	0	0.997	0.138	0.929
g14_Mycobacterium_kubicae	66.0	A_k2	1.0	8	0	0.978	0.163	1.08
g14_Mycobacterium_kubicae	66.0	A_k4	1.0	8	0	0.998	0.088	0.993
g14_Mycobacterium_kubicae	66.0	A_k8	1.0	8	0	0.999	0.098	0.968
g14_Mycobacterium_kubicae	66.0	E_s105	1.0	8	0	0.993	0.133	0.968
g14_Mycobacterium_kubicae	66.0	E_s82	1.0	8	0	0.992	0.15	1.016
g14_Mycobacterium_kubicae	66.0	A_k16	2.0	8	0	0.998	0.038	0.997
g14_Mycobacterium_kubicae	66.0	A_k2	2.0	8	0	0.997	0.054	0.97
g14_Mycobacterium_kubicae	66.0	A_k4	2.0	8	0	0.997	0.046	0.984
g14_Mycobacterium_kubicae	66.0	A_k8	2.0	8	0	0.998	0.042	1.002
g14_Mycobacterium_kubicae	66.0	E_s105	2.0	8	0	0.999	0.038	0.99
g14_Mycobacterium_kubicae	66.0	E_s82	2.0	8	0	0.999	0.038	1.011
g14_Mycobacterium_kubicae	66.0	A_k16	5.0	8	0	1.0	0.019	1.003
g14_Mycobacterium_kubicae	66.0	A_k2	5.0	8	0	0.999	0.023	0.993
g14_Mycobacterium_kubicae	66.0	A_k4	5.0	8	0	0.999	0.021	0.994
g14_Mycobacterium_kubicae	66.0	A_k8	5.0	8	0	1.0	0.016	1.002
g14_Mycobacterium_kubicae	66.0	E_s105	5.0	8	0	1.0	0.019	0.991
g14_Mycobacterium_kubicae	66.0	E_s82	5.0	8	0	1.0	0.017	1.002
g15_Mycobacterium_peregrinum	66.1	A_k16	0.5	8	0	0.995	0.328	0.796
g15_Mycobacterium_peregrinum	66.1	A_k2	0.5	8	0	0.984	0.387	0.675
g15_Mycobacterium_peregrinum	66.1	A_k4	0.5	8	0	0.998	0.324	0.86
g15_Mycobacterium_peregrinum	66.1	A_k8	0.5	8	0	0.998	0.301	0.861
g15_Mycobacterium_peregrinum	66.1	E_s77	0.5	8	0	0.976	0.518	0.656
g15_Mycobacterium_peregrinum	66.1	E_s98	0.5	8	0	0.992	0.453	0.755
g15_Mycobacterium_peregrinum	66.1	A_k16	1.0	8	0	0.998	0.101	0.983
g15_Mycobacterium_peregrinum	66.1	A_k2	1.0	8	0	0.994	0.12	0.981
g15_Mycobacterium_peregrinum	66.1	A_k4	1.0	8	0	0.997	0.103	0.996
g15_Mycobacterium_peregrinum	66.1	A_k8	1.0	8	0	0.998	0.11	1.034
g15_Mycobacterium_peregrinum	66.1	E_s77	1.0	8	0	0.992	0.144	0.911
g15_Mycobacterium_peregrinum	66.1	E_s98	1.0	8	0	0.988	0.143	0.918
g15_Mycobacterium_peregrinum	66.1	A_k16	2.0	8	0	0.999	0.042	0.957
g15_Mycobacterium_peregrinum	66.1	A_k2	2.0	8	0	0.998	0.048	0.942
g15_Mycobacterium_peregrinum	66.1	A_k4	2.0	8	0	0.998	0.055	0.932
g15_Mycobacterium_peregrinum	66.1	A_k8	2.0	8	0	0.998	0.049	0.954
g15_Mycobacterium_peregrinum	66.1	E_s77	2.0	8	0	0.999	0.028	1.002
g15_Mycobacterium_peregrinum	66.1	E_s98	2.0	8	0	0.999	0.021	0.998
g15_Mycobacterium_peregrinum	66.1	A_k16	5.0	8	0	1.0	0.017	0.992
g15_Mycobacterium_peregrinum	66.1	A_k2	5.0	8	0	1.0	0.016	1.009
g15_Mycobacterium_peregrinum	66.1	A_k4	5.0	8	0	1.0	0.018	0.996
g15_Mycobacterium_peregrinum	66.1	A_k8	5.0	8	0	0.999	0.019	0.991
g15_Mycobacterium_peregrinum	66.1	E_s77	5.0	8	0	1.0	0.01	1.001
g15_Mycobacterium_peregrinum	66.1	E_s98	5.0	8	0	1.0	0.013	0.995
g16_Streptomyces_violaceoruber	72.0	A_k16	0.5	8	0	0.995	0.272	0.895
g16_Streptomyces_violaceoruber	72.0	A_k2	0.5	8	0	0.989	0.296	1.049
g16_Streptomyces_violaceoruber	72.0	A_k4	0.5	8	0	0.99	0.308	0.916
g16_Streptomyces_violaceoruber	72.0	A_k8	0.5	8	0	0.986	0.317	0.914
g16_Streptomyces_violaceoruber	72.0	E_s125	0.5	8	0	0.973	0.364	0.786
g16_Streptomyces_violaceoruber	72.0	E_s80	0.5	8	0	0.965	0.397	0.712
g16_Streptomyces_violaceoruber	72.0	A_k16	1.0	8	0	0.982	0.175	0.873
g16_Streptomyces_violaceoruber	72.0	A_k2	1.0	8	0	0.98	0.199	1.014
g16_Streptomyces_violaceoruber	72.0	A_k4	1.0	8	0	0.991	0.148	0.97
g16_Streptomyces_violaceoruber	72.0	A_k8	1.0	8	0	0.99	0.146	0.931
g16_Streptomyces_violaceoruber	72.0	E_s125	1.0	8	0	0.995	0.147	0.912
g16_Streptomyces_violaceoruber	72.0	E_s80	1.0	8	0	0.993	0.168	0.893
g16_Streptomyces_violaceoruber	72.0	A_k16	2.0	8	0	1.0	0.027	0.99
g16_Streptomyces_violaceoruber	72.0	A_k2	2.0	8	0	0.996	0.052	0.996
g16_Streptomyces_violaceoruber	72.0	A_k4	2.0	8	0	0.998	0.032	0.993
g16_Streptomyces_violaceoruber	72.0	A_k8	2.0	8	0	0.999	0.028	0.998
g16_Streptomyces_violaceoruber	72.0	E_s125	2.0	8	0	0.999	0.044	1.009
g16_Streptomyces_violaceoruber	72.0	E_s80	2.0	8	0	0.999	0.045	0.992
g16_Streptomyces_violaceoruber	72.0	A_k16	5.0	8	0	1.0	0.02	0.974
g16_Streptomyces_violaceoruber	72.0	A_k2	5.0	8	0	1.0	0.023	0.969
g16_Streptomyces_violaceoruber	72.0	A_k4	5.0	8	0	1.0	0.026	0.963
g16_Streptomyces_violaceoruber	72.0	A_k8	5.0	8	0	1.0	0.022	0.97
g16_Streptomyces_violaceoruber	72.0	E_s125	5.0	8	0	0.999	0.023	0.994
g16_Streptomyces_violaceoruber	72.0	E_s80	5.0	8	0	1.0	0.02	0.986
g17_Streptomyces_fungicidicus	72.0	A_k16	0.5	8	0	0.99	0.338	0.845
g17_Streptomyces_fungicidicus	72.0	A_k2	0.5	8	0	0.96	0.333	0.946
g17_Streptomyces_fungicidicus	72.0	A_k4	0.5	8	0	0.97	0.343	0.86
g17_Streptomyces_fungicidicus	72.0	A_k8	0.5	8	0	0.979	0.349	0.945
g17_Streptomyces_fungicidicus	72.0	E_s127	0.5	8	0	0.992	0.338	0.823
g17_Streptomyces_fungicidicus	72.0	E_s80	0.5	8	0	0.987	0.409	0.709
g17_Streptomyces_fungicidicus	72.0	A_k16	1.0	8	0	0.996	0.108	0.952
g17_Streptomyces_fungicidicus	72.0	A_k2	1.0	8	0	0.996	0.1	0.97
g17_Streptomyces_fungicidicus	72.0	A_k4	1.0	8	0	0.997	0.093	0.945
g17_Streptomyces_fungicidicus	72.0	A_k8	1.0	8	0	0.995	0.094	0.954
g17_Streptomyces_fungicidicus	72.0	E_s127	1.0	8	0	0.999	0.101	0.98
g17_Streptomyces_fungicidicus	72.0	E_s80	1.0	8	0	0.998	0.122	0.899
g17_Streptomyces_fungicidicus	72.0	A_k16	2.0	8	0	0.999	0.043	0.994
g17_Streptomyces_fungicidicus	72.0	A_k2	2.0	8	0	0.998	0.057	1.028
g17_Streptomyces_fungicidicus	72.0	A_k4	2.0	8	0	0.999	0.045	1.017
g17_Streptomyces_fungicidicus	72.0	A_k8	2.0	8	0	0.999	0.046	1.013
g17_Streptomyces_fungicidicus	72.0	E_s127	2.0	8	0	0.999	0.042	0.982
g17_Streptomyces_fungicidicus	72.0	E_s80	2.0	8	0	0.999	0.042	0.969
g17_Streptomyces_fungicidicus	72.0	A_k16	5.0	8	0	1.0	0.018	0.989
g17_Streptomyces_fungicidicus	72.0	A_k2	5.0	8	0	1.0	0.025	0.976
g17_Streptomyces_fungicidicus	72.0	A_k4	5.0	8	0	1.0	0.027	0.976
g17_Streptomyces_fungicidicus	72.0	A_k8	5.0	8	0	1.0	0.024	0.981
g17_Streptomyces_fungicidicus	72.0	E_s127	5.0	8	0	1.0	0.014	1.001
g17_Streptomyces_fungicidicus	72.0	E_s80	5.0	8	0	1.0	0.015	0.995
