method	srr	cov	slope_pos_med	slope_pos_adj_med	r_rd_med	n_enz
glm	SRR11558950	0.5	4.913318698914983e-08	5.9201920312128575e-08	0.09831049657638923	10
v_shape	SRR11558950	0.5	1.6350803128373542e-09	-4.85223368663193e-10	-0.3504309741761944	10
glm	SRR11558950	10.0	7.29278536558394e-09	1.4826825932665429e-08	-0.5076001967574779	10
v_shape	SRR11558950	10.0	7.29278536558394e-09	1.4826825932665429e-08	-0.5076001967574779	10
glm	SRR11558950	1.0	-3.507022666348634e-08	-3.5459283522510704e-08	0.03514989104981445	10
v_shape	SRR11558950	1.0	-3.507022666348634e-08	-3.5459283522510704e-08	0.03514989104981445	10
glm	SRR11558950	2.0	-5.169689129567673e-09	-3.886279131673537e-09	-0.12662505939128743	10
v_shape	SRR11558950	2.0	-5.169689129567673e-09	-3.886279131673537e-09	-0.12662505939128743	10
glm	SRR11558950	5.0	4.913318698914983e-08	5.9201920312128575e-08	0.09831049657638923	10
v_shape	SRR11558950	5.0	1.6350803128373542e-09	-4.85223368663193e-10	-0.3504309741761944	10
glm	SRR11558950	0.5	4.913318698914983e-08	5.9201920312128575e-08	0.09831049657638923	10
v_shape	SRR11558950	0.5	1.6350803128373542e-09	-4.85223368663193e-10	-0.3504309741761944	10
glm	SRR11558950	10.0	7.29278536558394e-09	1.4826825932665429e-08	-0.5076001967574779	10
v_shape	SRR11558950	10.0	7.29278536558394e-09	1.4826825932665429e-08	-0.5076001967574779	10
glm	SRR11558950	1.0	-3.507022666348634e-08	-3.5459283522510704e-08	0.03514989104981445	10
v_shape	SRR11558950	1.0	-3.507022666348634e-08	-3.5459283522510704e-08	0.03514989104981445	10
glm	SRR11558950	2.0	-5.169689129567673e-09	-3.886279131673537e-09	-0.12662505939128743	10
v_shape	SRR11558950	2.0	-5.169689129567673e-09	-3.886279131673537e-09	-0.12662505939128743	10
glm	SRR11558950	5.0	4.913318698914983e-08	5.9201920312128575e-08	0.09831049657638923	10
v_shape	SRR11558950	5.0	1.6350803128373542e-09	-4.85223368663193e-10	-0.3504309741761944	10
