srr	depth	seed	n_target	n_1	n_2	bytes_1	bytes_2	pairname_mismatch_first100k
SRR13371681	10g	42	33333333	33333333	33333333	2905393182	2962923181	0
SRR13371681	5g	42	16666667	16666667	16666667	1453673709	1482425072	0
SRR13371682	10g	42	33333333	33333333	33333333	2875842116	2966146747	0
SRR13371682	5g	42	16666667	16666667	16666667	1438910955	1484062111	0
SRR13371683	10g	42	33333333	33333333	33333333	2882813439	2938735425	0
SRR13371683	5g	42	16666667	16666667	16666667	1442464167	1470441768	0
