comparison	sample	srr	depth	denominator	n	r	ccc	bias	sd	loa_lo	loa_hi	range_x	range_y
A_default_vs_B	S01	SRR13371683	5g	all_reported	6	0.4342395617189952	0.25224608306708696	0.2062786659823468	0.2002072415893184	-0.18612752753271727	0.5986848594974108	0.10..0.60	0.21..0.62
A_default_vs_B	S01	SRR13371683	5g	qc_pass	6	0.4342395617189952	0.25224608306708696	0.2062786659823468	0.2002072415893184	-0.18612752753271727	0.5986848594974108	0.10..0.60	0.21..0.62
A_gatesoff_vs_B	S01	SRR13371683	5g	all_reported	229	-0.09410648502025917	-0.054843499048514405	-1.0806874381389906	1.837526561321794	-4.682239498329706	2.5208646220517252	0.03..12.08	0.00..3.90
A_gatesoff_vs_B	S01	SRR13371683	5g	qc_pass	32	0.10164738346923977	0.07554544827283159	0.28092013992615916	0.8529907280189176	-1.3909416869909192	1.9527819668432376	0.07..3.60	0.10..1.89
A_default_vs_B	S01	SRR13371683	10g	all_reported	11	-0.22208062896666872	-0.09624401930751102	0.3825647218201979	0.3735681972853079	-0.3496289448590055	1.1147583884994012	0.01..0.73	0.20..1.08
A_default_vs_B	S01	SRR13371683	10g	qc_pass	10	-0.22243701242914482	-0.10115653207619363	0.38571858349823707	0.3936210568338093	-0.3857786878960292	1.1572158548925033	0.01..0.73	0.20..1.08
A_gatesoff_vs_B	S01	SRR13371683	10g	all_reported	247	-0.03308177150053075	-0.023464031777837183	-0.9577987467777734	2.0515185391888764	-4.978775083587971	3.0631775900324243	0.00..12.90	0.00..9.70
A_gatesoff_vs_B	S01	SRR13371683	10g	qc_pass	52	0.2777119514243205	0.2598830608223433	0.06980947004412685	0.9242620081796119	-1.7417440659879126	1.8813630060761661	0.00..3.46	0.00..3.05
A_default_vs_B	S06	SRR13371682	5g	all_reported	14	0.1442622203504322	0.10496205074800995	0.15329275882806917	0.4124624697440605	-0.6551336818702894	0.9617191995264277	0.02..1.38	0.26..1.06
A_default_vs_B	S06	SRR13371682	5g	qc_pass	12	0.12759081128249883	0.09306203538053076	0.16116606942300765	0.44211616014318195	-0.7053816044576289	1.0277137433036443	0.02..1.38	0.26..1.06
A_gatesoff_vs_B	S06	SRR13371682	5g	all_reported	257	0.03019738632936454	0.02667231881960894	-0.7195385922838229	2.1834144996165654	-4.999031011532291	3.5599538269646454	0.00..8.73	0.00..12.10
A_gatesoff_vs_B	S06	SRR13371682	5g	qc_pass	45	0.3203117017474178	0.29978834339532445	0.027808762731533272	1.1425169902542056	-2.2115245381667097	2.2671420636297763	0.02..4.10	0.00..4.74
A_default_vs_B	S06	SRR13371682	10g	all_reported	20	0.46560066848951576	0.37489777693507337	0.19620853527062904	0.2928122753049471	-0.3777035243270673	0.7701205948683254	0.00..0.98	0.29..1.27
A_default_vs_B	S06	SRR13371682	10g	qc_pass	16	0.4442217048908453	0.3622082592349619	0.197096678438076	0.30880012869238355	-0.4081515737989958	0.8023449306751478	0.07..0.98	0.29..1.27
A_gatesoff_vs_B	S06	SRR13371682	10g	all_reported	288	0.03468314881953522	0.025470545759751086	-0.982335454574449	1.944157589494566	-4.792884329983798	2.8282134208349	0.00..13.14	0.00..11.46
A_gatesoff_vs_B	S06	SRR13371682	10g	qc_pass	50	0.17071122788617085	0.13591980081110072	0.06733046720668664	0.8369027798548591	-1.5729989813088372	1.7076599157222103	0.07..3.65	0.00..2.00
A_default_vs_B	S07	SRR13371681	5g	all_reported	21	0.63643318568412	0.46022124744189813	0.10347991272226598	0.42242622253631723	-0.7244754834489158	0.9314353088934477	0.02..1.97	0.31..1.30
A_default_vs_B	S07	SRR13371681	5g	qc_pass	20	0.550568398242717	0.38452643700297295	0.12920798385983367	0.41617722307063715	-0.6864993733586151	0.9449153410782825	0.02..1.97	0.31..1.30
A_gatesoff_vs_B	S07	SRR13371681	5g	all_reported	250	-0.1346203812984426	-0.08413936343027159	-1.1206589083439098	2.054576038474257	-5.147627943753454	2.906310127065634	0.02..10.88	0.00..6.54
A_gatesoff_vs_B	S07	SRR13371681	5g	qc_pass	52	0.04666809412900082	0.033739998380416095	-0.08268966618161434	1.1788837589725867	-2.393301833767884	2.227922501404655	0.02..5.10	0.00..2.28
A_default_vs_B	S07	SRR13371681	10g	all_reported	28	0.5636782204512445	0.4293398769290753	0.13358969320404643	0.31014730412372477	-0.47429902287845405	0.741478409286547	0.05..1.47	0.26..1.30
A_default_vs_B	S07	SRR13371681	10g	qc_pass	25	0.5703154826857842	0.4422231687792661	0.12546880349103906	0.3145174660620544	-0.4909854299905875	0.7419230369726656	0.05..1.47	0.26..1.30
A_gatesoff_vs_B	S07	SRR13371681	10g	all_reported	299	0.0671403374537857	0.04562489352723701	-1.0743799846677937	2.308327255434992	-5.598701405320378	3.4499414359847904	0.00..17.34	0.00..8.13
A_gatesoff_vs_B	S07	SRR13371681	10g	qc_pass	67	0.0572160925776368	0.04826446877029874	-0.052736476222022884	1.052921194135771	-2.1164620167281343	2.010989064284088	0.05..4.60	0.00..2.00
A_default_vs_B	ALL	ALL	5g	all_reported	41	0.5038548948689865	0.36418034942041067	0.1355328972354789	0.3884888207674934	-0.6259051914688082	0.896970985939766	0.02..1.97	0.21..1.30
A_default_vs_B	ALL	ALL	5g	qc_pass	38	0.42037541972100606	0.2958024390125014	0.15146906595175913	0.39147947301132247	-0.6158307011504329	0.9187688330539512	0.02..1.97	0.21..1.30
A_gatesoff_vs_B	ALL	ALL	5g	all_reported	736	-0.046640840076079056	-0.036754244177932535	-0.9681570226042782	2.0423976502757877	-4.971256417144822	3.034942371936266	0.00..12.08	0.00..12.10
A_gatesoff_vs_B	ALL	ALL	5g	qc_pass	129	0.19175694490419673	0.16473386004167573	0.04605407875280733	1.0951268062422408	-2.1003944614819847	2.192502618987599	0.02..5.10	0.00..4.74
A_default_vs_B	ALL	ALL	10g	all_reported	59	0.36328511539455394	0.27756343024037056	0.20123549246013658	0.3246232640315193	-0.4350261050416412	0.8374970899619144	0.00..1.47	0.20..1.30
A_default_vs_B	ALL	ALL	10g	qc_pass	51	0.353762676610432	0.2765960149620813	0.198969662299364	0.33712838579902	-0.4618019738667152	0.8597412984654431	0.01..1.47	0.20..1.30
A_gatesoff_vs_B	ALL	ALL	10g	all_reported	834	0.031885593993597985	0.02255437895342117	-1.0080677659319204	2.110432662296293	-5.144515784032654	3.1283802521688138	0.00..17.34	0.00..11.46
A_gatesoff_vs_B	ALL	ALL	10g	qc_pass	169	0.15784850988384833	0.13813223248833503	0.02049273311096684	0.9501035954232054	-1.8417103139185158	1.8826957801404494	0.00..4.60	0.00..3.05
A_default_vs_B	S01	SRR13371683	full	all_reported	58	0.4308	0.3133	0.2473		-0.4185	0.9131	0.04..1.45	0.32..1.74
A_gatesoff_vs_B	S01	SRR13371683	full	all_reported	381	0.0952	0.0705	-0.9325		-6.3628	4.4979	0.00..15.86	0.00..13.70
A_default_vs_B	S06	SRR13371682	full	all_reported	68	0.3439	0.2526	0.2215		-0.445	0.888	0.01..1.45	0.28..1.23
A_gatesoff_vs_B	S06	SRR13371682	full	all_reported	459	0.0053	0.0031	-1.1532		-7.8117	5.5053	0.01..35.46	0.00..8.00
A_default_vs_B	S07	SRR13371681	full	all_reported	78	0.5054	0.3681	0.2246		-0.4331	0.8824	0.03..1.49	0.30..1.36
A_gatesoff_vs_B	S07	SRR13371681	full	all_reported	403	0.0463	0.0262	-1.2375		-7.5615	5.0866	0.00..27.21	0.00..10.85
