genome_id	n_loci	s2_between	s2_within	pois	correctable_frac	resid_sigma
43	995	1.4719507437453476	0.5479630790354189	0.027711166666666665	0.7287195756296913	0.7402452830213907
56	99	1.7206165327744223	0.38903539644788504	0.02095989666666667	0.8155926145640066	0.6237270207774271
195	1134	1.3015638133583136	0.3950892794734266	0.040239000000000004	0.7671360862496549	0.6285612774212445
271	62	0.8636396623875844	1.184539026693808	0.00197286	0.421662263645037	1.0883653002066025
635	30	1.3764669983066267	0.8807409534599191	0.0010803100000000001	0.6098095646124985	0.9384779983888376
1280	1242	2.0008069161096103	0.4017491904044481	0.013495326666666668	0.8327825979525788	0.6338368799655383
1298	48	2.2498947539982592	0.4880982503243318	0.009206323333333334	0.8217313742022899	0.6986402867887965
1887	45	2.153785437204712	0.40911687982012146	0.023776419999999996	0.8403696945051546	0.6396224509975564
2178	66	1.145241680538978	0.5405337074345564	0.04513317666666666	0.6793560332587781	0.7352099750646454
2190	845	3.0012313310447913	0.4751210145800527	0.0004862966666666667	0.8633277161395866	0.6892902252172539
2335	1205	1.386940554302343	0.4292181727394758	0.029062303333333334	0.7636670372756507	0.655147443511364
2375	489	1.3915233346869043	0.616213362077379	0.01297159	0.6930805901637983	0.7849925872754334
2389	313	1.3819620006833753	0.4807162886585	0.02611999	0.7419219994085251	0.6933370671314927
2496	32	2.406091448571231	0.6992333228142416	0.0009736433333333334	0.7748276350166519	0.8362017237570379
2557	36	1.078959396642458	0.5405576889788497	0.03034175	0.6662229168323522	0.7352262842002112
3196	55	0.7500846922456299	0.6648431079859585	0.03911496666666667	0.5301222381261148	0.8153791191746073
3506	952	1.1834168267021212	0.4420353231120585	0.0393628	0.7280539306170337	0.6648573705029212
3518	506	1.9570037852704003	0.4626605931795558	0.008908283333333334	0.8087914186363575	0.6801915856430126
4264	30	2.021152272433005	0.6796197221740577	0.0008979533333333335	0.7483609414155911	0.8243905155774524
4560	57	2.0650746535767817	0.4289900444940436	0.015264753333333332	0.8279956230382194	0.6549733158641226
4589	45	1.0205415031484706	1.0699579592051824	0.0302873	0.4881807058679951	1.0343877218940596
