fpr,tpr,arm
0.0,0.0,Support
0.1,0.0,Support
0.1,0.6,Support
0.2,0.6,Support
0.2,0.9,Support
1.0,0.9,Support
1.0,1.0,Support
0.0,0.0,PTR
0.0,0.1,PTR
0.0,0.5,PTR
0.1,0.5,PTR
0.1,0.9,PTR
0.3,0.9,PTR
0.3,1.0,PTR
1.0,1.0,PTR
