n_samples,n_features_before,auroc,auprc,dataset,arm,n_labels,auc_ci_lower,auc_ci_upper,positive_class
63,6790,0.6166666666666667,0.6645846136045812,CRA019236,A_taxonomic_support,"{'maternal_feces': 33, 'infant_meconium': 30}",0.4757551170938595,0.7500129937629936,maternal_feces
63,1128,0.5378787878787878,0.5807144207195385,CRA019236,B_growth_PTR,"{'maternal_feces': 33, 'infant_meconium': 30}",0.3934490485383342,0.6831404320987652,maternal_feces
63,7918,0.5944444444444444,0.6487409707394882,CRA019236,C_combined,"{'maternal_feces': 33, 'infant_meconium': 30}",0.4538483322973238,0.7338391984359727,maternal_feces
20,6784,0.78,0.7303102453102452,PRJNA1005427,A_taxonomic_support,"{'benign': 10, 'cancer': 10}",0.5150331439393939,1.0,cancer
20,128,0.93,0.9290262515262514,PRJNA1005427,B_growth_PTR,"{'benign': 10, 'cancer': 10}",0.7857142857142857,1.0,cancer
20,6912,0.81,0.73913377472201,PRJNA1005427,C_combined,"{'benign': 10, 'cancer': 10}",0.5604395604395604,1.0,cancer
22,6784,0.9904761904761904,0.982142857142857,PRJNA946904,A_taxonomic_support,"{'MIBC': 15, 'NMIBC': 7}",0.9464285714285714,1.0,NMIBC
22,118,0.9571428571428572,0.9129251700680272,PRJNA946904,B_growth_PTR,"{'MIBC': 15, 'NMIBC': 7}",0.8571428571428572,1.0,NMIBC
22,6902,0.980952380952381,0.968253968253968,PRJNA946904,C_combined,"{'MIBC': 15, 'NMIBC': 7}",0.9142857142857144,1.0,NMIBC
