sample	wall_s	peak_rss_kb	count_wall_s	stats_wall_s	count_rss_kb	stats_rss_kb	count_cpu_pct	count_exit_ok	stats_exit_ok	anchors_nonzero_mm2	anchors_nonzero_mm1	genomes_lost	median_count_ratio	anchor_loss_frac	match_retention_mm1_over_mm2	mm1_reads_total	mm1_reads_with_anchor	mm2_reads_with_anchor	baseline_count_wall_s	baseline_stats_wall_s	baseline_e2e_wall_s	speedup_count	speedup_e2e
SRR28338172	3745.1099999999997	15277972	2859.81	885.3	2490296	15277972	190	True	True	4816296	4300040	0	0.7811594006174523	0.10718942523466168	0.8993202752515782	76773850	12536573	14373748.0	91005.0	2614.4	93619.4	31.82204412181229	24.9977704259688
SRR28338171	3707.25	15372524	2558.86	1148.39	2490100	15372524	192	True	True	8968411	8543786	0	0.9436551206283842	0.04734673734288042	0.9416914311283754	74244734	21232327	22898084.0	98049.0	2537.51	100586.51	38.31745386617478	27.132378447636388
SRR28338162	3230.5	15229632	2308.46	922.04	2489032	15229632	197	True	True	9384280	8966903	0	0.9463663129996496	0.0444761878375326	0.9427789906964357	70333904	20805283	22415108.0	89581.0	1982.02	91563.02	38.80552402900635	28.343296703296705
SRR28338161	3227.0699999999997	15366436	2264.52	962.55	2488288	15366436	195	True	True	8192722	7767936	0	0.9332697467342076	0.05184919004941213	0.9478557088650666	71149162	17543538	18711950.0	65629.0	1980.26	67609.26	28.981417695582287	20.950664224823136
SRR28338160	3752.88	15444328	2700.27	1052.61	2490980	15444328	191	True	True	11344573	11010781	0	0.9604055885644502	0.02942305541160517	0.9541849992235623	78565292	28092745	29758452.0	70692.0	1191.83	71883.83	26.179604261796044	19.15431082262156
SRR28338159	3462.0199999999995	15451788	2395.22	1066.8	2489056	15451788	196	True	True	11766773	11439956	0	0.9648915424848616	0.027774564870079455	0.9550615301507376	72324022	25913499	27394489.0	63662.0	2136.52	65798.52	26.57876938235319	19.005817412955444
SRR28338158	3335.1899999999996	15251684	2322.47	1012.72	2487912	15251684	193	True	True	10458089	10126416	0	0.9501639958955455	0.03171449391949144	0.9577385294830608	68507716	26560621	27968595.0	58931.0	1883.39	60814.39	25.374278246866485	18.234160572561084
SRR28338157	5256.36	15421876	3006.7	2249.66	2487776	15421876	191	True	True	10196680	9802363	0	0.948519817396922	0.038671116481050705		71400868	23840396		61593.0	2105.07	63698.07	20.485249609206107	12.118285277264116
SRR28338156	4381.59	15193608	2678.26	1703.33	2491520	15193608	195	True	True	8527424	8056582	0	0.9244229657275427	0.05521503328555022	0.9388766659495736	67423986	18270572	19727251.0	74262.0	1956.63	76218.63	27.727703807696038	17.395199003101613
