feature	rho_raw	p_raw	rho_partial_cov	p_partial
n_contigs	-0.40936366369911237	1.6474848274396477e-22	-0.3370473888758511	2.4739255961251353e-15
n50	0.42633552640299993	1.8156000273659875e-24	0.35839028932455963	2.88887676063406e-17
Completeness	0.4657833187549731	1.8082979995042235e-29	0.35337260897261663	8.480742477458021e-17
Contamination	-0.1790562977893141	3.8810894881690176e-05	-0.16632973736468523	0.00013469950436639102
