run	arm	n_rows	n_est_real	reported_fraction	estimate_fraction	n_qc_pass	qc_recall
SRR28338156	pilea_default	26	26	0.04980842911877394	0.04980842911877394		
SRR28338156	pilea_gatesoff	486	486	0.9310344827586207	0.9310344827586207		
SRR28338156	sk2bgrow	522	522	1.0	1.0	44.0	0.0842911877394636
SRR28338157	pilea_default	38	38	0.07279693486590039	0.07279693486590039		
SRR28338157	pilea_gatesoff	488	488	0.9348659003831418	0.9348659003831418		
SRR28338157	sk2bgrow	522	522	1.0	1.0	65.0	0.12452107279693486
SRR28338158	pilea_default	34	34	0.06513409961685823	0.06513409961685823		
SRR28338158	sk2bgrow	522	517	1.0	0.9904214559386973	60.0	0.11494252873563218
SRR28338159	pilea_default	43	43	0.08237547892720307	0.08237547892720307		
SRR28338159	pilea_gatesoff	458	458	0.8773946360153256	0.8773946360153256		
SRR28338159	sk2bgrow	522	521	1.0	0.9980842911877394	71.0	0.1360153256704981
SRR28338160	pilea_default	58	58	0.1111111111111111	0.1111111111111111		
SRR28338160	sk2bgrow	522	521	1.0	0.9980842911877394	72.0	0.13793103448275862
SRR28338161	pilea_default	27	27	0.05172413793103448	0.05172413793103448		
SRR28338161	sk2bgrow	522	520	1.0	0.9961685823754789	53.0	0.10153256704980843
SRR28338162	pilea_default	34	34	0.06513409961685823	0.06513409961685823		
SRR28338162	sk2bgrow	522	520	1.0	0.9961685823754789	49.0	0.09386973180076628
SRR28338171	pilea_default	38	38	0.07279693486590039	0.07279693486590039		
SRR28338171	sk2bgrow	522	520	1.0	0.9961685823754789	50.0	0.09578544061302682
SRR28338172	pilea_default	35	35	0.06704980842911877	0.06704980842911877		
SRR28338172	sk2bgrow	522	516	1.0	0.9885057471264368	20.0	0.038314176245210725
