ncontig_bin	n_mags	qc_rate_mean	qc_rate_med
<=10	73	0.2252663622526636	0.2222222222222222
11-25	84	0.19841269841269843	0.1111111111111111
26-50	131	0.06870229007633588	0.0
51-100	145	0.0636015325670498	0.0
101-200	71	0.023474178403755867	0.0
>200	18	0.043209876543209874	0.0
