run	n_common	n_common_qc_sk2b	r_log2ptr
SRR28338156	26	16	0.1905193144676923
SRR28338157	38	29	0.16596470942868422
SRR28338158	34	23	0.13350417332411765
SRR28338159	43	29	0.1767824530816279
SRR28338160	58	36	0.12747891678586207
SRR28338161	27	17	0.14399599908846156
SRR28338162	34	19	0.14317438269060606
SRR28338171	38	22	0.16572757862763157
SRR28338172	35	15	0.35636969120542855
