run	n_rows	n_nan	n_zero	min_cov
SRR28338156	522	0	0	1.258318466
SRR28338157	522	0	0	1.304661689
SRR28338158	517	5	0	1.352026309
SRR28338159	521	1	0	1.212744591
SRR28338160	521	1	0	1.457835356
SRR28338161	520	2	0	1.203178757
SRR28338162	520	2	0	1.420859582
SRR28338171	520	2	0	1.207894675
SRR28338172	516	6	0	1.547078963
