dataset	contrast	taxonomy	n_MIBC	n_NMIBC	median_MIBC	median_NMIBC	median_log2ptr_effect	p	n_benign	n_cancer	median_benign	median_cancer	n_maternal_feces	n_infant_meconium	median_maternal_feces	median_infant_meconium	q
PRJNA946904	NMIBC_vs_MIBC	s__Ralstonia_mannitolilytica	11.0	5.0	0.7700753703	0.5914935997	-0.1785817705999999	0.08974358974358976									0.5955108359133128
PRJNA946904	NMIBC_vs_MIBC	s__Cutibacterium_acnes	15.0	7.0	0.7987821381	0.3415990169	-0.4571831212	0.21006895581198984									0.5955108359133128
PRJNA946904	NMIBC_vs_MIBC	s__Ralstonia_sp007997035	15.0	6.0	0.6244182903	0.38691474290000005	-0.2375035473999999	0.2347044080790211									0.5955108359133128
PRJNA946904	NMIBC_vs_MIBC	s__Ralstonia_pickettii_B	11.0	6.0	0.9998376944	0.93811013635	-0.061727558050000075	0.3010665804783452									0.5955108359133128
PRJNA946904	NMIBC_vs_MIBC	s__Ralstonia_pickettii_A	8.0	3.0	0.9450740839	1.649724176	0.7046500921000001	0.3757575757575758									0.5955108359133128
PRJNA946904	NMIBC_vs_MIBC	s__Sphingomonas_paucimobilis	14.0	6.0	0.8921908936	0.73188076175	-0.16031013184999998	0.3970072239422085									0.5955108359133128
PRJNA946904	NMIBC_vs_MIBC	s__Ralstonia_pickettii	12.0	5.0	0.6454521827999999	0.5754007276	-0.07005145519999989	0.5058177117000646									0.6404522335249889
PRJNA946904	NMIBC_vs_MIBC	s__Ralstonia_sp000620465	15.0	6.0	0.3170242033	0.3588746156	0.04185041230000003	0.5692908742444346									0.6404522335249889
PRJNA946904	NMIBC_vs_MIBC	s__Ralstonia_sp900115545	13.0	4.0	0.8808776006	0.9917193659000001	0.11084176530000012	0.7033613445378151									0.7033613445378151
PRJNA1005427	cancer_vs_benign	s__Ralstonia_sp007997035					0.4195662640499999	0.014019277113959951	10.0	10.0	0.305812126	0.7253783900499999					0.12617349402563957
PRJNA1005427	cancer_vs_benign	s__Sphingomonas_paucimobilis					-0.5524095625500001	0.03763531378731424	10.0	10.0	1.3393636925	0.78695412995					0.14685314685314685
PRJNA1005427	cancer_vs_benign	s__Ralstonia_mannitolilytica					0.4026923183500001	0.04895104895104895	10.0	3.0	0.69808701065	1.100779329					0.14685314685314685
PRJNA1005427	cancer_vs_benign	s__Ralstonia_pickettii_A					-0.7831672767	0.12554112554112554	6.0	5.0	1.616786637	0.8336193603					0.2824675324675325
PRJNA1005427	cancer_vs_benign	s__Ralstonia_pickettii					0.13201000950000008	0.36363636363636365	9.0	5.0	0.822126776	0.9541367855					0.6545454545454545
PRJNA1005427	cancer_vs_benign	s__Ralstonia_sp000620465					0.044248687499999995	0.5364994693194564	9.0	9.0	0.2489094175	0.293158105					0.6828671328671329
PRJNA1005427	cancer_vs_benign	s__Cutibacterium_acnes					0.07461279090000006	0.6008844097079391	10.0	7.0	0.6197807724	0.6943935633					0.6828671328671329
PRJNA1005427	cancer_vs_benign	s__Ralstonia_pickettii_B					-0.19485485474999997	0.606993006993007	9.0	6.0	0.8791032118	0.68424835705					0.6828671328671329
PRJNA1005427	cancer_vs_benign	s__Ralstonia_sp900115545					-0.21496350740000003	0.8518148518148518	8.0	6.0	0.9417999841	0.7268364767					0.8518148518148518
CRA019236	infant_meconium_vs_maternal_feces	s__Parabacteroides_distasonis					0.5757336061	0.011744543066279577					30.0	12.0	0.40536593215	0.9810995382500001	0.23489086132559153
