arm	cov	n	pearson_r	ols_slope	runout_log2ptr
A	0.5	16	0.9228690204050507	0.5940609389714395	0.2375355244
A	1	16	0.9115733377485186	0.8273873404705476	0.01782118348
A	2	16	0.9577177002146516	0.7887359711647969	0.03805212827
A	5	16	0.9704867854267105	0.9205157751910943	0.04078483868
A	10	16	0.9700865858616903	0.9482057746651992	0.02599068908
B	0.5	16	0.5165417462877965	0.1623656089891209	1.796135718
B	1	16	0.7752728658135613	0.3610198719715639	1.12251692
B	2	16	0.9252617047434617	0.6518879095373862	0.6259240976
B	5	16	0.9471861768231177	0.8682517433245502	0.3834865174
B	10	16	0.9377901945811662	0.9003080681436614	0.3861122506
E	0.5	16	0.8830630115988716	0.4829630976515705	0.06212627842
E	1	16	0.9120734135690614	0.6750660071945336	-0.0189628694
E	2	16	0.9578309829830718	0.7826082010467225	0.02723449066
E	5	16	0.9895838235465291	0.9241420781001118	-0.008715713586
E	10	16	0.9848023377088218	0.9375368815674813	0.07738053036
