mode	arm	depth	n	r	slope	runout
final	A	0.5	16	0.848478	0.514655	0.2792648878
final	A	1	16	0.878506	0.834333	0.03127673842
final	E	0.5	16	0.900831	0.505694	0.03621211321
final	E	1	16	0.913904	0.668297	-0.01605412703
sp	A	0.5	16	0.922869	0.594061	0.2375355244
sp	A	1	16	0.911573	0.827387	0.01782118348
sp	E	0.5	16	0.883063	0.482963	0.06212627842
sp	E	1	16	0.912073	0.675066	-0.0189628694
off	A	0.5	16	0.917650	0.560730	0.2349468043
off	A	1	16	0.908029	0.836128	0.006342219228
off	E	0.5	16	0.863515	0.492602	0.07504890243
off	E	1	16	0.902666	0.684861	0.05113568205
