arm	medium	cov	log2ptr	growth_rate	pred
A_k16	M10	0.5000	0.6337	1.1500	1.2108
A_k16	M10	10.0000	1.2332	1.1500	1.2108
A_k16	M10	1.0000	0.7320	1.1500	1.2108
A_k16	M10	2.0000	0.9019	1.1500	1.2108
A_k16	M10	5.0000	1.2080	1.1500	1.2108
A_k16	M12	0.5000	0.3977	1.0220	1.1568
A_k16	M12	10.0000	1.1640	1.0220	1.1568
A_k16	M12	1.0000	0.8505	1.0220	1.1568
A_k16	M12	2.0000	1.1679	1.0220	1.1568
A_k16	M12	5.0000	1.1010	1.0220	1.1568
A_k16	M13	0.5000	0.5450	0.8612	1.0326
A_k16	M13	10.0000	1.0277	0.8612	1.0326
A_k16	M13	1.0000	0.6839	0.8612	1.0326
A_k16	M13	2.0000	0.9352	0.8612	1.0326
A_k16	M13	5.0000	1.0367	0.8612	1.0326
A_k16	M17	0.5000	0.6095	0.7440	0.7020
A_k16	M17	10.0000	0.7039	0.7440	0.7020
A_k16	M17	1.0000	0.5202	0.7440	0.7020
A_k16	M17	2.0000	0.5993	0.7440	0.7020
A_k16	M17	5.0000	0.6570	0.7440	0.7020
A_k16	M18	0.5000	0.5990	0.7413	0.8578
A_k16	M18	10.0000	0.8408	0.7413	0.8578
A_k16	M18	1.0000	0.6696	0.7413	0.8578
A_k16	M18	2.0000	0.8877	0.7413	0.8578
A_k16	M18	5.0000	0.8599	0.7413	0.8578
A_k16	M19	0.5000	0.4708	0.5776	0.8862
A_k16	M19	10.0000	0.8648	0.5776	0.8862
A_k16	M19	1.0000	0.9042	0.5776	0.8862
A_k16	M19	2.0000	0.6549	0.5776	0.8862
A_k16	M19	5.0000	0.8252	0.5776	0.8862
A_k16	M1	0.5000	0.4581	1.7207	1.7250
A_k16	M1	10.0000	1.7615	1.7207	1.7250
A_k16	M1	1.0000	1.3785	1.7207	1.7250
A_k16	M1	2.0000	1.6898	1.7207	1.7250
A_k16	M1	5.0000	1.6794	1.7207	1.7250
A_k16	M22	0.5000	0.3904	0.4892	0.7233
A_k16	M22	10.0000	0.6996	0.4892	0.7233
A_k16	M22	1.0000	0.6177	0.4892	0.7233
A_k16	M22	2.0000	0.6762	0.4892	0.7233
A_k16	M22	5.0000	0.6557	0.4892	0.7233
A_k16	M23	0.5000	0.4431	0.4770	0.5420
A_k16	M23	10.0000	0.5568	0.4770	0.5420
A_k16	M23	1.0000	0.5436	0.4770	0.5420
A_k16	M23	2.0000	0.5955	0.4770	0.5420
A_k16	M23	5.0000	0.5586	0.4770	0.5420
A_k16	M24	0.5000	0.6201	0.4648	0.6861
A_k16	M24	10.0000	0.6228	0.4648	0.6861
A_k16	M24	1.0000	0.6542	0.4648	0.6861
A_k16	M24	2.0000	0.7727	0.4648	0.6861
A_k16	M24	5.0000	0.6700	0.4648	0.6861
A_k16	M25	0.5000	0.3353	0.4346	0.6425
A_k16	M25	10.0000	0.6021	0.4346	0.6425
A_k16	M25	1.0000	0.5634	0.4346	0.6425
A_k16	M25	2.0000	0.6072	0.4346	0.6425
A_k16	M25	5.0000	0.5822	0.4346	0.6425
A_k16	M27	0.5000	0.2825	0.3992	0.5526
A_k16	M27	10.0000	0.5145	0.3992	0.5526
A_k16	M27	1.0000	0.3616	0.3992	0.5526
A_k16	M27	2.0000	0.4252	0.3992	0.5526
