arm	medium	cov	surv	lm_win	det_frac	n_win
A_k2	M1	10.0000	True	94.9578	0.9488	166
A_k2	M1	1.0000	True	32.1506	0.3213	166
A_k2	M1	2.0000	True	53.5542	0.5351	166
A_k2	M1	5.0000	True	82.4036	0.8233	166
A_k2	M22	0.5000	True	18.8855	0.1887	166
A_k2	M22	10.0000	True	95.9277	0.9585	166
A_k2	M22	1.0000	True	33.3193	0.3329	166
A_k2	M22	2.0000	True	54.8675	0.5482	166
A_k2	M22	5.0000	True	84.3554	0.8428	166
A_k2	M23	0.5000	True	18.6265	0.1861	166
A_k2	M23	10.0000	True	97.8253	0.9775	166
A_k2	M23	1.0000	True	33.3855	0.3336	166
A_k2	M23	2.0000	True	56.2711	0.5623	166
A_k2	M23	5.0000	True	86.3916	0.8632	166
A_k2	M24	0.5000	True	18.1988	0.1819	166
A_k2	M24	10.0000	True	97.5241	0.9745	166
A_k2	M24	1.0000	True	33.5181	0.3348	166
A_k2	M24	2.0000	True	55.9458	0.5590	166
A_k2	M24	5.0000	True	86.6265	0.8655	166
A_k2	M25	0.5000	True	18.4458	0.1843	166
A_k2	M25	10.0000	True	96.7530	0.9668	166
A_k2	M25	1.0000	True	34.1446	0.3412	166
A_k2	M25	2.0000	True	55.8675	0.5582	166
A_k2	M25	5.0000	True	85.4096	0.8534	166
A_k2	M27	0.5000	False	18.8012	0.1878	166
A_k2	M27	10.0000	True	97.8313	0.9775	166
A_k2	M27	1.0000	True	33.9337	0.3390	166
A_k2	M27	2.0000	True	55.4759	0.5542	166
A_k2	M27	5.0000	True	86.7349	0.8666	166
A_k2	M2	0.5000	True	18.1325	0.1811	166
A_k2	M2	10.0000	True	88.8675	0.8880	166
A_k2	M2	1.0000	True	31.8313	0.3181	166
A_k2	M2	2.0000	True	50.3614	0.5032	166
A_k2	M2	5.0000	True	75.9639	0.7589	166
A_k2	M3	0.5000	True	18.6325	0.1861	166
A_k2	M3	10.0000	True	96.5843	0.9651	166
A_k2	M3	1.0000	True	32.2952	0.3227	166
A_k2	M3	2.0000	True	55.1807	0.5513	166
A_k2	M3	5.0000	True	84.0060	0.8393	166
A_k2	M4	0.5000	True	18.4337	0.1842	166
A_k2	M4	10.0000	True	91.6988	0.9163	166
A_k2	M4	1.0000	True	33.7229	0.3369	166
A_k2	M4	2.0000	True	52.0482	0.5201	166
A_k2	M4	5.0000	True	78.9458	0.7888	166
A_k2	M6	0.5000	True	18.5422	0.1853	166
A_k2	M6	10.0000	True	96.8012	0.9672	166
A_k2	M6	1.0000	True	33.1446	0.3312	166
A_k2	M6	2.0000	True	55.2289	0.5518	166
A_k2	M6	5.0000	True	84.6928	0.8462	166
A_k2	RUN_OUT	0.5000	True	19.3012	0.1929	166
A_k2	RUN_OUT	10.0000	True	95.0482	0.9497	166
A_k2	RUN_OUT	1.0000	False	34.4277	0.3440	166
A_k2	RUN_OUT	2.0000	False	54.7892	0.5474	166
A_k2	RUN_OUT	5.0000	True	84.2169	0.8415	166
A_k4	M10	0.5000	True	18.4163	0.1879	245
A_k4	M10	10.0000	True	95.2939	0.9715	245
A_k4	M10	1.0000	True	32.6041	0.3323	245
A_k4	M10	2.0000	True	53.9020	0.5494	245
A_k4	M10	5.0000	True	82.8449	0.8445	245
A_k4	M12	0.5000	True	17.9265	0.1826	245
A_k4	M12	10.0000	True	91.4612	0.9326	245
A_k4	M12	1.0000	True	31.7592	0.3241	245
A_k4	M12	2.0000	True	52.1347	0.5317	245
A_k4	M12	5.0000	True	79.3755	0.8095	245
A_k4	M13	0.5000	True	18.1143	0.1845	245
A_k4	M13	10.0000	True	95.4082	0.9726	245
A_k4	M13	1.0000	True	32.9878	0.3363	245
A_k4	M13	2.0000	True	53.8735	0.5490	245
A_k4	M13	5.0000	True	83.9510	0.8555	245
A_k4	M17	0.5000	True	18.2571	0.1863	245
A_k4	M17	10.0000	True	92.4327	0.9425	245
A_k4	M17	1.0000	False	31.5102	0.3219	245
A_k4	M17	2.0000	True	53.1796	0.5422	245
A_k4	M17	5.0000	True	80.2735	0.8187	245
A_k4	M18	0.5000	True	18.4898	0.1885	245
A_k4	M18	10.0000	True	95.2571	0.9710	245
A_k4	M18	1.0000	True	32.8163	0.3343	245
A_k4	M18	2.0000	True	53.8653	0.5492	245
A_k4	M18	5.0000	True	84.0122	0.8565	245
A_k4	M19	0.5000	True	16.9755	0.1735	245
A_k4	M19	10.0000	True	90.4122	0.9217	245
A_k4	M19	1.0000	True	30.4694	0.3107	245
A_k4	M19	2.0000	True	48.7959	0.4979	245
A_k4	M19	5.0000	True	75.9633	0.7747	245
A_k4	M1	0.5000	True	17.8041	0.1814	245
A_k4	M1	10.0000	True	93.2000	0.9501	245
A_k4	M1	1.0000	True	31.5673	0.3218	245
A_k4	M1	2.0000	True	52.5102	0.5357	245
A_k4	M1	5.0000	True	80.6367	0.8217	245
A_k4	M22	0.5000	True	18.3347	0.1868	245
A_k4	M22	10.0000	True	93.8408	0.9567	245
A_k4	M22	1.0000	True	32.6122	0.3329	245
A_k4	M22	2.0000	True	53.5755	0.5462	245
A_k4	M22	5.0000	True	82.6898	0.8432	245
A_k4	M23	0.5000	True	18.2816	0.1863	245
A_k4	M23	10.0000	True	95.8367	0.9769	245
A_k4	M23	1.0000	True	32.9102	0.3351	245
A_k4	M23	2.0000	True	54.6898	0.5576	245
A_k4	M23	5.0000	True	84.7429	0.8639	245
A_k4	M24	0.5000	True	17.7592	0.1811	245
A_k4	M24	10.0000	True	95.6041	0.9746	245
A_k4	M24	1.0000	True	32.7592	0.3338	245
A_k4	M24	2.0000	True	54.5837	0.5562	245
A_k4	M24	5.0000	True	84.8041	0.8645	245
A_k4	M25	0.5000	True	18.1265	0.1850	245
A_k4	M25	10.0000	True	94.7184	0.9657	245
A_k4	M25	1.0000	True	33.0816	0.3373	245
A_k4	M25	2.0000	True	54.4082	0.5547	245
A_k4	M25	5.0000	True	83.4122	0.8506	245
A_k4	M27	0.5000	False	18.4082	0.1876	245
A_k4	M27	10.0000	True	95.9265	0.9780	245
A_k4	M27	1.0000	True	33.2245	0.3383	245
A_k4	M27	2.0000	True	54.1265	0.5514	245
A_k4	M27	5.0000	True	85.0082	0.8665	245
A_k4	M2	0.5000	True	17.5755	0.1793	245
A_k4	M2	10.0000	True	87.1755	0.8891	245
A_k4	M2	1.0000	True	31.4327	0.3209	245
A_k4	M2	2.0000	True	49.0204	0.5001	245
A_k4	M2	5.0000	True	74.1592	0.7563	245
A_k4	M3	0.5000	True	18.3184	0.1865	245
A_k4	M3	10.0000	True	94.7265	0.9657	245
A_k4	M3	1.0000	True	31.6082	0.3223	245
A_k4	M3	2.0000	True	54.0245	0.5501	245
A_k4	M3	5.0000	True	82.4939	0.8409	245
A_k4	M4	0.5000	True	17.9551	0.1833	245
A_k4	M4	10.0000	True	89.7347	0.9150	245
A_k4	M4	1.0000	True	32.6694	0.3335	245
A_k4	M4	2.0000	True	50.7306	0.5177	245
A_k4	M4	5.0000	True	77.1714	0.7872	245
A_k4	M6	0.5000	True	18.0776	0.1842	245
A_k4	M6	10.0000	True	94.8163	0.9666	245
A_k4	M6	1.0000	True	32.5184	0.3311	245
A_k4	M6	2.0000	True	53.8449	0.5487	245
A_k4	M6	5.0000	True	83.0571	0.8465	245
A_k4	RUN_OUT	0.5000	True	18.5469	0.1891	245
A_k4	RUN_OUT	10.0000	True	92.8939	0.9473	245
A_k4	RUN_OUT	1.0000	True	33.4122	0.3409	245
A_k4	RUN_OUT	2.0000	True	53.8653	0.5496	245
A_k4	RUN_OUT	5.0000	True	82.3020	0.8396	245
A_k8	M10	0.5000	True	17.1969	0.1858	391
A_k8	M10	10.0000	True	89.6522	0.9710	391
A_k8	M10	1.0000	True	30.6036	0.3317	391
A_k8	M10	2.0000	True	50.5090	0.5471	391
A_k8	M10	5.0000	True	78.0051	0.8446	391
A_k8	M12	0.5000	True	16.8542	0.1822	391
A_k8	M12	10.0000	True	86.1100	0.9330	391
A_k8	M12	1.0000	True	29.8414	0.3239	391
A_k8	M12	2.0000	True	49.1407	0.5317	391
A_k8	M12	5.0000	True	74.8900	0.8121	391
A_k8	M13	0.5000	True	17.1560	0.1853	391
A_k8	M13	10.0000	True	89.7187	0.9722	391
A_k8	M13	1.0000	True	31.1995	0.3383	391
A_k8	M13	2.0000	True	50.3913	0.5447	391
A_k8	M13	5.0000	True	79.0793	0.8564	391
A_k8	M17	0.5000	True	16.9770	0.1845	391
A_k8	M17	10.0000	True	87.0870	0.9438	391
A_k8	M17	1.0000	True	29.7877	0.3237	391
A_k8	M17	2.0000	True	49.7826	0.5402	391
A_k8	M17	5.0000	True	75.4936	0.8187	391
A_k8	M18	0.5000	True	17.6317	0.1909	391
A_k8	M18	10.0000	True	89.6726	0.9708	391
A_k8	M18	1.0000	True	30.7852	0.3339	391
A_k8	M18	2.0000	True	50.7391	0.5501	391
A_k8	M18	5.0000	True	78.9386	0.8554	391
A_k8	M19	0.5000	True	16.0230	0.1735	391
A_k8	M19	10.0000	True	85.2123	0.9235	391
A_k8	M19	1.0000	True	28.7110	0.3114	391
A_k8	M19	2.0000	True	45.9974	0.5003	391
A_k8	M19	5.0000	True	71.4015	0.7737	391
A_k8	M1	0.5000	True	16.5320	0.1790	391
A_k8	M1	10.0000	True	87.8491	0.9517	391
A_k8	M1	1.0000	True	29.9463	0.3248	391
A_k8	M1	2.0000	True	49.3095	0.5341	391
A_k8	M1	5.0000	True	75.7647	0.8209	391
A_k8	M22	0.5000	True	17.4348	0.1886	391
A_k8	M22	10.0000	True	88.3632	0.9575	391
A_k8	M22	1.0000	True	30.6777	0.3321	391
A_k8	M22	2.0000	True	50.4373	0.5461	391
A_k8	M22	5.0000	True	77.8645	0.8436	391
A_k8	M23	0.5000	True	17.1918	0.1865	391
A_k8	M23	10.0000	True	90.1279	0.9762	391
A_k8	M23	1.0000	True	31.1867	0.3377	391
A_k8	M23	2.0000	True	51.3120	0.5567	391
A_k8	M23	5.0000	True	79.8926	0.8658	391
A_k8	M24	0.5000	True	16.8517	0.1837	391
A_k8	M24	10.0000	True	90.0332	0.9755	391
A_k8	M24	1.0000	True	30.7621	0.3344	391
A_k8	M24	2.0000	True	51.1662	0.5542	391
A_k8	M24	5.0000	True	79.7826	0.8646	391
A_k8	M25	0.5000	True	17.0921	0.1852	391
A_k8	M25	10.0000	True	89.1995	0.9662	391
A_k8	M25	1.0000	True	30.8849	0.3335	391
A_k8	M25	2.0000	True	51.0153	0.5530	391
A_k8	M25	5.0000	True	78.3197	0.8488	391
A_k8	M27	0.5000	True	17.1739	0.1864	391
A_k8	M27	10.0000	True	90.2711	0.9778	391
A_k8	M27	1.0000	True	31.2992	0.3395	391
A_k8	M27	2.0000	True	50.8261	0.5503	391
A_k8	M27	5.0000	True	79.9258	0.8669	391
A_k8	M2	0.5000	True	16.6292	0.1803	391
A_k8	M2	10.0000	True	82.2302	0.8914	391
A_k8	M2	1.0000	True	29.5678	0.3211	391
A_k8	M2	2.0000	True	45.9770	0.4987	391
A_k8	M2	5.0000	True	69.8210	0.7568	391
A_k8	M3	0.5000	True	17.1893	0.1856	391
A_k8	M3	10.0000	True	89.1176	0.9650	391
A_k8	M3	1.0000	True	29.8491	0.3241	391
A_k8	M3	2.0000	True	50.5473	0.5480	391
A_k8	M3	5.0000	True	77.4655	0.8390	391
A_k8	M4	0.5000	True	16.7954	0.1826	391
A_k8	M4	10.0000	True	84.4731	0.9159	391
A_k8	M4	1.0000	True	30.6368	0.3328	391
A_k8	M4	2.0000	True	47.7775	0.5180	391
A_k8	M4	5.0000	True	72.5550	0.7862	391
A_k8	M6	0.5000	True	17.0077	0.1853	391
A_k8	M6	10.0000	True	89.1662	0.9660	391
A_k8	M6	1.0000	True	30.7161	0.3326	391
A_k8	M6	2.0000	True	50.5780	0.5473	391
A_k8	M6	5.0000	True	78.1407	0.8468	391
A_k8	RUN_OUT	0.5000	True	17.3402	0.1875	391
A_k8	RUN_OUT	10.0000	True	87.4246	0.9473	391
A_k8	RUN_OUT	1.0000	True	31.3171	0.3398	391
A_k8	RUN_OUT	2.0000	True	50.7698	0.5499	391
A_k8	RUN_OUT	5.0000	True	77.6726	0.8425	391
E_s104	M10	0.5000	False	17.3799	0.1738	437
E_s104	M10	10.0000	True	96.3272	0.9637	437
E_s104	M10	1.0000	True	31.4920	0.3151	437
E_s104	M10	2.0000	True	52.5927	0.5262	437
E_s104	M10	5.0000	True	82.9268	0.8296	437
E_s104	M12	0.5000	True	16.9405	0.1695	437
E_s104	M12	10.0000	True	91.5675	0.9161	437
E_s104	M12	1.0000	True	30.1922	0.3020	437
E_s104	M12	2.0000	True	49.8513	0.4988	437
E_s104	M12	5.0000	True	78.0481	0.7808	437
E_s104	M13	0.5000	False	17.6201	0.1763	437
E_s104	M13	10.0000	True	96.7368	0.9678	437
E_s104	M13	1.0000	True	31.8307	0.3185	437
E_s104	M13	2.0000	True	53.3661	0.5339	437
E_s104	M13	5.0000	True	83.9428	0.8398	437
E_s104	M17	0.5000	True	17.1899	0.1720	437
E_s104	M17	10.0000	True	92.5812	0.9262	437
E_s104	M17	1.0000	True	31.0275	0.3104	437
E_s104	M17	2.0000	True	51.1350	0.5116	437
E_s104	M17	5.0000	True	79.2288	0.7926	437
E_s104	M18	0.5000	False	17.7346	0.1774	437
E_s104	M18	10.0000	True	96.3547	0.9640	437
E_s104	M18	1.0000	True	31.6865	0.3171	437
E_s104	M18	2.0000	True	52.9474	0.5297	437
E_s104	M18	5.0000	True	82.9588	0.8299	437
E_s104	M19	0.5000	True	16.5195	0.1653	437
E_s104	M19	10.0000	True	90.4828	0.9052	437
E_s104	M19	1.0000	True	28.9268	0.2894	437
E_s104	M19	2.0000	True	47.5812	0.4761	437
E_s104	M19	5.0000	True	75.4622	0.7550	437
E_s104	M1	0.5000	False	17.3227	0.1733	437
E_s104	M1	10.0000	True	94.0618	0.9410	437
E_s104	M1	1.0000	True	30.7414	0.3076	437
E_s104	M1	2.0000	True	50.7574	0.5078	437
E_s104	M1	5.0000	True	79.7712	0.7981	437
E_s104	M22	0.5000	True	17.4805	0.1749	437
E_s104	M22	10.0000	True	94.5767	0.9462	437
E_s104	M22	1.0000	True	31.4165	0.3143	437
