analysis	arm	cov	n_media	r	r_lo	r_hi	slope	slope_lo	slope_hi	rmse	rmse_lo	rmse_hi
table2	A	0.5	16	0.9455619202932947	0.8822696384010744	0.9749560342301886	0.6159729745096076	0.512982543146967	0.7364912567504887	0.31018778434950345	0.22372786046607762	0.3928270266888143
table2	A	1.0	16	0.9214599803389809	0.8185166721214567	0.9724606441290886	0.7968751957288709	0.5782620955065971	0.952222185238782	0.25353292888548684	0.1800902127666435	0.3293990379920921
table2	A	2.0	16	0.9618308844289711	0.9055797470769114	0.9855776190019039	0.7838658595094287	0.6389215443548348	0.901703240811636	0.13624216949954887	0.09238074545029722	0.17910782478658704
table2	A	5.0	16	0.9730286071368773	0.9446101857563302	0.990095232027285	0.9182618223184025	0.8085727688192508	1.0497155849852127	0.15574391139687888	0.10870742032979787	0.19700003795579463
table2	A	10.0	16	0.972292270800003	0.9332102068766895	0.9899055987322837	0.9500333899601736	0.8329538027198211	1.0673458363758994	0.17822274332897003	0.1294886713037775	0.2250069002640725
table2	B	0.5	16	0.5175667116036635	0.007543970698798345	0.788249131123969	0.15802602458845397	0.002370926504950973	0.29176058516680964	1.064772694313937	0.8707157193486476	1.2331319009015986
table2	B	1.0	16	0.7839816970150308	0.4193710192703522	0.9355751959369951	0.3593980850154319	0.17422000394272277	0.48475322330472836	0.5202062754626138	0.3838886149209301	0.6408340887922034
table2	B	2.0	16	0.9317222671925035	0.8155392855472227	0.9777229435218512	0.6498931533766671	0.47404277547481777	0.7724184830334521	0.27125036009282455	0.1978581022081592	0.34208558091379093
table2	B	5.0	16	0.9508593999384469	0.8802220760759502	0.9854685726993877	0.8659668098577378	0.7136318025663687	1.0174356274403238	0.21877155068668158	0.1505087656187066	0.2880921080400901
table2	B	10.0	16	0.9414632623016584	0.8284198521930458	0.9846860631392581	0.9022025343345113	0.7249518683697238	1.0466898940853804	0.23315028500370233	0.1493572796043551	0.3302421746573647
table2	C_relaxed	0.5	16	nan	nan	nan	0.0	0.0	0.0	1.01380894909687	0.7978624100897075	1.2175383296704645
table2	C_relaxed	1.0	16	0.7890399204379483	0.4781964864960816	0.9397184579595379	0.48887739319599	0.2785120959673035	0.6616638558472725	0.6869294866505985	0.5477569862202807	0.8257637432020687
table2	C_relaxed	2.0	16	0.8533152826686439	0.6460108231973725	0.9423749678409848	0.6958145680641927	0.4123825041989523	0.8955305148522462	0.3716938739501193	0.26346055756236075	0.4739273324984194
table2	C_relaxed	5.0	16	0.9885546068335345	0.9698989546012824	0.9973380531052508	0.7998901629397999	0.743300902591984	0.8577410280339737	0.237875222670155	0.19112397980598106	0.278575418461892
table2	C_relaxed	10.0	16	0.9748991591656844	0.9408244686666503	0.9923378596852105	0.823249813865325	0.7071081169799144	0.9124424485196797	0.11494432619660468	0.08582114987337854	0.1419654230568557
table2	E	0.5	16	0.8900202194289466	0.7661892795458667	0.9589374132638059	0.4818497969120612	0.35118407133837404	0.636502819955776	0.4249942687106828	0.28991708688789475	0.5552420403997603
table2	E	1.0	16	0.9137782344983296	0.7968419028925621	0.9747633264857717	0.6738751931151046	0.45815578776664273	0.8111262265045068	0.21716055975256732	0.13511108612352601	0.30241724778704426
table2	E	2.0	16	0.9613916244814609	0.8912988531319649	0.9872857856984043	0.779517535679193	0.657202497073312	0.8918650744150439	0.13988404346557098	0.10265519957111108	0.17282493623873935
table2	E	5.0	16	0.9904865689183697	0.9759746655874655	0.9972771798690013	0.9292998964422261	0.8715484705502509	0.9948511424030269	0.1278492141527161	0.10070037248750939	0.15275031944724174
table2	E	10.0	16	0.9873668851029994	0.9694267127357697	0.9948814617011074	0.9432111647389445	0.8703561585266775	1.0135651759497573	0.15345660620123758	0.12137651376418308	0.183856946324828
