k	r_low	r_lo	r_hi
2	0.952588841445163	0.9157365804714048	0.9769676913879243
4	0.9596192024136895	0.9310903528741584	0.9769687585683178
8	0.9697766053761286	0.9474777404472084	0.9840012660075502
12	0.9696944500895051	0.9431944640185197	0.986461668476079
16	0.9598160686672299	0.9284519717616695	0.9792090229829218
8-4	0.010291721611452809	-0.01853207462140299	0.04190053576396896
8-16	0.009747824400850924	-0.019410474620247385	0.04388819757487812
4-16	-0.0003220466733896421	-0.034893636375637825	0.03540973353375796
8-2	0.01641877282638582	-0.01684929393872707	0.0563223145538873
