analysis	arm	cov	n_media	r	r_med_boot	r_lo	r_hi	slope	slope_lo	slope_hi	rmse	rmse_lo	rmse_hi
f1_single	A_k16	0.5	16	0.5680293285573721	0.5771505117204874	0.140545185213708	0.8893546672102287	nan	nan	nan	nan	nan	nan
f1_single	A_k16	1.0	16	0.9060454978786642	0.9121846963954927	0.7575579033711065	0.9733340441454122	nan	nan	nan	nan	nan	nan
f1_single	A_k16	2.0	16	0.9348564503969173	0.9369991222922598	0.8575008711332567	0.975484386265549	nan	nan	nan	nan	nan	nan
f1_single	A_k16	5.0	16	0.979725674761643	0.9811076159567106	0.9472811086706971	0.9949268546204506	nan	nan	nan	nan	nan	nan
f1_single	A_k16	10.0	16	0.9853627248789486	0.9866649882356504	0.962167425668932	0.9964174625478849	nan	nan	nan	nan	nan	nan
f1_single	A_k8	0.5	16	0.4928267223962123	0.5009433555020348	-0.01946729703884897	0.8518924958537963	nan	nan	nan	nan	nan	nan
f1_single	A_k8	1.0	16	0.8912971534785178	0.8980478781781664	0.7244511918261649	0.9692421038181477	nan	nan	nan	nan	nan	nan
f1_single	A_k8	2.0	16	0.9677466988537761	0.9694302911901573	0.9323656357380116	0.9883457531825145	nan	nan	nan	nan	nan	nan
f1_single	A_k8	5.0	16	0.9834725355851228	0.9845960182679112	0.9563459855412119	0.9967142689376107	nan	nan	nan	nan	nan	nan
f1_single	A_k8	10.0	16	0.9773260940477597	0.9794068079509547	0.9579096354780081	0.9932177803838956	nan	nan	nan	nan	nan	nan
f1_single	E_s104	0.5	10	0.8182747299831342	0.8257850314549794	0.5323549803821516	0.9819691335959448	nan	nan	nan	nan	nan	nan
f1_single	E_s104	1.0	16	0.9088516599806884	0.9138075302373296	0.8132341356766396	0.9639604198627881	nan	nan	nan	nan	nan	nan
f1_single	E_s104	2.0	16	0.9662303839852926	0.9681126102602027	0.9143872366318757	0.9918589248741443	nan	nan	nan	nan	nan	nan
f1_single	E_s104	5.0	16	0.9862540898686049	0.987427784813854	0.9596869496550757	0.9978917593230994	nan	nan	nan	nan	nan	nan
f1_single	E_s104	10.0	16	0.9812503978891989	0.9832049255356725	0.9587602721096731	0.9952426975131602	nan	nan	nan	nan	nan	nan
f1_pairwise_delta	A_k16-E_s104	0.5	10	-0.12693966885019697		-0.6655300099114192	0.2503150156367921	nan	nan	nan	nan	nan	nan
f1_pairwise_delta	A_k8-E_s104	0.5	10	-0.1563983756373431		-0.749769912106835	0.23503627966093668	nan	nan	nan	nan	nan	nan
f1_pairwise_delta	A_k16-E_s104	1.0	16	-0.0009006944714712861		-0.16540070833312023	0.12055991326808646	nan	nan	nan	nan	nan	nan
f1_pairwise_delta	A_k8-E_s104	1.0	16	-0.015169545311159438		-0.1841554076476383	0.11042926206682603	nan	nan	nan	nan	nan	nan
f1_pairwise_delta	A_k16-E_s104	2.0	16	-0.030411028605442314		-0.11302142865810157	0.03513596275397864	nan	nan	nan	nan	nan	nan
f1_pairwise_delta	A_k8-E_s104	2.0	16	0.00012753300635082176		-0.04385309470882645	0.05724968306657802	nan	nan	nan	nan	nan	nan
f1_pairwise_delta	A_k16-E_s104	5.0	16	-0.006002462717571044		-0.040231477694050034	0.023068322353186604	nan	nan	nan	nan	nan	nan
f1_pairwise_delta	A_k8-E_s104	5.0	16	-0.0022099976671404176		-0.0329816290636123	0.02718754144817726	nan	nan	nan	nan	nan	nan
f1_pairwise_delta	A_k16-E_s104	10.0	16	0.0031774948957399296		-0.024206691444867617	0.02823869231938698	nan	nan	nan	nan	nan	nan
f1_pairwise_delta	A_k8-E_s104	10.0	16	-0.0031595576820482307		-0.028210668993082902	0.024102109964715866	nan	nan	nan	nan	nan	nan
