repeat	contrast	auroc_delta	p_permutation
0	B-A	-0.02216066481994461	0.2938530734632684
0	C-A	-0.030470914127423823	0.30334832583708143
1	B-A	0.019390581717451526	0.4112943528235882
1	C-A	-1.3877787807814457e-17	0.9695152423788106
2	B-A	-0.008310249307479228	0.63968015992004
2	C-A	-0.016620498614958457	0.3873063468265867
3	B-A	0.001385041551246538	0.9575212393803099
3	C-A	0.009695290858725739	0.5542228885557221
4	B-A	-0.008310249307479228	0.7556221889055472
4	C-A	-0.009695290858725766	0.6411794102948526
5	B-A	0.008310249307479214	0.7276361819090454
5	C-A	-0.011080332409972297	0.5562218890554723
6	B-A	0.005540166204986152	0.7901049475262368
6	C-A	-0.008310249307479228	0.7031484257871065
7	B-A	0.005540166204986138	0.8210894552723638
7	C-A	-0.00277008310249309	0.8545727136431784
8	B-A	-1.3877787807814457e-17	0.9795102448775612
8	C-A	-0.005540166204986152	0.775112443778111
9	B-A	0.00969529085872576	0.6746626686656672
9	C-A	6.938893903907228e-18	0.9685157421289355
10	B-A	-0.016620498614958457	0.33483258370814595
10	C-A	-0.005540166204986166	0.7756121939030485
11	B-A	0.006925207756232676	0.791104447776112
11	C-A	-0.011080332409972297	0.8430784607696152
12	B-A	0.03047091412742381	0.15542228885557222
12	C-A	0.004155124653739614	0.8185907046476761
13	B-A	0.015235457063711905	0.545727136431784
13	C-A	-0.006925207756232711	0.744127936031984
14	B-A	-0.002770083102493076	0.8860569715142429
14	C-A	-0.005540166204986152	0.736631684157921
15	B-A	-0.011080332409972318	0.6186906546726637
15	C-A	-0.005540166204986166	0.8330834582708646
16	B-A	0.009695290858725752	0.632183908045977
16	C-A	0.0	1.0
17	B-A	-0.001385041551246552	0.9465267366316842
17	C-A	-0.004155124653739642	0.7851074462768616
18	B-A	0.019390581717451505	0.27436281859070466
18	C-A	-6.938893903907228e-18	0.967016491754123
19	B-A	-1.3877787807814457e-17	0.9740129935032483
19	C-A	-0.00692520775623269	0.6926536731634183
