auroc	auprc	balanced_accuracy	macro_f1	arm	repeat	n_features
0.9002770083102493	0.890546039065355	0.8421052631578947	0.8416666666666667	A_published	0	970
0.9224376731301939	0.9156070255924309	0.8421052631578947	0.8416666666666667	B_sk2bgrow	0	2476
0.9307479224376731	0.925533925998322	0.868421052631579	0.8683298683298684	C_published_PTR	0	3446
0.9418282548476453	0.9494113959427699	0.868421052631579	0.8683298683298684	A_published	1	970
0.9224376731301939	0.914806729397398	0.8421052631578947	0.8421052631578947	B_sk2bgrow	1	2476
0.9418282548476454	0.9412352930937635	0.8421052631578947	0.8421052631578947	C_published_PTR	1	3446
0.9335180055401662	0.9456900531728591	0.8421052631578947	0.8416666666666667	A_published	2	970
0.9418282548476453	0.9337269564212693	0.894736842105263	0.8944444444444444	B_sk2bgrow	2	2476
0.9501385041551247	0.9534344228678662	0.8421052631578947	0.8416666666666667	C_published_PTR	2	3446
0.9238227146814405	0.9298828011920726	0.8421052631578947	0.8416666666666667	A_published	3	970
0.922437673130194	0.9187595462220683	0.7894736842105263	0.788888888888889	B_sk2bgrow	3	2476
0.9141274238227147	0.914201504400387	0.8157894736842105	0.8156618156618156	C_published_PTR	3	3446
0.9252077562326869	0.9326239903538327	0.8421052631578947	0.8416666666666667	A_published	4	970
0.9335180055401662	0.9249228488636991	0.8421052631578947	0.8421052631578947	B_sk2bgrow	4	2476
0.9349030470914128	0.9321575464663361	0.8421052631578947	0.8421052631578947	C_published_PTR	4	3446
0.9362880886426592	0.9462706473786804	0.868421052631579	0.8683298683298684	A_published	5	970
0.9279778393351802	0.9225474250099472	0.868421052631579	0.8683298683298684	B_sk2bgrow	5	2476
0.9473684210526316	0.9498006026888213	0.8421052631578947	0.8421052631578947	C_published_PTR	5	3446
0.925207756232687	0.9331238096962389	0.8157894736842105	0.8156618156618156	A_published	6	970
0.9196675900277009	0.9019438326958285	0.894736842105263	0.8944444444444444	B_sk2bgrow	6	2476
0.9335180055401662	0.9308430714676506	0.8421052631578947	0.8416666666666667	C_published_PTR	6	3446
0.9473684210526316	0.956963466064092	0.868421052631579	0.8683298683298684	A_published	7	970
0.9418282548476453	0.9337269564212693	0.894736842105263	0.8944444444444444	B_sk2bgrow	7	2476
0.9501385041551247	0.9461123034966823	0.8947368421052632	0.8947368421052632	C_published_PTR	7	3446
0.9168975069252078	0.9303614576198056	0.8157894736842105	0.8156618156618156	A_published	8	970
0.9168975069252078	0.9042224751060499	0.8421052631578947	0.8421052631578947	B_sk2bgrow	8	2476
0.922437673130194	0.9204370353995575	0.8421052631578947	0.8421052631578947	C_published_PTR	8	3446
0.9473684210526316	0.9585366926087144	0.8421052631578947	0.8416666666666667	A_published	9	970
0.9376731301939057	0.9311147993280955	0.868421052631579	0.8683298683298684	B_sk2bgrow	9	2476
0.9473684210526316	0.9473524798215198	0.8157894736842105	0.8156618156618156	C_published_PTR	9	3446
0.922437673130194	0.9232355011237199	0.8421052631578947	0.8416666666666667	A_published	10	970
0.9390581717451524	0.9245904788637391	0.9473684210526316	0.9472222222222222	B_sk2bgrow	10	2476
0.9279778393351801	0.9186163169971289	0.868421052631579	0.8683298683298684	C_published_PTR	10	3446
0.9307479224376731	0.9430599080159165	0.8421052631578947	0.8416666666666667	A_published	11	970
0.9238227146814404	0.9137754951853858	0.894736842105263	0.8944444444444444	B_sk2bgrow	11	2476
0.9418282548476454	0.9398158128421283	0.8421052631578947	0.8416666666666667	C_published_PTR	11	3446
0.9349030470914128	0.9415824563127804	0.8421052631578947	0.8416666666666667	A_published	12	970
0.9044321329639889	0.8779434909323289	0.8421052631578947	0.8421052631578947	B_sk2bgrow	12	2476
0.9307479224376731	0.9286519483268707	0.8421052631578947	0.8421052631578947	C_published_PTR	12	3446
0.9349030470914128	0.9437371652541928	0.7894736842105263	0.788888888888889	A_published	13	970
0.9196675900277007	0.9030801963321922	0.894736842105263	0.8944444444444444	B_sk2bgrow	13	2476
0.9418282548476454	0.939815660095183	0.8421052631578947	0.8421052631578947	C_published_PTR	13	3446
0.9279778393351801	0.9411038843171804	0.8421052631578947	0.8416666666666667	A_published	14	970
0.9307479224376732	0.9196596909689623	0.894736842105263	0.8944444444444444	B_sk2bgrow	14	2476
0.9335180055401663	0.9308009160238331	0.868421052631579	0.8683298683298684	C_published_PTR	14	3446
0.9307479224376731	0.9410763953125896	0.8421052631578947	0.8416666666666667	A_published	15	970
0.9418282548476453	0.9337269564212693	0.868421052631579	0.8683298683298684	B_sk2bgrow	15	2476
0.9362880886426592	0.9312957080758935	0.868421052631579	0.8683298683298684	C_published_PTR	15	3446
0.9335180055401662	0.9438979392926761	0.8157894736842105	0.8156618156618156	A_published	16	970
0.9238227146814404	0.9123944486956437	0.8421052631578947	0.8421052631578947	B_sk2bgrow	16	2476
0.9335180055401662	0.9287382285304722	0.868421052631579	0.8683298683298684	C_published_PTR	16	3446
0.9293628808864267	0.9315745305153809	0.8421052631578947	0.8421052631578947	A_published	17	970
0.9307479224376731	0.9223428695035341	0.868421052631579	0.8683298683298684	B_sk2bgrow	17	2476
0.9335180055401662	0.9285944251897378	0.8421052631578947	0.8421052631578947	C_published_PTR	17	3446
0.9418282548476454	0.951339024844083	0.8421052631578947	0.8416666666666667	A_published	18	970
0.9224376731301939	0.9145817065179132	0.868421052631579	0.8683298683298684	B_sk2bgrow	18	2476
0.9418282548476455	0.9403464603399423	0.894736842105263	0.8944444444444444	C_published_PTR	18	3446
0.9224376731301939	0.9341025012363682	0.7894736842105263	0.7894736842105263	A_published	19	970
0.9224376731301939	0.9116417871844682	0.8157894736842105	0.8156618156618156	B_sk2bgrow	19	2476
0.9293628808864266	0.9234555442384997	0.8421052631578947	0.8416666666666667	C_published_PTR	19	3446
