species	sample	slope	slope_prox	intercept	n_anchors	r2	median_df
MGYG000000002	S01	-0.03678	0.03678	0.366987	411	0.0003	0.333333
MGYG000000003	S01	0.024056	-0.024056	0.555963	1831	0.0001	0.666667
MGYG000000004	S01	-0.683326	0.683326	0.468565	84	0.0489	0.0
MGYG000000013	S01	-0.298212	0.298212	0.692757	902	0.0211	0.727273
MGYG000000022	S01	0.114341	-0.114341	0.483094	789	0.0024	0.6
MGYG000000029	S01	0.038577	-0.038577	0.512887	945	0.0003	0.6
MGYG000000033	S01	-0.231883	0.231883	0.25248	64	0.0098	0.0
MGYG000000035	S01	-0.527528	0.527528	0.309463	54	0.0701	0.0
MGYG000000038	S01	-0.234889	0.234889	0.549556	161	0.0098	0.5
MGYG000000039	S01	-0.107611	0.107611	0.520061	335	0.0019	0.555556
MGYG000000040	S01	-0.45829	0.45829	0.280891	150	0.0532	0.0
MGYG000000041	S01	0.083681	-0.083681	0.724942	908	0.0017	0.876524
MGYG000000044	S01	0.026145	-0.026145	0.69941	2129	0.0002	0.833333
MGYG000000048	S01	-0.330647	0.330647	0.202577	27	0.0497	0.0
MGYG000000050	S01	-0.109899	0.109899	0.625576	106	0.0018	0.707143
MGYG000000051	S01	-0.612265	0.612265	0.623114	164	0.0414	0.6
MGYG000000053	S01	-0.463626	0.463626	0.628459	72	0.0272	0.6125
MGYG000000059	S01	0.501429	-0.501429	0.163784	93	0.0336	0.0
MGYG000000060	S01	-0.145075	0.145075	0.729688	301	0.0044	0.823529
MGYG000000065	S01	-0.455172	0.455172	0.42641	98	0.0337	0.0
MGYG000000067	S01	-0.466365	0.466365	0.693903	70	0.0362	0.788889
MGYG000000077	S01	-0.218855	0.218855	0.395171	127	0.0072	0.4
MGYG000000078	S01	0.050281	-0.050281	0.681457	335	0.0006	0.833333
MGYG000000087	S01	0.143293	-0.143293	0.349909	285	0.0035	0.5
MGYG000000092	S01	-0.202679	0.202679	0.402346	222	0.0051	0.0
MGYG000000113	S01	0.069706	-0.069706	0.141438	62	0.0014	0.0
MGYG000000128	S01	-0.11951	0.11951	0.749477	285	0.0032	0.875
MGYG000000137	S01	-0.169923	0.169923	0.26821	194	0.0052	0.0
MGYG000000138	S01	0.155401	-0.155401	0.573032	1630	0.0042	0.746429
MGYG000000139	S01	0.016369	-0.016369	0.39375	169	0.0001	0.5
MGYG000000140	S01	-0.289196	0.289196	0.386135	319	0.0133	0.0
MGYG000000144	S01	-0.061043	0.061043	0.552582	1089	0.0006	0.666667
MGYG000000153	S01	-0.705218	0.705218	0.82573	47	0.0809	0.8
MGYG000000154	S01	-0.456847	0.456847	0.451077	184	0.034	0.333333
MGYG000000168	S01	-0.21031	0.21031	0.430773	789	0.0082	0.5
MGYG000000174	S01	-0.0988	0.0988	0.61674	151	0.0012	0.75
MGYG000000177	S01	-0.068952	0.068952	0.490303	573	0.0008	0.5
MGYG000000183	S01	-0.169952	0.169952	0.566436	1135	0.0058	0.6
MGYG000000184	S01	-0.085417	0.085417	0.380649	205	0.0011	0.5
MGYG000000189	S01	-0.581348	0.581348	0.390016	239	0.0694	0.0
MGYG000000190	S01	-0.061827	0.061827	0.808692	1188	0.0011	0.918919
MGYG000000192	S01	-0.180261	0.180261	0.167788	72	0.0109	0.0
MGYG000000196	S01	-0.004766	0.004766	0.750196	2160	0.0	0.882353
MGYG000000198	S01	-0.863247	0.863247	0.459159	80	0.081	0.0
MGYG000000200	S01	-0.064626	0.064626	0.402751	279	0.0006	0.5
MGYG000000201	S01	-0.07022	0.07022	0.33515	265	0.0007	0.0
MGYG000000205	S01	-0.222376	0.222376	0.455325	537	0.0088	0.5
MGYG000000206	S01	0.08679	-0.08679	0.29022	197	0.0017	0.0
MGYG000000208	S01	0.172494	-0.172494	0.546793	213	0.0057	0.666667
MGYG000000209	S01	-0.204755	0.204755	0.248917	162	0.0083	0.0
MGYG000000211	S01	-0.102044	0.102044	0.615692	967	0.0019	0.714286
MGYG000000212	S01	-0.017633	0.017633	0.350888	371	0.0001	0.333333
MGYG000000217	S01	0.047742	-0.047742	0.508577	695	0.0004	0.6
MGYG000000222	S01	-0.343428	0.343428	0.696637	65	0.0144	0.8
MGYG000000224	S01	0.041042	-0.041042	0.627853	194	0.0003	0.777778
MGYG000000225	S01	0.056652	-0.056652	0.734128	1878	0.0008	0.882353
MGYG000000233	S01	0.098817	-0.098817	0.379508	231	0.0016	0.5
MGYG000000236	S01	0.621812	-0.621812	0.419866	132	0.0485	0.666667
MGYG000000242	S01	-0.534354	0.534354	0.586013	115	0.039	0.5
MGYG000000243	S01	0.043679	-0.043679	0.755517	1262	0.0005	0.895285
MGYG000000245	S01	0.025386	-0.025386	0.551088	315	0.0001	0.666667
MGYG000000249	S01	-0.213274	0.213274	0.49797	392	0.0076	0.5
MGYG000000251	S01	-0.078566	0.078566	0.448524	872	0.0012	0.5
MGYG000000252	S01	0.167402	-0.167402	0.233812	236	0.0048	0.0
MGYG000000254	S01	-0.032227	0.032227	0.664878	1298	0.0002	0.8
MGYG000000255	S01	-0.101584	0.101584	0.346881	343	0.0021	0.333333
MGYG000000259	S01	-0.112878	0.112878	0.373633	164	0.0018	0.166667
MGYG000000262	S01	-0.476711	0.476711	0.466125	331	0.0451	0.333333
MGYG000000263	S01	-0.18767	0.18767	0.448065	97	0.0053	0.5
MGYG000000265	S01	-0.212246	0.212246	0.347919	487	0.0086	0.0
MGYG000000268	S01	0.170985	-0.170985	0.364902	126	0.0036	0.5
MGYG000000273	S01	0.00735	-0.00735	0.807371	1215	0.0	0.928571
MGYG000000274	S01	-0.055765	0.055765	0.330635	235	0.0006	0.0
MGYG000000280	S01	-0.191481	0.191481	0.454785	477	0.007	0.5
MGYG000000282	S01	0.218503	-0.218503	0.524163	69	0.0075	0.714286
MGYG000000289	S01	-0.107961	0.107961	0.679512	25	0.0019	0.923077
MGYG000000325	S01	0.006272	-0.006272	0.243086	68	0.0	0.0
MGYG000000359	S01	-0.308303	0.308303	0.338999	181	0.0211	0.0
MGYG000000370	S01	-0.063483	0.063483	0.291218	44	0.0008	0.333333
MGYG000000389	S01	-0.005111	0.005111	0.643571	23	0.0	0.8
MGYG000000398	S01	-0.295011	0.295011	0.476084	65	0.0162	0.5
MGYG000000404	S01	0.045364	-0.045364	0.19865	40	0.0004	0.0
MGYG000000414	S01	-0.753704	0.753704	0.872828	33	0.0951	0.75
MGYG000000418	S01	0.00608	-0.00608	0.138491	41	0.0	0.0
MGYG000000457	S01	0.036598	-0.036598	0.328431	61	0.0003	0.333333
MGYG000000462	S01	-0.690732	0.690732	0.764295	27	0.1189	0.666667
MGYG000000486	S01	-0.005639	0.005639	0.705712	254	0.0	0.846154
MGYG000000501	S01	-0.007191	0.007191	0.786127	314	0.0	0.922065
MGYG000000534	S01	-0.159968	0.159968	0.682395	33	0.0045	0.857143
MGYG000000562	S01	-0.118013	0.118013	0.373909	347	0.0027	0.333333
MGYG000000591	S01	-0.022871	0.022871	0.7194	380	0.0001	0.857143
MGYG000000646	S01	-0.048756	0.048756	0.181439	139	0.0007	0.0
