auroc	auprc	balanced_accuracy	macro_f1	arm	repeat	n_features
0.9030470914127423	0.8919705404898564	0.8421052631578947	0.8416666666666667	A_published	0	970
0.9445983379501385	0.9512072945521697	0.868421052631579	0.8683298683298684	A_published	1	970
0.9335180055401663	0.9431621817702147	0.8421052631578947	0.8416666666666667	A_published	2	970
0.922437673130194	0.9298828011920726	0.868421052631579	0.8683298683298684	A_published	3	970
0.9307479224376731	0.9396415342134816	0.8421052631578947	0.8416666666666667	A_published	4	970
0.9362880886426592	0.9462706473786804	0.868421052631579	0.8683298683298684	A_published	5	970
0.9252077562326869	0.9296636542910035	0.8157894736842105	0.8156618156618156	A_published	6	970
0.9501385041551247	0.9602529397483026	0.868421052631579	0.8683298683298684	A_published	7	970
0.9196675900277008	0.9320777047593939	0.8157894736842105	0.8156618156618156	A_published	8	970
0.9390581717451523	0.9522827733634285	0.8421052631578947	0.8416666666666667	A_published	9	970
