sample-id	S_8123220	S_0313206	S_8123213	S_1411224	S_1313229	S_8123225	S_1413229	S_8123218	S_8221232	S_1413216	S_1413230	S_0313216	S_8221227	S_1211212	S_1313218	S_1313221	S_1313202	S_8123214	S_8123227	S_0313222	S_1213209	S_0313218	S_8221222	S_1213218	S_1211209	S_1213211	S_1313223	S_1413233	S_1413221	S_8221213	S_8222219	S_8123226	S_1413231	S_1311202	S_8123202	S_0313207	S_8221231	S_1212203
s__Actinomyces_bowdenii_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19331	0
s__Actinomyces_dentalis	0	10102	106708	33527	19112	193942	35469	69246	851799	28936	49519	104389	27172	114864	46393	54231	109158	35971	84883	2641	53022	27213	189113	324231	228227	418882	35209	35304	56228	18022	39650	14313	133737	85671	124264	61106	16326	98090
s__Actinomyces_gerencseriae	115707	20705	31732	73176	59836	126158	95887	30464	120134	413629	61223	185594	50734	73474	106433	32679	26607	120610	187607	5721	51021	64730	219196	94957	116233	70475	31908	30404	106748	277151	44456	97088	184133	122949	35038	16228	6100	47043
s__Actinomyces_graevenitzii	203798	5731699	7750861	729246	5450163	3714076	1167444	10257555	6887951	864143	5837085	822189	1010920	5828282	4524037	3059363	14204391	17620573	625583	2735491	24488615	12735147	11495043	7565189	45424	5442631	5797009	7366861	7059715	6819362	2797250	11795445	6261007	10777462	1260400	6526475	14810494	2389242
s__Actinomyces_howellii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4681	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_israelii	0	0	0	0	4773	0	184701	38782	11314	0	0	0	0	3117	152468	13733	0	0	222118	0	0	0	15985	0	0	6307	23906	2130	0	0	0	3513	4569	9668	6237	2534	0	0
s__Actinomyces_johnsonii	113765	44111	95897	109881	55334	22978	563278	32468	84302	79799	68726	41267	52238	102453	123689	44708	142515	23210	31568	23805	96740	73635	260668	136548	65378	681912	72419	40005	132773	154785	25532	37334	1323192	20317	11513	24142	10517	262855
s__Actinomyces_massiliensis	125076	30007	432208	323243	688664	1034753	2785733	75559	546921	87108	318889	6788	22259	47513	530870	260318	331578	102373	13930	10802	613055	24712	517781	142007	90748	3056942	65517	120318	55326	207550	403038	16615	262595	237532	44449	48685	6751	394178
s__Actinomyces_naeslundii	5156384	2523059	4308852	8156920	3257062	5097589	7855897	2068089	6295027	2515977	2703313	10866093	4763817	1220753	1013977	1342001	2914008	8678359	2506645	281651	602639	523972	1776177	4717822	3415571	6399113	2005229	6318990	5667815	878188	956155	930374	4471286	2285551	584117	1706438	3374051	3019442
s__Actinomyces_oris	5558954	4317451	3605817	2642636	5734409	4486654	38889566	6184503	2935711	1885333	6173626	3827172	5979253	1192054	499625	2464024	2121133	429043	829947	1046590	859527	1624752	1387877	8634478	5046259	2866447	988273	178918	3607954	7068411	1349448	3288846	5974219	3592017	262241	1258343	4163317	8214017
