genome	gc	mode	err	mm	n_windows	n_motif_passed	n_recorded	n_correct	n_wrong_tie	n_wrong_only	frac_wrong_recorded
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	e0	0	1138	1138	1138	1138	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	e0	1	1138	1138	1138	1138	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	e0	2	1138	1138	1138	1138	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	e0001	0	1138	1138	1103	1103	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	e0001	1	1138	1138	1133	1133	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	e0001	2	1138	1138	1133	1133	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	e01	0	1204	1204	996	996	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	e01	1	1204	1204	1128	1128	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	enzyme_k16	e01	2	1204	1204	1139	1139	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	fmh_k16matched	e0	0	257400	0	1189	1189	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	fmh_k16matched	e0	1	257400	0	1189	1189	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	fmh_k16matched	e0	2	257400	0	1189	1189	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	fmh_k16matched	e0001	0	257400	0	1152	1152	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	fmh_k16matched	e0001	1	257400	0	1183	1183	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	fmh_k16matched	e0001	2	257400	0	1183	1183	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	fmh_k16matched	e01	0	257400	0	899	899	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	fmh_k16matched	e01	1	257400	0	1125	1125	0	0	0.0
g01_Buchnera_aphidicola_C	25.44	fmh_k16matched	e01	2	257400	0	1154	1154	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	e0	0	3100	3100	3100	3100	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	e0	1	3100	3100	3100	3100	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	e0	2	3100	3100	3100	3100	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	e0001	0	3172	3172	3095	3095	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	e0001	1	3172	3172	3155	3155	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	e0001	2	3172	3172	3155	3155	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	e01	0	3308	3308	2676	2676	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	e01	1	3308	3308	3099	3099	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	enzyme_k16	e01	2	3308	3308	3137	3137	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	fmh_k16matched	e0	0	650280	0	3142	3142	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	fmh_k16matched	e0	1	650280	0	3144	3142	0	2	0.00063613
g02_Campylobacter_D_jejuni	30.6	fmh_k16matched	e0	2	650280	0	3148	3142	0	6	0.00190597
g02_Campylobacter_D_jejuni	30.6	fmh_k16matched	e0001	0	650280	0	3139	3139	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	fmh_k16matched	e0001	1	650280	0	3209	3206	0	3	0.00093487
g02_Campylobacter_D_jejuni	30.6	fmh_k16matched	e0001	2	650280	0	3214	3206	0	8	0.00248911
g02_Campylobacter_D_jejuni	30.6	fmh_k16matched	e01	0	650280	0	2507	2507	0	0	0.0
g02_Campylobacter_D_jejuni	30.6	fmh_k16matched	e01	1	650280	0	3080	3078	0	2	0.00064935
g02_Campylobacter_D_jejuni	30.6	fmh_k16matched	e01	2	650280	0	3151	3143	0	8	0.00253888
g03_Campylobacter_devanensis	33.5	enzyme_k16	e0	0	3835	3835	3835	3835	0	0	0.0
g03_Campylobacter_devanensis	33.5	enzyme_k16	e0	1	3835	3835	3835	3835	0	0	0.0
g03_Campylobacter_devanensis	33.5	enzyme_k16	e0	2	3835	3835	3835	3835	0	0	0.0
g03_Campylobacter_devanensis	33.5	enzyme_k16	e0001	0	3843	3843	3781	3781	0	0	0.0
g03_Campylobacter_devanensis	33.5	enzyme_k16	e0001	1	3843	3843	3832	3832	0	0	0.0
g03_Campylobacter_devanensis	33.5	enzyme_k16	e0001	2	3843	3843	3832	3832	0	0	0.0
g03_Campylobacter_devanensis	33.5	enzyme_k16	e01	0	3973	3973	3168	3168	0	0	0.0
g03_Campylobacter_devanensis	33.5	enzyme_k16	e01	1	3973	3973	3718	3718	0	0	0.0
g03_Campylobacter_devanensis	33.5	enzyme_k16	e01	2	3973	3973	3762	3762	0	0	0.0
g03_Campylobacter_devanensis	33.5	fmh_k16matched	e0	0	648600	0	3840	3840	0	0	0.0
g03_Campylobacter_devanensis	33.5	fmh_k16matched	e0	1	648600	0	3889	3840	0	49	0.01259964
g03_Campylobacter_devanensis	33.5	fmh_k16matched	e0	2	648600	0	3900	3840	0	60	0.01538462
g03_Campylobacter_devanensis	33.5	fmh_k16matched	e0001	0	648600	0	3838	3838	0	0	0.0
g03_Campylobacter_devanensis	33.5	fmh_k16matched	e0001	1	648600	0	3949	3905	0	44	0.01114206
g03_Campylobacter_devanensis	33.5	fmh_k16matched	e0001	2	648600	0	3957	3905	0	52	0.01314127
g03_Campylobacter_devanensis	33.5	fmh_k16matched	e01	0	648600	0	3005	3005	0	0	0.0
g03_Campylobacter_devanensis	33.5	fmh_k16matched	e01	1	648600	0	3810	3776	0	34	0.00892388
g03_Campylobacter_devanensis	33.5	fmh_k16matched	e01	2	648600	0	3912	3866	0	46	0.01175869
g04_Staphylococcus_equorum	33.0	enzyme_k16	e0	0	7021	7021	7019	7019	0	0	0.0
g04_Staphylococcus_equorum	33.0	enzyme_k16	e0	1	7021	7021	7019	7019	0	0	0.0
g04_Staphylococcus_equorum	33.0	enzyme_k16	e0	2	7021	7021	7019	7019	0	0	0.0
g04_Staphylococcus_equorum	33.0	enzyme_k16	e0001	0	6857	6857	6732	6732	0	0	0.0
g04_Staphylococcus_equorum	33.0	enzyme_k16	e0001	1	6857	6857	6837	6837	0	0	0.0
g04_Staphylococcus_equorum	33.0	enzyme_k16	e0001	2	6857	6857	6837	6837	0	0	0.0
g04_Staphylococcus_equorum	33.0	enzyme_k16	e01	0	7095	7095	5725	5725	0	0	0.0
g04_Staphylococcus_equorum	33.0	enzyme_k16	e01	1	7095	7095	6698	6698	0	0	0.0
g04_Staphylococcus_equorum	33.0	enzyme_k16	e01	2	7095	7095	6768	6767	0	1	0.00014775
g04_Staphylococcus_equorum	33.0	fmh_k16matched	e0	0	1148640	0	6937	6937	0	0	0.0
g04_Staphylococcus_equorum	33.0	fmh_k16matched	e0	1	1148640	0	6981	6937	0	44	0.00630282
g04_Staphylococcus_equorum	33.0	fmh_k16matched	e0	2	1148640	0	7040	6937	0	103	0.01463068
g04_Staphylococcus_equorum	33.0	fmh_k16matched	e0001	0	1148640	0	6872	6872	0	0	0.0
g04_Staphylococcus_equorum	33.0	fmh_k16matched	e0001	1	1148640	0	7083	7046	0	37	0.00522378
g04_Staphylococcus_equorum	33.0	fmh_k16matched	e0001	2	1148640	0	7129	7046	0	83	0.01164259
g04_Staphylococcus_equorum	33.0	fmh_k16matched	e01	0	1148640	0	5394	5394	0	0	0.0
g04_Staphylococcus_equorum	33.0	fmh_k16matched	e01	1	1148640	0	6732	6690	0	42	0.00623886
g04_Staphylococcus_equorum	33.0	fmh_k16matched	e01	2	1148640	0	6920	6817	0	103	0.01488439
g05_Staphylococcus_aureus	33.0	enzyme_k16	e0	0	7138	7138	7138	7138	0	0	0.0
g05_Staphylococcus_aureus	33.0	enzyme_k16	e0	1	7138	7138	7138	7138	0	0	0.0
g05_Staphylococcus_aureus	33.0	enzyme_k16	e0	2	7138	7138	7138	7138	0	0	0.0
g05_Staphylococcus_aureus	33.0	enzyme_k16	e0001	0	7377	7377	7227	7227	0	0	0.0
g05_Staphylococcus_aureus	33.0	enzyme_k16	e0001	1	7377	7377	7337	7337	0	0	0.0
g05_Staphylococcus_aureus	33.0	enzyme_k16	e0001	2	7377	7377	7337	7337	0	0	0.0
g05_Staphylococcus_aureus	33.0	enzyme_k16	e01	0	7375	7375	5945	5945	0	0	0.0
g05_Staphylococcus_aureus	33.0	enzyme_k16	e01	1	7375	7375	6929	6926	3	0	0.00043296
g05_Staphylococcus_aureus	33.0	enzyme_k16	e01	2	7375	7375	7006	7003	3	0	0.0004282
g05_Staphylococcus_aureus	33.0	fmh_k16matched	e0	0	1189440	0	7332	7332	0	0	0.0
g05_Staphylococcus_aureus	33.0	fmh_k16matched	e0	1	1189440	0	7451	7332	0	119	0.01597101
g05_Staphylococcus_aureus	33.0	fmh_k16matched	e0	2	1189440	0	7608	7332	0	276	0.0362776
g05_Staphylococcus_aureus	33.0	fmh_k16matched	e0001	0	1189440	0	7103	7103	0	0	0.0
g05_Staphylococcus_aureus	33.0	fmh_k16matched	e0001	1	1189440	0	7392	7282	0	110	0.01488095
g05_Staphylococcus_aureus	33.0	fmh_k16matched	e0001	2	1189440	0	7580	7283	0	297	0.03918206
g05_Staphylococcus_aureus	33.0	fmh_k16matched	e01	0	1189440	0	5879	5879	0	0	0.0
g05_Staphylococcus_aureus	33.0	fmh_k16matched	e01	1	1189440	0	7340	7222	0	118	0.01607629
g05_Staphylococcus_aureus	33.0	fmh_k16matched	e01	2	1189440	0	7680	7374	0	306	0.03984375
g06_Bacillus_subtilis	43.5	enzyme_k16	e0	0	13872	13872	13872	13872	0	0	0.0
g06_Bacillus_subtilis	43.5	enzyme_k16	e0	1	13872	13872	13872	13872	0	0	0.0
g06_Bacillus_subtilis	43.5	enzyme_k16	e0	2	13872	13872	13872	13872	0	0	0.0
g06_Bacillus_subtilis	43.5	enzyme_k16	e0001	0	13831	13831	13573	13573	0	0	0.0
g06_Bacillus_subtilis	43.5	enzyme_k16	e0001	1	13831	13831	13772	13772	0	0	0.0
g06_Bacillus_subtilis	43.5	enzyme_k16	e0001	2	13831	13831	13774	13774	0	0	0.0
g06_Bacillus_subtilis	43.5	enzyme_k16	e01	0	14004	14004	11296	11296	0	0	0.0
g06_Bacillus_subtilis	43.5	enzyme_k16	e01	1	14004	14004	13200	13200	0	0	0.0
g06_Bacillus_subtilis	43.5	enzyme_k16	e01	2	14004	14004	13373	13373	0	0	0.0
g06_Bacillus_subtilis	43.5	fmh_k16matched	e0	0	1688880	0	14123	14123	0	0	0.0
g06_Bacillus_subtilis	43.5	fmh_k16matched	e0	1	1688880	0	14243	14123	0	120	0.00842519
g06_Bacillus_subtilis	43.5	fmh_k16matched	e0	2	1688880	0	14307	14123	0	184	0.01286084
g06_Bacillus_subtilis	43.5	fmh_k16matched	e0001	0	1688880	0	13650	13649	0	1	7.326e-05
g06_Bacillus_subtilis	43.5	fmh_k16matched	e0001	1	1688880	0	14111	13960	0	151	0.01070087
g06_Bacillus_subtilis	43.5	fmh_k16matched	e0001	2	1688880	0	14174	13961	0	213	0.01502752
g06_Bacillus_subtilis	43.5	fmh_k16matched	e01	0	1688880	0	11196	11196	0	0	0.0
g06_Bacillus_subtilis	43.5	fmh_k16matched	e01	1	1688880	0	13960	13878	0	82	0.00587393
g06_Bacillus_subtilis	43.5	fmh_k16matched	e01	2	1688880	0	14345	14187	0	158	0.01101429
g07_Bacillus_atrophaeus	43.48	enzyme_k16	e0	0	13120	13120	13120	13120	0	0	0.0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	e0	1	13120	13120	13120	13120	0	0	0.0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	e0	2	13120	13120	13120	13120	0	0	0.0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	e0001	0	13254	13254	12954	12954	0	0	0.0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	e0001	1	13254	13254	13195	13195	0	0	0.0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	e0001	2	13254	13254	13198	13198	0	0	0.0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	e01	0	13300	13300	10741	10741	0	0	0.0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	e01	1	13300	13300	12515	12515	0	0	0.0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	e01	2	13300	13300	12638	12638	0	0	0.0
g07_Bacillus_atrophaeus	43.48	fmh_k16matched	e0	0	1620360	0	13379	13379	0	0	0.0
g07_Bacillus_atrophaeus	43.48	fmh_k16matched	e0	1	1620360	0	13420	13379	0	41	0.00305514
g07_Bacillus_atrophaeus	43.48	fmh_k16matched	e0	2	1620360	0	13450	13379	0	71	0.00527881
g07_Bacillus_atrophaeus	43.48	fmh_k16matched	e0001	0	1620360	0	13105	13105	0	0	0.0
g07_Bacillus_atrophaeus	43.48	fmh_k16matched	e0001	1	1620360	0	13459	13415	0	44	0.00326919
