genome	gc	mode	ptr	rep	depth	log2ptr	note
g08_Escherichia_coli	50.8000	A_k8	2.0000	2	0.5000	1.4947	ok
g08_Escherichia_coli	50.8000	A_k8	2.0000	2	1.0000	1.7162	ok
g08_Escherichia_coli	50.8000	A_k8	2.0000	2	2.0000	2.0069	ok
g08_Escherichia_coli	50.8000	A_k8	2.0000	2	5.0000	2.0073	ok
g08_Escherichia_coli	50.8000	E_s106	0.5000	1	0.5000	0.2775	ok
g08_Escherichia_coli	50.8000	E_s106	0.5000	1	1.0000	0.3405	ok
g08_Escherichia_coli	50.8000	E_s106	0.5000	1	2.0000	0.4157	ok
g08_Escherichia_coli	50.8000	E_s106	0.5000	1	5.0000	0.4692	ok
g08_Escherichia_coli	50.8000	E_s106	0.5000	2	0.5000	0.2341	ok
g08_Escherichia_coli	50.8000	E_s106	0.5000	2	1.0000	0.3447	ok
g08_Escherichia_coli	50.8000	E_s106	0.5000	2	2.0000	0.4893	ok
g08_Escherichia_coli	50.8000	E_s106	0.5000	2	5.0000	0.4538	ok
g08_Escherichia_coli	50.8000	E_s106	1.0000	1	0.5000	0.6667	ok
g08_Escherichia_coli	50.8000	E_s106	1.0000	1	1.0000	0.9040	ok
g08_Escherichia_coli	50.8000	E_s106	1.0000	1	2.0000	0.9919	ok
g08_Escherichia_coli	50.8000	E_s106	1.0000	1	5.0000	1.0242	ok
g08_Escherichia_coli	50.8000	E_s106	1.0000	2	0.5000	0.4882	ok
g08_Escherichia_coli	50.8000	E_s106	1.0000	2	1.0000	0.8556	ok
g08_Escherichia_coli	50.8000	E_s106	1.0000	2	2.0000	0.9761	ok
g08_Escherichia_coli	50.8000	E_s106	1.0000	2	5.0000	1.0019	ok
g08_Escherichia_coli	50.8000	E_s106	1.5000	1	0.5000	1.2351	ok
g08_Escherichia_coli	50.8000	E_s106	1.5000	1	1.0000	1.3274	ok
g08_Escherichia_coli	50.8000	E_s106	1.5000	1	2.0000	1.4462	ok
g08_Escherichia_coli	50.8000	E_s106	1.5000	1	5.0000	1.4941	ok
g08_Escherichia_coli	50.8000	E_s106	1.5000	2	0.5000	0.8493	ok
g08_Escherichia_coli	50.8000	E_s106	1.5000	2	1.0000	1.3327	ok
