genome	gc	mode	depth	n	failed	r	rmse	slope
g08_Escherichia_coli	50.8	A_k16	0.5	8	0	0.984	0.365	0.714
g08_Escherichia_coli	50.8	A_k8	0.5	8	0	0.982	0.318	0.856
g08_Escherichia_coli	50.8	E_s106	0.5	8	0	0.965	0.454	0.801
g08_Escherichia_coli	50.8	E_s125	0.5	8	0	0.974	0.396	0.859
g08_Escherichia_coli	50.8	E_s200	0.5	8	0	0.985	0.371	0.835
g08_Escherichia_coli	50.8	A_k16	1.0	8	0	0.987	0.174	0.922
g08_Escherichia_coli	50.8	A_k8	1.0	8	0	0.982	0.16	0.895
g08_Escherichia_coli	50.8	E_s106	1.0	8	0	0.999	0.156	0.983
g08_Escherichia_coli	50.8	E_s125	1.0	8	0	0.993	0.155	0.924
g08_Escherichia_coli	50.8	E_s200	1.0	8	0	0.998	0.118	0.99
g08_Escherichia_coli	50.8	A_k16	2.0	8	0	0.999	0.048	1.014
g08_Escherichia_coli	50.8	A_k8	2.0	8	0	0.999	0.038	1.025
g08_Escherichia_coli	50.8	E_s106	2.0	8	0	0.999	0.045	0.997
g08_Escherichia_coli	50.8	E_s125	2.0	8	0	0.998	0.053	0.994
g08_Escherichia_coli	50.8	E_s200	2.0	8	0	0.998	0.047	0.984
g08_Escherichia_coli	50.8	A_k16	5.0	8	0	0.999	0.022	1.009
g08_Escherichia_coli	50.8	A_k8	5.0	8	0	0.999	0.025	1.015
g08_Escherichia_coli	50.8	E_s106	5.0	8	0	0.999	0.028	1.031
g08_Escherichia_coli	50.8	E_s125	5.0	8	0	0.999	0.026	1.032
g08_Escherichia_coli	50.8	E_s200	5.0	8	0	1.0	0.018	1.009
g13_Pseudomonas_aeruginosa	65.3	A_k16	0.5	8	0	0.99	0.346	0.796
g13_Pseudomonas_aeruginosa	65.3	A_k8	0.5	8	0	0.991	0.317	0.813
g13_Pseudomonas_aeruginosa	65.3	E_s103	0.5	8	0	0.986	0.38	0.691
g13_Pseudomonas_aeruginosa	65.3	E_s134	0.5	8	0	0.983	0.361	0.714
g13_Pseudomonas_aeruginosa	65.3	E_s200	0.5	8	0	0.97	0.346	0.659
g13_Pseudomonas_aeruginosa	65.3	A_k16	1.0	8	0	0.997	0.14	0.916
g13_Pseudomonas_aeruginosa	65.3	A_k8	1.0	8	0	0.998	0.104	0.932
g13_Pseudomonas_aeruginosa	65.3	E_s103	1.0	8	0	0.993	0.146	0.961
g13_Pseudomonas_aeruginosa	65.3	E_s134	1.0	8	0	0.994	0.136	0.939
g13_Pseudomonas_aeruginosa	65.3	E_s200	1.0	8	0	0.991	0.112	0.968
g13_Pseudomonas_aeruginosa	65.3	A_k16	2.0	8	0	0.999	0.055	1.001
g13_Pseudomonas_aeruginosa	65.3	A_k8	2.0	8	0	0.999	0.052	1.0
g13_Pseudomonas_aeruginosa	65.3	E_s103	2.0	8	0	0.998	0.048	1.006
g13_Pseudomonas_aeruginosa	65.3	E_s134	2.0	8	0	0.999	0.036	1.013
g13_Pseudomonas_aeruginosa	65.3	E_s200	2.0	8	0	0.998	0.042	1.023
g13_Pseudomonas_aeruginosa	65.3	A_k16	5.0	8	0	0.999	0.028	0.977
g13_Pseudomonas_aeruginosa	65.3	A_k8	5.0	8	0	0.999	0.03	0.974
g13_Pseudomonas_aeruginosa	65.3	E_s103	5.0	8	0	0.999	0.024	0.997
g13_Pseudomonas_aeruginosa	65.3	E_s134	5.0	8	0	0.998	0.043	0.974
g13_Pseudomonas_aeruginosa	65.3	E_s200	5.0	8	0	0.998	0.046	0.967
g16_Streptomyces_violaceoruber	72.0	A_k16	0.5	8	0	0.995	0.272	0.895
g16_Streptomyces_violaceoruber	72.0	A_k8	0.5	8	0	0.986	0.317	0.914
g16_Streptomyces_violaceoruber	72.0	E_s125	0.5	8	0	0.973	0.364	0.786
g16_Streptomyces_violaceoruber	72.0	E_s200	0.5	8	0	0.961	0.382	0.821
g16_Streptomyces_violaceoruber	72.0	E_s80	0.5	8	0	0.965	0.397	0.712
g16_Streptomyces_violaceoruber	72.0	A_k16	1.0	8	0	0.982	0.175	0.873
g16_Streptomyces_violaceoruber	72.0	A_k8	1.0	8	0	0.99	0.146	0.931
g16_Streptomyces_violaceoruber	72.0	E_s125	1.0	8	0	0.995	0.147	0.912
g16_Streptomyces_violaceoruber	72.0	E_s200	1.0	8	0	0.994	0.135	0.919
g16_Streptomyces_violaceoruber	72.0	E_s80	1.0	8	0	0.993	0.168	0.893
g16_Streptomyces_violaceoruber	72.0	A_k16	2.0	8	0	1.0	0.027	0.99
g16_Streptomyces_violaceoruber	72.0	A_k8	2.0	8	0	0.999	0.028	0.998
g16_Streptomyces_violaceoruber	72.0	E_s125	2.0	8	0	0.999	0.044	1.009
g16_Streptomyces_violaceoruber	72.0	E_s200	2.0	8	0	0.999	0.04	1.011
g16_Streptomyces_violaceoruber	72.0	E_s80	2.0	8	0	0.999	0.045	0.992
g16_Streptomyces_violaceoruber	72.0	A_k16	5.0	8	0	1.0	0.02	0.974
g16_Streptomyces_violaceoruber	72.0	A_k8	5.0	8	0	1.0	0.022	0.97
g16_Streptomyces_violaceoruber	72.0	E_s125	5.0	8	0	0.999	0.023	0.994
g16_Streptomyces_violaceoruber	72.0	E_s200	5.0	8	0	1.0	0.016	1.003
g16_Streptomyces_violaceoruber	72.0	E_s80	5.0	8	0	1.0	0.02	0.986
