medium	srr	cov	mode	log2ptr	est_cov	passed	growth_rate
M18	SRR11558969	1	default				0.7413
M18	SRR11558969	1	relaxed	1.5158	1.4019		0.7413
M18	SRR11558969	2	default				0.7413
M18	SRR11558969	2	relaxed	1.1479	1.8919		0.7413
M18	SRR11558969	5	default				0.7413
M18	SRR11558969	5	relaxed	1.0165	3.6734		0.7413
M18	SRR11558969	10	default	0.7591	7.3459		0.7413
M18	SRR11558969	10	relaxed	0.7591	7.3459		0.7413
M17	SRR11558970	0.5	default				0.7440
M17	SRR11558970	0.5	relaxed	0.0000	1.0000		0.7440
M17	SRR11558970	1	default				0.7440
M17	SRR11558970	1	relaxed	1.2548	1.4707		0.7440
M17	SRR11558970	2	default				0.7440
M17	SRR11558970	2	relaxed	0.8748	1.9759		0.7440
M17	SRR11558970	5	default				0.7440
M17	SRR11558970	5	relaxed	0.8405	3.7654		0.7440
M17	SRR11558970	10	default	0.6007	7.1566		0.7440
M17	SRR11558970	10	relaxed	0.6007	7.1566		0.7440
M13	SRR11558973	0.5	default				0.8612
M13	SRR11558973	0.5	relaxed	0.0000	1.0000		0.8612
M13	SRR11558973	1	default				0.8612
M13	SRR11558973	1	relaxed	1.5243	1.4021		0.8612
M13	SRR11558973	2	default				0.8612
M13	SRR11558973	2	relaxed	0.9318	1.9001		0.8612
M13	SRR11558973	5	default				0.8612
M13	SRR11558973	5	relaxed	1.0940	3.7555		0.8612
M13	SRR11558973	10	default	0.8814	7.3211		0.8612
M13	SRR11558973	10	relaxed	0.8814	7.3211		0.8612
M12	SRR11558976	0.5	default				1.0220
M12	SRR11558976	0.5	relaxed	0.0000	1.0000		1.0220
M12	SRR11558976	1	default				1.0220
M12	SRR11558976	1	relaxed	1.7449	1.4174		1.0220
M12	SRR11558976	2	default				1.0220
M12	SRR11558976	2	relaxed	1.3187	1.9380		1.0220
M12	SRR11558976	5	default				1.0220
M12	SRR11558976	5	relaxed	1.2447	3.5642		1.0220
M12	SRR11558976	10	default	1.0084	6.7200		1.0220
M12	SRR11558976	10	relaxed	1.0084	6.7200		1.0220
M1	SRR11558977	0.5	default				1.7207
M1	SRR11558977	0.5	relaxed	0.0000	1.0000		1.7207
M1	SRR11558977	1	default				1.7207
M1	SRR11558977	1	relaxed	1.9751	1.4144		1.7207
M1	SRR11558977	2	default				1.7207
M1	SRR11558977	2	relaxed	2.0131	1.9024		1.7207
M1	SRR11558977	5	default				1.7207
M1	SRR11558977	5	relaxed	1.7486	3.5673		1.7207
M1	SRR11558977	10	default	1.6473	6.9103		1.7207
M1	SRR11558977	10	relaxed	1.6473	6.9103		1.7207
M10	SRR11558980	0.5	default				1.1500
M10	SRR11558980	0.5	relaxed	0.0000	1.0000		1.1500
M10	SRR11558980	1	default				1.1500
M10	SRR11558980	1	relaxed	1.7012	1.3930		1.1500
M10	SRR11558980	2	default				1.1500
M10	SRR11558980	2	relaxed	1.1761	1.8476		1.1500
M10	SRR11558980	5	default				1.1500
M10	SRR11558980	5	relaxed	1.2734	3.6328		1.1500
M10	SRR11558980	10	default	1.0572	7.2135		1.1500
M10	SRR11558980	10	relaxed	1.0572	7.2135		1.1500
M4	SRR11558983	0.5	default				1.3718
M4	SRR11558983	0.5	relaxed	0.0000	1.0000		1.3718
M4	SRR11558983	1	default				1.3718
M4	SRR11558983	1	relaxed	1.6610	1.4468		1.3718
M4	SRR11558983	2	default				1.3718
M4	SRR11558983	2	relaxed	1.5354	1.9318		1.3718
M4	SRR11558983	5	default				1.3718
M4	SRR11558983	5	relaxed	1.5313	3.5790		1.3718
M4	SRR11558983	10	default	1.4409	6.6517		1.3718
M4	SRR11558983	10	relaxed	1.4409	6.6517		1.3718
