repeat	contrast	auroc_delta	p_permutation
0	B-A	-0.03961038961038976	0.01098901098901099
0	C-A	-0.012987012987013102	0.5114885114885115
1	B-A	-0.029437229437229373	0.13086913086913088
1	C-A	-0.014718614718614798	0.2057942057942058
2	B-A	-0.04112554112554112	0.015984015984015984
2	C-A	-0.018398268398268414	0.2677322677322677
3	B-A	-0.024891774891774743	0.1938061938061938
3	C-A	-0.008658008658008587	0.5064935064935064
4	B-A	-0.06082251082251067	0.006993006993006993
4	C-A	-0.02705627705627689	0.22477522477522477
5	B-A	-0.03874458874458886	0.022977022977022976
5	C-A	-0.020346320346320446	0.12287712287712288
6	B-A	-0.05584415584415581	0.02197802197802198
6	C-A	-0.031818181818181746	0.4065934065934066
7	B-A	-0.07727272727272727	0.000999000999000999
7	C-A	-0.02619047619047632	0.11588411588411589
8	B-A	-0.05476190476190479	0.04295704295704296
8	C-A	-0.033333333333333326	0.10589410589410589
9	B-A	-0.01666666666666672	0.5084915084915085
9	C-A	-0.004112554112554179	0.7362637362637363
10	B-A	-0.048917748917748916	0.006993006993006993
10	C-A	-0.024891774891774965	0.03396603396603397
11	B-A	-0.0015151515151515804	0.903096903096903
11	C-A	-0.0012987012987013546	0.8711288711288712
12	B-A	-0.02012987012987022	0.3036963036963037
12	C-A	-0.016233766233766267	0.14185814185814186
13	B-A	-0.05476190476190479	0.000999000999000999
13	C-A	-0.026839826839826997	0.14585414585414586
14	B-A	-0.03701298701298694	0.15584415584415584
14	C-A	-0.006277056277056214	0.33466533466533466
15	B-A	-0.029870129870129714	0.16283716283716285
15	C-A	-0.008225108225108135	0.36663336663336665
16	B-A	-0.0400432900432901	0.17482517482517482
16	C-A	-0.021861471861471804	0.5504495504495505
17	B-A	-0.01406926406926401	0.5444555444555444
17	C-A	-0.0006493506493504553	0.9440559440559441
18	B-A	-0.06212121212121213	0.003996003996003996
18	C-A	-0.02813852813852824	0.06693306693306693
19	B-A	-0.03290043290043276	0.055944055944055944
19	C-A	-0.027489177489177452	0.16483516483516483
20	B-A	-0.023809523809523836	0.061938061938061936
20	C-A	-0.024891774891774854	0.02097902097902098
21	B-A	-0.01558441558441559	0.2997002997002997
21	C-A	-0.019913419913419883	0.28471528471528473
22	B-A	-0.03268398268398276	0.22877122877122877
22	C-A	-0.010173160173160167	0.45254745254745254
23	B-A	-0.020346320346320335	0.15484515484515485
23	C-A	-0.022943722943722933	0.14285714285714285
24	B-A	-0.006277056277056214	0.6763236763236763
24	C-A	-0.005411255411255422	0.5934065934065934
25	B-A	-0.001948051948052143	0.9150849150849151
25	C-A	0.0032467532467531646	0.8651348651348651
26	B-A	-0.020779220779220675	0.14685314685314685
26	C-A	-0.011904761904761862	0.16483516483516483
27	B-A	-0.024242424242424176	0.15284715284715283
27	C-A	-0.01709956709956706	0.03396603396603397
28	B-A	-0.06645021645021654	0.001998001998001998
28	C-A	-0.026190476190476097	0.10989010989010989
29	B-A	-0.03679653679653683	0.001998001998001998
29	C-A	-0.0175324675324674	0.17582417582417584
