sample	n_species_tested	n_finite_ptr	n_qc_pass	n_containment_ge_0.5	n_containment_ge_0.1
SF001	970	49	0	0	15
SF002	970	5	0	1	2
SF003	970	157	0	0	35
SF004	970	10	0	0	1
SF005	970	2	0	0	0
SF006	970	226	0	7	96
SF007	970	150	0	0	22
SF008	970	21	0	0	1
SF009	970	47	0	0	14
SF010	970	341	0	3	136
SF011	970	27	0	0	0
SF012	970	131	0	0	27
SF013	970	9	0	0	0
SF014	970	11	0	0	0
SF015	970	6	0	0	0
SF016	970	27	0	0	2
SF017	970	3	0	0	0
SF018	970	172	0	3	40
SF019	970	6	0	0	0
SF020	970	5	0	0	0
SF021	970	4	0	0	0
SF022	970	4	0	0	0
SF023	970	2	0	0	0
SF024	970	3	0	0	0
SF025	970	4	0	0	0
SF026	970	4	0	0	0
SF027	970	121	0	0	18
SF028	970	66	0	0	15
SF029	970	14	0	0	0
SF030	970	86	0	0	9
SF031	970	19	0	0	0
SF032	970	2	0	0	0
SF033	970	19	0	0	0
SF034	970	17	0	0	0
SF035	970	12	0	0	0
SF036	970	75	0	0	12
SF037	970	16	0	0	0
SF038	970	15	0	0	0
SF039	970	128	0	5	34
SF040	970	6	0	0	0
SF041	970	6	0	0	0
SF042	970	1	0	0	0
SF043	970	3	0	0	0
SF044	970	3	0	0	0
SF045	970	7	0	0	0
SF046	970	34	0	0	7
SF047	970	67	0	0	10
SF048	970	11	0	0	0
SF049	970	7	0	0	0
SF050	970	9	0	0	0
SF051	970	4	0	0	0
SF052	970	5	0	0	0
SF053	970	7	0	0	0
SF054	970	76	0	0	5
SF055	970	5	0	0	0
SF056	970	9	0	0	0
SF057	970	12	0	0	0
SF058	970	14	0	0	0
SF059	970	22	0	0	0
SF060	970	23	0	0	0
SF061	970	74	0	0	0
SF062	970	6	0	0	0
SF063	970	104	0	1	19
SF064	970	16	0	0	1
SF065	970	2	0	0	0
SF066	970	25	0	0	5
SF067	970	15	0	0	1
SF068	970	8	0	0	0
SF069	970	3	0	0	0
SF070	970	255	0	4	98
SF071	970	9	0	0	0
SF072	970	10	0	0	0
SF073	970	13	0	0	0
SF074	970	14	0	0	2
SF075	970	14	0	0	0
SF076	970	15	0	0	0
SF077	970	5	0	0	1
SF078	970	9	0	0	1
SF079	970	43	0	0	7
SF080	970	9	0	0	0
SF081	970	8	0	0	1
SF082	970	12	0	0	1
SF083	970	16	0	0	1
SF084	970	11	0	0	1
SF085	970	13	0	0	1
SF086	970	51	0	0	5
SF087	970	261	0	5	106
SF088	970	10	0	0	1
SF089	970	226	0	3	83
SF090	970	7	0	0	0
SF091	970	48	0	0	11
SF092	970	144	0	1	44
SF093	970	5	0	0	0
SF094	970	2	0	0	0
SF095	970	1	0	0	0
SF096	970	1	0	0	0
SF097	970	54	0	0	12
