auroc	auprc	balanced_accuracy	macro_f1	arm	repeat	n_features
0.6666666666666666	0.6879823814959658	0.6597402597402597	0.6555397727272727	A_abundance	0	1601
0.6569264069264069	0.6730686907126375	0.6478354978354979	0.6413834227787716	A_plus_MIP	0	1605
0.5307359307359307	0.4986041460259031	0.5261904761904762	0.5262129599478997	MIP_only	0	4
0.658874458874459	0.6754153138831629	0.6296536796536796	0.6238100834410625	A_abundance	1	1601
0.6376623376623377	0.6707801807634992	0.6506493506493506	0.6466094723234223	A_plus_MIP	1	1605
0.5623376623376624	0.5065768799339473	0.5919913419913421	0.5916891527253103	MIP_only	1	4
0.6753246753246752	0.7056542133930224	0.6625541125541126	0.6603641456582633	A_abundance	2	1601
0.658874458874459	0.6912591810721181	0.6688311688311688	0.6645199761478832	A_plus_MIP	2	1605
0.5322510822510823	0.4702600047916602	0.5199134199134199	0.5195951765719208	MIP_only	2	4
0.6575757575757576	0.6805749636868107	0.6086580086580087	0.6010106945587026	A_abundance	3	1601
0.6601731601731601	0.6757908584727967	0.6114718614718615	0.6063768115942029	A_plus_MIP	3	1605
0.5257575757575759	0.4916318130152295	0.5199134199134199	0.5195951765719208	MIP_only	3	4
0.6945887445887445	0.70022011446013	0.6534632034632034	0.6513623188405797	A_abundance	4	1601
0.6627705627705627	0.6848450643755085	0.6625541125541126	0.6603641456582633	A_plus_MIP	4	1605
0.567965367965368	0.5402071090905919	0.5471861471861472	0.547270161727993	MIP_only	4	4
0.6625541125541126	0.6848476211834591	0.6506493506493506	0.6466094723234223	A_abundance	5	1601
0.6608225108225108	0.687422233717787	0.6478354978354979	0.6413834227787716	A_plus_MIP	5	1605
0.5534632034632035	0.48292541925458266	0.5409090909090909	0.5404823428079242	MIP_only	5	4
0.7112554112554113	0.7082843856030299	0.6324675324675324	0.6288695652173912	A_abundance	6	1601
0.7056277056277057	0.6952645958655733	0.6296536796536796	0.6238100834410625	A_plus_MIP	6	1605
0.5028138528138528	0.45921852447379663	0.5199134199134199	0.5195951765719208	MIP_only	6	4
0.6564935064935065	0.6769628360230853	0.6478354978354979	0.6413834227787716	A_abundance	7	1601
0.6547619047619048	0.6860614765988786	0.6478354978354979	0.6413834227787716	A_plus_MIP	7	1605
0.5619047619047619	0.5176409657782342	0.5590909090909091	0.5590909090909091	MIP_only	7	4
0.6681818181818182	0.6798368671677077	0.6387445887445887	0.6325757575757576	A_abundance	8	1601
0.6398268398268399	0.6644562943186851	0.6415584415584416	0.6377217553688141	A_plus_MIP	8	1605
0.564069264069264	0.4842032107964903	0.5443722943722944	0.5443024145089042	MIP_only	8	4
0.6746753246753249	0.6839161128755205	0.6387445887445887	0.6325757575757576	A_abundance	9	1601
