arm	n	auroc_mean	auroc_sd	auroc_p2.5	auroc_p97.5	auprc_mean	auprc_sd	balacc_mean	balacc_sd	macrof1_mean	macrof1_sd
A_species_abundance	100	0.6670757575757575	0.016269100118576636	0.6315151515151515	0.6949512987012987	0.6828135846542022	0.013971637530275381	0.6398787878787878	0.015229651787600844	0.634834384047182	0.016613387843825125
B_sk2bgrow	100	0.6337835497835498	0.018790316880969937	0.5974837662337662	0.6696482683982684	0.6612246430743802	0.015685243411175682	0.6267424242424243	0.022822583227101796	0.6264535443207236	0.023590486417843604
C_abundance_plus_sk2bgrow	100	0.65054329004329	0.015373630244722245	0.6199025974025975	0.6780681818181817	0.6741632697140773	0.011729965530765303	0.6405497835497834	0.015420984738779099	0.6364238487133637	0.016679922134345947
