genome	gc	arm	cond	depth	n	failed	r	rmse	slope
g06_Bacillus_subtilis	43.5	enzyme	complete	1.0	6	0	1.0	0.203	0.882
g06_Bacillus_subtilis	43.5	enzyme	complete	5.0	6	0	1.0	0.017	0.996
g06_Bacillus_subtilis	43.5	enzyme	frag	1.0	6	0	0.972	0.924	0.262
g06_Bacillus_subtilis	43.5	enzyme	frag	5.0	6	0	0.999	0.871	0.339
g06_Bacillus_subtilis	43.5	enzyme	scafRel	1.0	6	0	0.954	0.704	0.457
g06_Bacillus_subtilis	43.5	enzyme	scafRel	5.0	6	0	0.995	0.644	0.527
g06_Bacillus_subtilis	43.5	enzyme	scafSelf	1.0	6	0	0.997	0.186	0.878
g06_Bacillus_subtilis	43.5	enzyme	scafSelf	5.0	6	0	1.0	0.015	0.999
g06_Bacillus_subtilis	43.5	sketch	complete	1.0	6	0	0.997	0.161	0.958
g06_Bacillus_subtilis	43.5	sketch	complete	5.0	6	0	1.0	0.017	0.982
g06_Bacillus_subtilis	43.5	sketch	frag	1.0	6	0	0.992	0.869	0.379
g06_Bacillus_subtilis	43.5	sketch	frag	5.0	6	0	0.999	0.839	0.339
g06_Bacillus_subtilis	43.5	sketch	scafRel	1.0	5	1	0.981	0.352	0.957
g06_Bacillus_subtilis	43.5	sketch	scafRel	5.0	6	0	0.988	0.223	1.118
g06_Bacillus_subtilis	43.5	sketch	scafSelf	1.0	6	0	0.998	0.165	0.967
g06_Bacillus_subtilis	43.5	sketch	scafSelf	5.0	6	0	1.0	0.017	0.982
g08_Escherichia_coli	50.8	enzyme	complete	1.0	6	0	0.988	0.176	0.92
g08_Escherichia_coli	50.8	enzyme	complete	5.0	6	0	1.0	0.019	1.013
g08_Escherichia_coli	50.8	enzyme	frag	1.0	6	0	0.918	0.921	0.29
g08_Escherichia_coli	50.8	enzyme	frag	5.0	6	0	0.999	0.848	0.368
g08_Escherichia_coli	50.8	enzyme	scafRel	1.0	6	0	0.996	0.286	0.825
g08_Escherichia_coli	50.8	enzyme	scafRel	5.0	6	0	1.0	0.149	0.921
g08_Escherichia_coli	50.8	enzyme	scafSelf	1.0	6	0	0.987	0.18	0.935
g08_Escherichia_coli	50.8	enzyme	scafSelf	5.0	6	0	1.0	0.027	1.025
g08_Escherichia_coli	50.8	sketch	complete	1.0	6	0	0.999	0.151	0.987
g08_Escherichia_coli	50.8	sketch	complete	5.0	6	0	0.999	0.032	1.033
g08_Escherichia_coli	50.8	sketch	frag	1.0	4	2			
g08_Escherichia_coli	50.8	sketch	frag	5.0	6	0	0.999	0.852	0.375
g08_Escherichia_coli	50.8	sketch	scafRel	1.0	6	0	0.989	0.27	0.902
g08_Escherichia_coli	50.8	sketch	scafRel	5.0	6	0	1.0	0.106	0.949
g08_Escherichia_coli	50.8	sketch	scafSelf	1.0	6	0	0.998	0.128	0.93
g08_Escherichia_coli	50.8	sketch	scafSelf	5.0	6	0	0.999	0.033	1.034
g13_Pseudomonas_aeruginosa	65.3	enzyme	complete	1.0	6	0	0.998	0.138	0.914
g13_Pseudomonas_aeruginosa	65.3	enzyme	complete	5.0	6	0	1.0	0.031	0.975
g13_Pseudomonas_aeruginosa	65.3	enzyme	frag	1.0	6	0	0.917	0.923	0.305
g13_Pseudomonas_aeruginosa	65.3	enzyme	frag	5.0	6	0	0.997	0.856	0.357
g13_Pseudomonas_aeruginosa	65.3	enzyme	scafRel	1.0	6	0	0.999	0.132	0.916
g13_Pseudomonas_aeruginosa	65.3	enzyme	scafRel	5.0	6	0	1.0	0.03	0.974
g13_Pseudomonas_aeruginosa	65.3	enzyme	scafSelf	1.0	6	0	0.999	0.132	0.916
g13_Pseudomonas_aeruginosa	65.3	enzyme	scafSelf	5.0	6	0	1.0	0.03	0.974
g13_Pseudomonas_aeruginosa	65.3	sketch	complete	1.0	6	0	0.995	0.16	0.946
g13_Pseudomonas_aeruginosa	65.3	sketch	complete	5.0	6	0	1.0	0.02	0.998
g13_Pseudomonas_aeruginosa	65.3	sketch	frag	1.0	6	0	0.975	0.978	0.257
g13_Pseudomonas_aeruginosa	65.3	sketch	frag	5.0	6	0	0.999	0.85	0.36
g13_Pseudomonas_aeruginosa	65.3	sketch	scafRel	1.0	6	0	0.996	0.166	0.951
g13_Pseudomonas_aeruginosa	65.3	sketch	scafRel	5.0	6	0	1.0	0.013	1.005
g13_Pseudomonas_aeruginosa	65.3	sketch	scafSelf	1.0	6	0	0.996	0.166	0.951
g13_Pseudomonas_aeruginosa	65.3	sketch	scafSelf	5.0	6	0	1.0	0.013	1.005
