genome	gc	arm	cond	ptr	rep	depth	log2ptr	coverage	note
g06_Bacillus_subtilis	43.5000	enzyme	scafRel	1.0000	1	5.0000	0.4824	4.1772	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafRel	1.0000	2	1.0000	0.3091	0.8354	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafRel	1.0000	2	5.0000	0.4902	4.1527	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafRel	2.0000	1	1.0000	0.9808	0.8695	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafRel	2.0000	1	5.0000	0.9898	4.1807	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafRel	2.0000	2	1.0000	0.9094	0.8605	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafRel	2.0000	2	5.0000	1.0913	4.2163	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	0.5000	1	1.0000	0.2444	0.8069	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	0.5000	1	5.0000	0.3504	3.9988	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	0.5000	2	1.0000			nan
g06_Bacillus_subtilis	43.5000	sketch	scafRel	0.5000	2	5.0000	0.3263	3.9704	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	1.0000	1	1.0000	0.7377	0.7914	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	1.0000	1	5.0000	0.6355	4.0125	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	1.0000	2	1.0000	0.5606	0.8018	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	1.0000	2	5.0000	0.6691	4.0122	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	2.0000	1	1.0000	1.4965	0.8194	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	2.0000	1	5.0000	1.9765	4.0121	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	2.0000	2	1.0000	1.8006	0.7906	ok
g06_Bacillus_subtilis	43.5000	sketch	scafRel	2.0000	2	5.0000	1.9562	4.0022	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	0.5000	1	1.0000	0.3785	0.8416	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	0.5000	1	5.0000	0.4888	4.1239	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	0.5000	2	1.0000	0.3889	0.8175	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	0.5000	2	5.0000	0.5009	4.1353	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	1.0000	1	1.0000	0.9491	0.8363	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	1.0000	1	5.0000	0.9763	4.1415	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	1.0000	2	1.0000	0.8672	0.8382	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	1.0000	2	5.0000	1.0093	4.1402	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	2.0000	1	1.0000	1.7234	0.8771	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	2.0000	1	5.0000	1.9768	4.1516	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	2.0000	2	1.0000	1.7112	0.8467	ok
g06_Bacillus_subtilis	43.5000	enzyme	scafSelf	2.0000	2	5.0000	2.0096	4.1959	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	0.5000	1	1.0000	0.3100	0.8057	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	0.5000	1	5.0000	0.5140	3.9968	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	0.5000	2	1.0000	0.3796	0.8009	ok
