gate	depth	n	r
all	0.5000	16	0.9124
all	1.0000	16	0.9845
all	2.0000	16	0.9819
all	5.0000	16	0.9785
all	10.0000	16	0.9685
r2>0	0.5000	16	0.8725
r2>0	1.0000	16	0.9794
r2>0	2.0000	16	0.9829
r2>0	5.0000	16	0.9785
r2>0	10.0000	16	0.9685
r2>0.1	0.5000	16	0.6073
r2>0.1	1.0000	16	0.9782
r2>0.1	2.0000	16	0.9830
r2>0.1	5.0000	16	0.9784
r2>0.1	10.0000	16	0.9685
