flag_config	arm	medium	cov	log2ptr	growth_rate	pred
with_windows	E_s104	M13	1.0000	0.7485	0.8612	1.0326
with_windows	E_s104	M13	2.0000	0.7910	0.8612	1.0326
with_windows	E_s104	M13	5.0000	0.9770	0.8612	1.0326
with_windows	E_s104	M17	0.5000	0.3570	0.7440	0.7020
with_windows	E_s104	M17	10.0000	0.6881	0.7440	0.7020
with_windows	E_s104	M17	1.0000	0.7333	0.7440	0.7020
with_windows	E_s104	M17	2.0000	0.5297	0.7440	0.7020
with_windows	E_s104	M17	5.0000	0.6683	0.7440	0.7020
with_windows	E_s104	M18	0.5000		0.7413	0.8578
with_windows	E_s104	M18	10.0000	0.8324	0.7413	0.8578
with_windows	E_s104	M18	1.0000	0.8941	0.7413	0.8578
with_windows	E_s104	M18	2.0000	0.7757	0.7413	0.8578
with_windows	E_s104	M18	5.0000	0.8789	0.7413	0.8578
with_windows	E_s104	M19	0.5000	0.1762	0.5776	0.8862
with_windows	E_s104	M19	10.0000	0.8527	0.5776	0.8862
with_windows	E_s104	M19	1.0000	0.6973	0.5776	0.8862
with_windows	E_s104	M19	2.0000	0.4548	0.5776	0.8862
with_windows	E_s104	M19	5.0000	0.8308	0.5776	0.8862
with_windows	E_s104	M1	0.5000		1.7207	1.7250
with_windows	E_s104	M1	10.0000	1.7730	1.7207	1.7250
with_windows	E_s104	M1	1.0000	1.3349	1.7207	1.7250
with_windows	E_s104	M1	2.0000	1.6074	1.7207	1.7250
with_windows	E_s104	M1	5.0000	1.6907	1.7207	1.7250
with_windows	E_s104	M22	0.5000	0.0697	0.4892	0.7233
with_windows	E_s104	M22	10.0000	0.7011	0.4892	0.7233
with_windows	E_s104	M22	1.0000	0.6315	0.4892	0.7233
with_windows	E_s104	M22	2.0000	0.7091	0.4892	0.7233
with_windows	E_s104	M22	5.0000	0.6881	0.4892	0.7233
with_windows	E_s104	M23	0.5000		0.4770	0.5420
with_windows	E_s104	M23	10.0000	0.5762	0.4770	0.5420
with_windows	E_s104	M23	1.0000	0.3093	0.4770	0.5420
with_windows	E_s104	M23	2.0000	0.4087	0.4770	0.5420
with_windows	E_s104	M23	5.0000	0.5556	0.4770	0.5420
with_windows	E_s104	M24	0.5000	0.2122	0.4648	0.6861
with_windows	E_s104	M24	10.0000	0.6479	0.4648	0.6861
with_windows	E_s104	M24	1.0000	0.4128	0.4648	0.6861
