estimator	depth	shared_fraction	n	bias	rmse	correlation	bias_lo	rmse_lo	corr_lo	bias_hi	rmse_hi	corr_hi
coordinate_vfit	0.5	0	3600	-0.015792	0.122017	0.979811	-0.0261907	0.091843	0.969024	-0.00774804	0.152128	0.988365
coordinate_vfit	0.5	0.05	3600	-0.423007	0.631372	0.958917	-0.649921	0.389882	0.944409	-0.186382	0.797222	0.97274
coordinate_vfit	0.5	0.15	3600	-0.963389	1.43142	0.898139	-1.48895	0.839884	0.855026	-0.404187	1.81855	0.938717
coordinate_vfit	1	0	3600	-0.00782968	0.0717884	0.992566	-0.0137961	0.0558333	0.988838	-0.00323024	0.0883818	0.995499
coordinate_vfit	1	0.05	3600	-0.496405	0.74367	0.957588	-0.767812	0.445355	0.940703	-0.213781	0.943935	0.973764
coordinate_vfit	1	0.15	3600	-1.14827	1.70849	0.884147	-1.7853	1.02271	0.826803	-0.485805	2.17795	0.934268
coordinate_vfit	2	0	3600	-0.00208993	0.0389212	0.997653	-0.004682	0.0330339	0.996744	-4.65631e-06	0.0455488	0.998341
coordinate_vfit	2	0.05	3600	-0.575078	0.863875	0.947271	-0.891023	0.526181	0.922256	-0.24874	1.09732	0.97036
coordinate_vfit	2	0.15	3600	-1.33438	1.98928	0.862587	-2.09455	1.19498	0.790996	-0.562553	2.54213	0.925855
coordinate_vfit	4	0	3600	0.000155431	0.0250034	0.999083	-0.000594381	0.0218502	0.998819	0.000995971	0.028349	0.9993
coordinate_vfit	4	0.05	3600	-0.656022	0.987557	0.937813	-1.0187	0.604657	0.908377	-0.280749	1.25506	0.966114
coordinate_vfit	4	0.15	3600	-1.52679	2.27945	0.850676	-2.35042	1.37192	0.779801	-0.649108	2.88476	0.917492
coordinate_vfit	8	0	3600	0.000174721	0.0184639	0.999483	-0.000555137	0.0159833	0.999314	0.000892649	0.0212279	0.999615
coordinate_vfit	8	0.05	3600	-0.736253	1.10704	0.929756	-1.13871	0.674335	0.896473	-0.317292	1.40384	0.961521
coordinate_vfit	8	0.15	3600	-1.72281	2.57133	0.823607	-2.6797	1.565	0.732065	-0.742925	3.26986	0.904614
sorted_rank	0.5	0	3600	0.460924	0.62216	0.764285	0.442857	0.576986	0.686891	0.478126	0.667079	0.842202
sorted_rank	0.5	0.05	3600	0.544195	0.693412	0.744396	0.528332	0.651208	0.66398	0.561794	0.741914	0.822228
sorted_rank	0.5	0.15	3600	0.701318	0.833907	0.729182	0.659945	0.780454	0.650372	0.741759	0.88588	0.812024
sorted_rank	1	0	3600	0.300158	0.496758	0.82471	0.278525	0.420634	0.744793	0.326189	0.575152	0.897171
sorted_rank	1	0.05	3600	0.361412	0.55213	0.803487	0.335268	0.477189	0.719451	0.392309	0.635167	0.877379
sorted_rank	1	0.15	3600	0.484992	0.638521	0.819489	0.444808	0.565325	0.746684	0.528782	0.723013	0.881601
sorted_rank	2	0	3600	0.167243	0.322253	0.897741	0.148778	0.261046	0.843158	0.188256	0.382029	0.945781
sorted_rank	2	0.05	3600	0.214377	0.366736	0.885524	0.196033	0.307405	0.824343	0.236878	0.432098	0.934479
sorted_rank	2	0.15	3600	0.330478	0.486547	0.851462	0.300127	0.402032	0.764977	0.366748	0.577163	0.922178
sorted_rank	4	0	3600	0.0984089	0.218801	0.950387	0.0855659	0.176033	0.923922	0.114271	0.262476	0.972164
sorted_rank	4	0.05	3600	0.136979	0.252182	0.940162	0.120949	0.208688	0.906073	0.155149	0.300069	0.96719
sorted_rank	4	0.15	3600	0.221027	0.333294	0.926571	0.197993	0.27983	0.883781	0.250624	0.395715	0.959406
sorted_rank	8	0	3600	0.0510553	0.13828	0.976519	0.0427672	0.10672	0.962813	0.060672	0.169658	0.98784
sorted_rank	8	0.05	3600	0.092441	0.179857	0.968014	0.0773184	0.146223	0.948981	0.1098	0.21501	0.982724
sorted_rank	8	0.15	3600	0.157308	0.235984	0.960497	0.139848	0.199325	0.936643	0.180503	0.278812	0.978941
