arm	enzymes	mismatch	screen	threads	wall_s	wall_h	peak_rss_gb	n_finite_ptr	n_qc_pass	median_abs_log2ptr_common_qc
k16_mm2_current	16	2	no	8	76218.63	21.1718	15.3719	8	4	NA
k8_mm1_fast	8	1	no	8	4551.00	1.2642	10.3765	8	3	0.019429
