rank	enzyme	anchors	windows	fit_rate	r@0.5x	r@1x	r@2x	r@5x	r@10x	r_low	rmse_low	ctl_bias	score
1	CjePI	7616	76	0.9529	0.9013	0.9339	0.9695	0.9626	0.9388	0.9349	0.1933	0.0286	0.8794
2	CjeI	8797	88	1.0000	0.8633	0.9582	0.9748	0.9750	0.9620	0.9321	0.1857	0.0582	0.8711
3	AlfI	1989	25	0.9529	0.8208	0.9142	0.8841	0.9360	0.9371	0.8730	0.2681	0.0576	0.7916
4	Hin4I	5330	53	1.0000	0.6974	0.9491	0.9707	0.9615	0.9524	0.8724	0.2272	0.1087	0.7884
5	HaeIV	6435	64	1.0000	0.7110	0.9205	0.9637	0.9676	0.9392	0.8651	0.2585	0.1010	0.7752
6	BcgI	2872	29	0.9529	0.6510	0.9564	0.9523	0.9611	0.9570	0.8532	0.2579	0.2320	0.7307
7	Bsp24I	1524	24	0.9647	0.6751	0.7169	0.8326	0.8940	0.9230	0.7415	0.3621	0.0549	0.6373
8	BsaXI	970	26	0.9529	0.3273	0.9174	0.8832	0.9765	0.9651	0.7093	0.3695	0.0736	0.5985
9	BslFI	2501	25	0.9412	0.3423	0.6840	0.9045	0.9239	0.9765	0.6436	0.3161	0.0474	0.5527
10	CspCI	563	23	0.8824	0.3583	0.7195	0.9324	0.9467	0.9438	0.6701	0.4496	0.2055	0.5063
11	PpiI	336	13	0.8706	0.6089	0.3139	0.8139	0.8626	0.8691	0.5789	0.5657	0.0726	0.4193
12	BaeI	729	24	0.8706	0.5570	0.4971	0.8145	0.9096	0.9492	0.6229	0.5071	0.4004	0.3960
13	FalI	687	25	0.9059	-0.0565	0.5276	0.8670	0.9601	0.8899	0.4460	0.5371	0.2463	0.2502
14	AloI	441	18	0.9059	-0.0290	0.5906	0.9163	0.9340	0.9329	0.4926	0.4883	0.5098	0.2431
15	BplI	379	15	0.9059	0.0892	0.1777	0.7538	0.8509	0.8842	0.3402	0.5684	0.2399	0.1381
16	PsrI	419	17	0.9176	-0.0687	0.3261	0.6202	0.9129	0.9667	0.2925	0.5820	0.1528	0.1088
