estimator	landmark_source	depth	shared_fraction	n	bias	rmse	correlation	bias_lo	rmse_lo	corr_lo	bias_hi	rmse_hi	corr_hi
sorted_rank	coordinate_grid	2	0	1800	0.157388	0.309525	0.902624	0.134996	0.22674	0.823192	0.186217	0.395719	0.964338
sorted_rank	coordinate_grid	2	0.05	1800	0.227616	0.36229	0.894992	0.204988	0.288448	0.810972	0.264814	0.453161	0.95631
sorted_rank	coordinate_grid	2	0.15	1800	0.321654	0.432791	0.889055	0.285251	0.358432	0.804035	0.382233	0.522912	0.957073
sorted_rank	coordinate_grid	4	0	1800	0.0919511	0.207423	0.956392	0.0762581	0.151032	0.9227	0.113353	0.267885	0.98208
sorted_rank	coordinate_grid	4	0.05	1800	0.157683	0.249119	0.947434	0.141279	0.201217	0.904995	0.183666	0.305495	0.978236
sorted_rank	coordinate_grid	4	0.15	1800	0.230165	0.31712	0.94293	0.193988	0.256863	0.8954	0.296134	0.402217	0.976281
sorted_rank	coordinate_grid	8	0	1800	0.0485631	0.133899	0.978219	0.0367624	0.0845508	0.959432	0.0638749	0.177051	0.993971
sorted_rank	coordinate_grid	8	0.05	1800	0.118349	0.192676	0.967974	0.102661	0.150417	0.939648	0.140477	0.240212	0.987884
sorted_rank	coordinate_grid	8	0.15	1800	0.182459	0.240306	0.971526	0.153509	0.195281	0.948004	0.234937	0.303067	0.987686
sorted_rank	random_sketch	0.5	0	1800	0.470425	0.633656	0.757831	0.44502	0.569896	0.64598	0.494055	0.69714	0.869436
sorted_rank	random_sketch	0.5	0.05	1800	0.539834	0.696587	0.73329	0.515056	0.635005	0.611594	0.564483	0.775444	0.844606
sorted_rank	random_sketch	0.5	0.15	1800	0.741672	0.882792	0.706141	0.690062	0.818155	0.581942	0.771957	0.933968	0.829739
sorted_rank	random_sketch	1	0	1800	0.306594	0.502695	0.816586	0.276	0.393268	0.69205	0.345808	0.620992	0.921182
sorted_rank	random_sketch	1	0.05	1800	0.352624	0.548512	0.800993	0.319056	0.443795	0.678806	0.392253	0.669425	0.901521
sorted_rank	random_sketch	1	0.15	1800	0.504102	0.671297	0.789562	0.45809	0.573127	0.678872	0.540483	0.780369	0.887772
sorted_rank	random_sketch	2	0	1800	0.177099	0.334497	0.892858	0.150613	0.242543	0.810475	0.208628	0.420669	0.962687
sorted_rank	random_sketch	2	0.05	1800	0.201138	0.37113	0.876056	0.174602	0.276788	0.783658	0.232097	0.469094	0.94963
sorted_rank	random_sketch	2	0.15	1800	0.339301	0.534929	0.813868	0.295968	0.391405	0.665199	0.382985	0.6726	0.932513
sorted_rank	random_sketch	4	0	1800	0.104867	0.229617	0.944382	0.0863521	0.167785	0.902892	0.129573	0.292116	0.977009
sorted_rank	random_sketch	4	0.05	1800	0.116274	0.255208	0.932889	0.0948102	0.178031	0.874968	0.141665	0.334608	0.975376
sorted_rank	random_sketch	4	0.15	1800	0.211889	0.348719	0.910212	0.182049	0.261185	0.836397	0.23944	0.442231	0.963829
sorted_rank	random_sketch	8	0	1800	0.0535475	0.142526	0.974818	0.0426845	0.0960294	0.952881	0.0685775	0.189577	0.990735
sorted_rank	random_sketch	8	0.05	1800	0.0665325	0.166051	0.968054	0.0528991	0.115852	0.9402	0.0828564	0.217532	0.987943
sorted_rank	random_sketch	8	0.15	1800	0.132157	0.231581	0.949467	0.110145	0.171545	0.905224	0.149767	0.295382	0.980693
