run	n	n_qc	qc_rate	mean_enzymes	mean_fit_rate
SRR28338156	522	4	0.007662835249042145	0.21455938697318008	0.013409961685823755
SRR28338157	522	2	0.0038314176245210726	0.210727969348659	0.013170498084291188
SRR28338158	522	4	0.007662835249042145	0.2164750957854406	0.013593550446934865
SRR28338159	522	3	0.005747126436781609	0.20881226053639848	0.013250319284865902
SRR28338160	522	6	0.011494252873563218	0.2164750957854406	0.014395183360727969
SRR28338161	522	2	0.0038314176245210726	0.20114942528735633	0.01257183908045977
SRR28338162	522	2	0.0038314176245210726	0.1839080459770115	0.011494252873563218
SRR28338171	522	2	0.0038314176245210726	0.1724137931034483	0.0108955938697318
SRR28338172	522	1	0.0019157088122605363	0.16475095785440613	0.010555432753639847
