feature	rho_raw	p_raw	rho_partial_cov	p_partial	n
n_contigs	-0.21277831618136353	0.0001999600079984003	-0.18480701878173258	0.0001999600079984003	522
n50	0.19908974900810983	0.0001999600079984003	0.17068650953709855	0.0003999200159968006	522
Completeness	0.1575288978234027	0.0001999600079984003	0.1158961097899756	0.0061987602479504095	522
Contamination	-0.07345820641748706	0.09538092381523695	-0.06410768671442775	0.14577084583083383	522
